man from death involved talk 49
man from his monarchy over 195
man from his orgiastic self 111
man from his personal life 47
man keep two opposite sets 88
man left his presence full 76
man living his everyday life 98
man over his shoulder like 40
man went and returned saying 47
man when they reserved none 86
man when this devolved upon 54
man whom she scarcely knew 143
man will not suddenly take 52
may come and consider these 175
may cost you anywhere from 48
may date his downfall from 163
may date his entrance upon 40
may drop this sentence here 46
may find her admission into 90
may find its admission into 46
may find this approach more 85
may form any judgment from 63
may gain new insights into 195
may give new insights into 138
may give you insights into 100
may have and exercise such 40
may have had slightly more 54
may have had somewhat less 57
may have had somewhat more 113
may have had symbolic meaning 53
may have had vanished when 47
may have his kindlier side 57
may have its positive side 42
may have its romantic side 49
may have its sinister side 57
may help them maintain their 46
may help them overcome their 59
may help you discover some 43
may help you discover what 87
may help you discover your 45
may help you evaluate your 82
may help you identify some 81
may help you identify your 136
may help you maintain your 91
may help you organize your 302
may help you overcome some 41
may help you overcome your 82
may help you remember what 51
may hope that machines will 144
may keep any proceeds from 53
may leave you scratching your 74
may live and associate upon 43
may look with contempt upon 59
may look with suspicion upon 72
may make its presence felt 109
may make one archival copy 66
may make this approach more 145
may make this computer more 98
may reach that innocent race 44
may save you valuable time 42
may sell and subjects must 42
may throw new darkness over 52
may toil and struggle cease 51
may turn our attention from 109
may turn this tendency into 87
may vary with distance from 97
may vary with particle size 42
may work out eventual good 44
mean free path obtained from 102
mean time and apparent time 271
mean time his lordship took 41
mean when they describe their 94
men born and educated among 65
men born and educated like 159
men from doing positive harm 119
men from each regiment were 79
men have not commonly been 204
men have not obtained what 57
men have one entrance into 160
men were being inducted into 71
men were being withdrawn from 50
men were not admitted into 77
men were not excluded from 129
men were thus excluded from 48
men when they returned from 157
men when they returned home 63
