made an adopted son of 45
made an alliance for the 63
made an alliance with an 87
made an alliance with it 69
made an alliance with king 193
made an alliance with the 25409
made an alliance with us 170
made an almanac for the 90
made an analogy with the 162
made an apology for it 51
made an apology for the 709
made an attempt for the 225
made an attempt not to 70
made an attempt with the 132
made an awkward bow to 46
made an election not to 66
made an elegant use of 42
made an example for the 203
made an example out of 181
made an exchange for the 76
made an exchange with me 70
made an exchange with my 77
made an exchange with the 271
made an expiation for the 60
made an extract out of 49
made an ideology out of 49
made an illegal use of 115
made an immense leap in 57
made an immense sum of 46
made an incision near the 60
made an incision with the 90
made an increasing use of 128
made an inquiry with the 43
made an occasion for an 59
made an occasion for the 335
made an outline for the 44
made an unusual use of 53
made an unworthy use of 108
made as familiar with the 101
made as follows for the 84
made as perfect and as 126
made as pleasant and as 194
made as pleasant meal as 42
made as quickly and as 187
made as rapidly and as 61
made as slender and as 44
made at chicago and the 55
made at examining that of 78
made at present for the 106
made at present with the 46
made be enacted for the 69
made by analogy with the 211
made by animals going to 43
made by beginning with the 80
made by britain and the 282
made by britain for the 40
made by combining all the 73
made by combining one or 45
made by combining two or 575
made by comparing all the 68
made by comparing with the 46
made by congress and by 42
made by congress and the 752
made by congress for an 61
made by congress for the 1855
made by congress was to 43
made by congress with the 57
made by contact with the 404
made by counsel for the 1639
made by counsel that the 56
made by critics that the 43
made by examining all the 45
made by experts and the 52
made by experts for the 48
made by general lee to 46
made by germany and the 114
made by germany for the 72
made by hammering out the 60
made by herself and the 77
made by herself out of 46
made by himself and by 326
made by himself and the 475
made by himself but by 61
made by himself for the 125
made by himself out of 126
made by himself with the 94
made by history and by 52
made by history and the 62
made by hollowing out the 405
made by injecting lye or 55
made by lawyers for the 76
made by medical men in 60
made by medical men to 46
made by muslims for the 52
made by napoleon for the 47
made by objects not in 81
made by observing that in 86
made by observing that the 291
made by parents and by 61
made by parents and the 78
made by parents for the 92
made by persons not in 63
made by persons who do 228
made by persons with no 54
made by persons with the 60
made by petition and on 104
made by producing each of 51
made by producing one of 60
made by providing for the 57
made by providing that the 46
made by referring them to 87
made by requiring that the 40
made by science and the 72
made by selecting one of 64
made by society and by 221
made by society and the 108
made by society and to 43
made by society for the 75
made by solomon for the 58
made by stanley that he 43
made by statute for the 476
made by stripping off the 76
made by supposing that the 111
made by teachers and by 51
made by teachers and the 59
made in advance and in 103
made in advance and is 63
made in advance and the 301
made in advance for the 2092
made in advance may be 57
made in advance that the 78
made in advance with the 512
made in alliance with the 60
made in america and in 175
made in america and the 223
made in america for the 288
made in america than in 43
made in america that the 56
made in america was in 46
made in america was the 55
made in analogy with the 43
made in article iii of 44
made in believing that the 43
made in britain and in 79
made in britain and the 209
made in britain for the 82
made in chapter iii of 293
made in chapter iii to 217
made in chapter vii of 57
made in chapter vii to 104
made in company with my 135
made in company with the 669
made in complying with the 1038
made in concert with the 940
made in congress and in 165
made in congress and the 73
made in congress for the 183
made in congress that the 129
made in congress was on 46
made in contact with the 183
made in context with the 40
made in dialogue with the 44
made in exchange for an 198
made in exchange for the 1193
made in germany and in 185
made in germany and is 48
made in germany and the 301
made in germany for the 405
made in germany with the 96
made in harmony with the 541
made in history and in 40
made in holland and in 61
made in holland for the 87
made in improving both the 51
made in ireland for the 110
made in language and in 45
made in language that is 44
made in october and the 43
made in october for the 53
made in payment for the 49
made in preparing for the 197
made in private and in 48
made in providing for the 166
made in relation with the 65
made in research and in 42
made in science and in 102
made in science and the 189
made in supposing that the 103
made in sympathy with the 41
made in virginia for the 49
made is largely due to 81
made it against both of 61
made it appeared that the 108
made it awkward for me 100
made it awkward for the 233
made it awkward for us 47
made it bearable for me 66
made it bearable was the 135
made it certain that an 56
made it certain that as 49
made it certain that at 95
made it certain that he 2177
made it certain that if 258
made it certain that in 230
made it certain that it 354
made it certain that no 1021
made it certain that the 9498
made it certain that we 181
made it evident that an 213
made it evident that as 47
made it evident that at 85
made it evident that by 50
made it evident that he 6618
made it evident that if 251
made it evident that in 387
made it evident that it 997
made it evident that no 442
made it evident that so 81
made it evident that the 8010
made it evident that to 64
made it evident that we 333
made it familiar with the 47
made it fatally easy to 62
made it feasible for me 77
made it feasible for the 1223
made it feasible for us 79
made it follows that the 52
made it grander than it 62
made it herself out of 78
made it himself out of 84
made it illegal for an 575
made it illegal for the 2376
made it illegal for us 47
made it illegal not to 78
made it logical for the 140
