man as thyself terrible for 92
man in charge reported that 44
man in mortal distress may 165
man in tartan trousers and 47
man is always occupied with 85
man is better equipped for 48
man is better equipped than 45
man is hereby apprized that 170
man is justly despised who 41
man is plotting seduction and 52
man of better education than 95
man of broken fortunes and 67
man of common education and 42
man of common prudence and 75
man of genius properly who 156
man of humble beginnings who 51
man of humble condition and 76
man of imposing physique and 53
man of imposing presence and 157
man of lights listened with 113
man of little education and 503
man of little education but 160
man of little education who 78
man of little judgment and 41
man of mature judgment and 197
man of modern humanism was 53
man of narrow education and 42
man of native kindness and 64
man of native sagacity and 139
man of normal capacity for 60
man of robust physique and 65
man of shrewd judgment and 80
man of singular erudition and 47
man of singular goodness and 49
man of singular patience and 63
man of singular prudence and 183
man of strict morality and 60
man of strict veracity and 90
man of striking presence and 79
man of superb physique and 108
man of untiring industry and 157
man to become involved with 52
man to commit adultery with 58
may be actions attended with 60
may be almost complete and 60
may be almost entirely due 132
may be almost mistaken for 106
may be almost positive that 55
may be always prepared for 78
may be another argument for 47
may be argued therefore that 463
may be barely possible that 72
may be better absorbed than 93
may be better achieved with 62
may be better adjusted than 107
may be better assessed with 57
may be better compared with 227
may be better designed and 69
may be better digested than 46
may be better educated and 144
may be better educated than 191
may be better employed than 284
may be better equipped and 65
may be better equipped for 299
may be better equipped than 474
may be better equipped with 63
may be better governed and 57
may be better imagined than 3913
may be better informed and 157
may be better informed than 459
may be better observed and 43
may be better prepared and 98
may be better prepared for 1108
may be better prepared than 224
may be better provided for 156
may be better received than 73
may be better reserved for 101
may be better rewarded for 59
may be better situated than 116
may be better supplied with 94
may be better utilized for 48
may be boldly affirmed that 360
may be boldly asserted that 851
may be boldly inferred that 82
may be called literary and 43
may be called monarchy and 57
may be called original and 41
may be called personal and 42
may be called physical and 87
may be called positive and 138
may be clearly conscious that 60
may be clearly inferred that 302
may be clearly observed that 162
may be common practice for 45
may be copied provided that 85
may be deemed adequate and 57
may be deemed adequate for 46
may be deemed eligible for 91
may be deemed essential for 144
may be deemed evidence that 57
may be deemed probable that 58
may be deemed promises and 139
may be deemed relevant and 61
may be deemed suitable and 89
may be deemed suitable for 154
may be deeply affected with 68
may be fairly accurate for 43
may be fairly admitted that 330
may be fairly affirmed that 60
may be fairly answered that 77
may be fairly asserted that 771
may be fairly believed that 41
may be fairly compared with 632
may be fairly computed that 48
may be fairly conceded that 72
may be fairly constant for 43
may be fairly credited with 132
may be fairly expected that 275
may be fairly inferred that 3647
may be fairly objected that 199
may be fairly observed that 40
may be fairly presumed that 2968
may be fairly reckoned that 42
may be fairly supposed that 1057
may be fairly surmised that 377
may be farther observed that 182
may be farther remarked that 43
may be filled entirely with 62
may be finely granular and 47
may be forged integral with 45
may be formed concerning them 101
may be freely admitted that 3353
may be freely combined with 51
may be freely conceded that 818
may be freely exchanged for 91
may be freely imported and 76
may be freely rendered thus 139
may be further admitted that 108
may be further advanced than 58
may be further affirmed that 135
may be further analyzed and 44
may be further answered that 60
may be further asserted that 150
may be further cemented and 59
may be further combined with 96
may be further compared with 161
may be further conceded that 114
may be further deferred for 479
may be further enhanced with 109
may be further evidence for 162
may be further evidence that 713
may be further examined for 54
may be further examined with 87
may be further expected that 43
may be further explored and 62
may be further extended and 82
may be further extended for 164
may be further extended with 41
may be further improved and 70
may be further improved with 87
may be further increased and 50
may be further increased for 51
may be further increased with 45
may be further inferred that 794
may be further mentioned that 761
may be further modified and 52
may be further modified for 42
may be further modified with 96
may be further objected that 1124
may be further observed that 3469
may be further presumed that 145
may be further purified and 61
may be further recalled that 45
may be further remarked that 2734
may be further supposed that 207
may be further surmised that 99
may be greater potential for 108
may be greatly assisted and 57
may be greatly elongated and 67
may be greatly enhanced and 48
may be greatly enlarged and 383
may be greatly expanded and 54
may be greatly extended and 79
may be greatly impaired and 43
may be greatly improved and 197
may be greatly improved with 47
may be greatly increased and 485
may be greatly increased for 49
may be greatly increased with 195
may be greatly lessened and 45
may be greatly modified and 96
may be greatly modified for 52
may be greatly prolonged and 58
may be greatly promoted and 44
may be greatly relieved and 65
may be greatly thickened and 188
may be heavily burdened with 61
may be heavily infected with 68
may be heavily infested with 96
may be heavily involved with 66
may be heavily weighted with 59
may be highly abstract and 62
may be highly accurate and 52
may be highly adaptive and 44
may be highly adaptive for 56
may be highly cultured and 41
may be highly dangerous for 40
