magic wonders that he sung 93
major advance was the use 58
major concern for the new 64
major concern was to get 96
major concern with the use 345
major impetus for the new 68
major impetus for the use 70
major priority for the new 67
major problem area is that 152
major problem for the new 208
major problem may be that 208
major problem now is that 145
major problem that is not 42
major problem that we are 44
major problem was to get 123
major problem with the idea 98
major problem with the new 120
major problem with the old 45
major problem with the use 1034
major problem with the way 89
major project for the year 113
major purpose was to bring 42
major replied that he had 96
major victory for the new 52
makes believe that he does 42
makes believe that he has 105
makes between his or her 90
makes capital out of his 110
makes capital out of its 40
makes capital out of them 54
makes capital out of this 54
makes certain that he does 51
makes certain that he has 85
makes certain that no one 133
makes contact with the air 98
makes contact with the bat 102
makes contact with the cam 59
makes contact with the dna 43
makes contact with the earth 234
makes contact with the egg 164
makes contact with the end 102
makes contact with the eye 54
makes contact with the head 91
makes contact with the hot 51
makes contact with the mat 53
makes contact with the oil 51
makes contact with the real 115
makes contact with the rod 56
makes contact with the tip 86
makes contact with the top 436
makes contact with the two 148
makes cowards out of men 243
makes creative use of his 40
makes especial use of this 54
makes friends with an old 70
makes liberal use of his 51
makes maximum use of all 139
makes maximum use of his 195
makes maximum use of its 103
makes maximum use of this 53
makes optimal use of all 167
makes optimal use of its 41
makes similar use of his 56
makes skilful use of his 41
males because they do not 72
mamma forbade you to say 47
manly sympathy with the weak 57
march against them if they 46
marking certain things as low 64
marks because they do not 51
marry against his or her 125
marry anybody you do not 50
marry because they do not 170
marry outside his or her 196
marry persons who do not 77
match between his or her 136
match between one of his 96
match between two of its 55
maybe because they do not 338
maybe because you do not 128
mayor replied that he had 53
meeting because they do not 44
meeting between two of them 42
meeting decided that it was 103
mercy brought her to that 114
mercy increase you in all 42
meteor colliding with the earth 125
method adopted was to use 56
method assumes that the two 71
method because they do not 187
method because you do not 107
method enables one to see 46
method enables you to add 69
method enables you to use 55
method pointed out to him 50
might account for the long 84
might account for the low 880
might account for the new 45
might account for the non 112
might account for the two 214
might account for the use 142
might account for the way 144
might account for the weak 49
might appoint one of his 216
might appoint one of them 43
might because they do not 119
might believe that he can 41
might believe that he did 41
might believe that he had 521
might believe that he has 58
might believe that he was 636
might believe that if you 50
might believe that it had 50
might believe that it has 63
might believe that it was 366
might believe that the new 42
might believe that the two 52
might believe that we are 92
might believe you if you 58
might capture him if she 59
might collide with the earth 91
might comfort him in his 111
might command that of any 54
might compete with it for 56
might concern that he had 57
might concern that he was 68
might condemn him to death 132
might conduct him to his 65
might confess that he was 155
might confess that it was 61
might confirm him in his 121
might contain any or all 47
might contain oil or gas 42
might contain one or two 117
might contend that he was 52
might contend that it was 97
might declare that he had 105
might declare that he was 74
might declare that it was 89
might declare war at any 44
might deprive her of her 221
might deprive him of all 219
might deprive him of both 60
might deprive him of his 728
might deprive him of this 67
might deprive them if they 61
might deprive them of all 131
might deprive them of any 89
might deprive them of that 96
might deprive them of this 47
might develop his or her 52
might develop out of this 79
might dispose them to hear 98
might dissect all the dead 50
might disturb him in his 224
might enclose them in his 62
might enhance his or her 41
might ensnare him in his 54
might entangle him in his 686
might entitle him to her 45
might exclaim with the poet 55
might explain his or her 49
might explain how it was 76
might explain that he had 52
might explain that he was 51
might explain that it was 52
might explain why he did 126
might explain why he had 192
might explain why he has 75
might explain why he was 428
might explain why it has 128
might explain why it was 289
might explain why no one 113
might explain why so few 153
might explain why the two 190
might explain why we are 48
might express his or her 66
might finally put an end 49
might forgive her if she 42
might himself act on them 46
might imagine that he had 485
might imagine that he has 50
might imagine that he was 508
might imagine that if you 44
might imagine that in this 60
might imagine that it had 96
might imagine that it was 619
might imagine that the new 55
might imagine that the poet 48
might imagine that the two 197
might imagine that the use 45
might imagine that we are 158
might imagine that we had 87
might imagine that we saw 81
might impress him as far 78
might improve his or her 157
might incline him to buy 47
might inclose them in his 47
might include any or all 540
might include one or two 292
might increase his or her 150
