me among your poems next 77
me away from home more 63
me away from home most 40
me away from your door 63
me away from your side 60
me back into your arms 65
me back into your heart 109
me back into your life 397
me back once more into 43
me back word what these 40
me come here once more 51
me come into your room 112
me come some other time 42
me coming home from pond 96
me coming home from work 82
me down here among your 112
me during these four years 56
me during these last days 60
me during these last three 56
me during these last years 74
me during these many years 59
me during these past years 79
me during those dark days 75
me during those early days 97
me during those early years 180
me during those three days 43
me during those three years 59
me during those trying days 74
me during those years when 50
me fall back into peace 50
me feel even more like 497
me feel like crying when 42
me feel like even more 60
me feel like some kind 286
me feel like some sort 152
me feel much more like 45
me feel very much like 115
me from coming back here 83
me from ever coming back 43
me from having been shut 43
me from salt lake city 91
me from saying more upon 63
me from seeing your wife 45
me from some other spot 40
me from those early days 45
me from what lies ahead 43
me have your best pair 43
me have your good will 109
me having been made from 43
me here among mine angry 65
me hold your hand when 62
me into coming down here 56
me into their home during 57
me into their home when 49
me into their living room 92
me into what must have 48
me kiss those warm lips 79
me kiss your soft face 133
me know very soon what 42
me know what time your 50
me know what your ideas 40
me know your having done 92
me less worth such tears 130
me like some great work 40
me live upon bread made 40
me look even more like 128
me look into thine eyes 58
me look into your eyes 399
me look into your face 99
me look like some kind 140
me look more like lady 50
me look once more into 70
me look upon your face 117
me must have been very 67
me must have been wise 47
me over these many years 143
me pull your soft wool 138
me some good news from 65
me some more good news 46
me some other time when 52
me some time away from 61
me some time next week 95
me some time when least 57
me some very nice oats 104
me speak just once more 184
me take these bags from 88
me there have been many 73
me there have been some 53
me there must have been 389
me there were many more 98
me there were only three 126
me there were other ways 47
me there what your ideal 65
me there your single bond 273
me these last five years 47
me these last four years 55
me these last three years 61
me these many years past 63
me these past five years 64
me these past four years 80
me these past three years 66
me these three days past 40
me these three years leads 66
me think there must have 46
me torn limb from limb 52
me very much from time 101
me very much like some 70
me very much like what 46
me what must have been 175
me what your other name 51
me will draw life from 79
me will ever know what 73
me will have life even 55
me wipe away your tears 47
me your fate will come 43
me your hand once more 310
me your name once more 54
my arms were aching from 41
my arms were only free 50
my aunt came back from 42
my aunt must have been 50
my aunt will soon wish 58
my back must have been 72
my best days have been 55
my best days there were 86
my best ideas have come 133
my best pace down duke 40
my best years have been 58
my boat just once more 49
my body also will live 96
my body also will rest 241
my body must have been 93
my book must have been 45
my book took very well 143
my book will have many 46
my canoe trip from lake 42
my case there were many 92
my cell till romeo come 151
my cold bare feet into 40
my crew from firing into 61
my days like other folk 41
my days pass away like 87
my door must take what 48
my dream must have been 43
my dream will come true 311
my early days there were 113
my early years were free 85
my eyes among these here 47
my eyes away from hers 228
my eyes away from their 43
my eyes away from these 124
my eyes away from those 98
my eyes away from what 50
my eyes away from your 57
my eyes back over last 61
my eyes ever fell upon 42
my eyes fell full upon 55
my eyes fell upon some 42
my eyes fell upon these 74
my eyes from your face 133
my eyes have been full 42
my eyes have been open 49
my eyes have ever seen 353
my eyes have lost some 81
my eyes have lost their 132
my eyes have seen what 111
my eyes have seen your 1214
my eyes kept coming back 84
my eyes must have been 546
my eyes must have told 67
