mad and dangerous to know 58
man and addressing the other 66
man and demanded to know 43
man and explores the paths 108
man and threatened to kill 41
man are supposed to have 63
man being desirous to pick 55
man can blockade the most 59
man can conceive of nothing 83
man can continue to live 95
man can continue to work 47
man can hereafter be sure 56
man can minister to their 43
man can persuade the other 245
man can properly be said 148
man can scarcely be said 106
man far advanced in life 278
man far advanced in years 577
man for hundreds of years 343
man for thousands of years 3110
man had besieged so many 72
man had elevation of mind 60
man had finished the last 57
man had happened to have 43
man had intended to kill 41
man had listened to those 44
man had pocketed the cash 47
man had polluted the pure 83
man had presence of mind 51
man had promised to give 54
man had promised to send 57
man had proposed to give 54
man had received the news 63
man had suffered so much 138
man had threatened to kill 91
man has authority to give 455
man has declined to take 49
man has enlarged my mind 214
man has invested in good 47
man has poisoned the well 62
man has promised to give 44
man has purposed to make 75
man has received the gift 109
man has remained the same 84
man has suffered so much 139
man hath ascended up into 253
man hath received the gift 1567
man may consider so much 115
man may continue to live 95
man may lawfully be made 77
man may lawfully do harm 265
man may lawfully do singly 142
man may properly be said 58
man now remained in health 66
man that deserved it more 44
man that happened to fall 88
man that invented the steam 89
man that pretends to have 65
man that ventured to make 48
man they regarded as their 102
man they selected as their 40
man was advanced in years 53
man was affected to tears 54
man was assigned the task 58
man was believed to have 469
man was composed of body 61
man was composed of three 50
man was declared to have 65
man was demanded as levy 44
man was destined to have 42
man was destined to live 71
man was destined to make 57
man was destined to play 107
man was diagnosed as having 146
man was directed to take 52
man was employed in making 50
man was employed to take 61
man was entirely at home 96
man was entitled to have 157
man was entitled to know 40
man was entitled to more 47
man was entitled to peace 45
man was entitled to some 101
man was entitled to take 142
man was entitled to vote 83
man was exhorted to give 43
man was expected to find 45
man was expected to give 178
man was expected to have 234
man was expected to help 50
man was expected to keep 90
man was expected to know 143
man was expected to live 93
man was expected to look 66
man was expected to make 156
man was expected to play 45
man was expected to show 64
man was expected to take 305
man was expected to turn 44
man was expected to work 131
man was inclined to think 41
man was intended to give 146
man was intended to have 59
man was intended to live 142
man was involved in some 57
man was murdered by some 42
man was murdered in cold 89
man was murdered or died 66
man was prepared to come 75
man was prepared to give 72
man was prepared to make 86
man was prepared to meet 45
man was prepared to take 61
man was presumed to have 55
man was presumed to know 49
man was probably the most 79
man was probably the only 84
man was regarded as having 58
man was reported as having 55
man was reported as saying 65
man was reported to have 768
man was required to give 153
man was required to have 149
man was required to keep 97
man was required to leave 45
man was required to live 46
man was required to make 155
man was required to sign 74
man was required to take 183
man was required to work 127
man was restored to health 119
man was restored to life 334
man was struggling to make 60
man was suffered to draw 56
man was supposed by many 57
man was supposed to come 86
man was supposed to feel 71
man was supposed to give 82
man was supposed to have 1852
man was supposed to keep 50
man was supposed to know 327
man was supposed to live 110
man was supposed to look 98
man was supposed to make 77
man was supposed to meet 50
man was supposed to take 246
man was supposed to work 53
man was unlikely to have 70
man who abandons the faith 40
man who achieved so much 163
man who acquired so great 77
man who admitted to having 115
man who advanced to meet 97
man who answered the bell 96
man who answered the call 130
man who answered the door 2239
man who assisted in making 45
man who attached so much 42
man who attaches so much 45
man who attempts to break 65
man who attempts to come 42
man who attempts to find 87
man who attempts to keep 44
man who attempts to kill 70
