mad with devouring ecstasy to 84
man and animals exposed to 81
man and certain species of 66
man and faithful servant of 63
man and inferior animals to 60
man and poultry following the 58
man and several species of 60
man and society according to 47
man and society implied by 66
man and utterly abolish the 50
man are arrayed against the 60
man are brought together in 53
man are closely related to 61
man are equally subject to 101
man bear himself bravely in 64
man being plainly adapted to 66
man can balance forever on 43
man can elevate himself to 60
man can express himself in 42
man can improve himself by 40
man can justify himself in 123
man can prepare himself to 51
man can qualify himself to 72
man can relieve himself by 51
man can satisfy himself of 58
man can stretch himself on 661
man did seemingly consent to 66
man for degrading himself to 50
man had allowed himself to 211
man had devoted himself to 118
man had drowned himself in 49
man had endeared himself to 40
man had exposed himself to 146
man had fancied himself to 97
man had pledged himself to 42
man had somehow managed to 160
man had steeled himself to 67
man had stepped forward to 70
man has adapted himself to 189
man has allowed himself to 283
man has applied himself to 107
man has availed himself of 72
man has brought himself to 254
man has devoted himself to 112
man has exposed himself to 41
man has natural ability to 44
man has removed himself so 40
man has trained himself to 50
man may abandon himself to 49
man may believe himself to 100
man may commend himself to 83
man may deceive himself as 56
man may dispose himself to 125
man may entitle himself to 123
man may imagine himself to 63
man may receive according to 48
man may satisfy himself by 44
man may subject himself to 75
man may surpass himself or 41
man not closely related to 44
man saw himself reduced to 45
man that offered offered an 61
man that stirred against king 151
man then dressed himself in 40
man was closely related to 71
man was equally capable of 178
man was falsely accused of 51
man was slumped against the 56
man was totally unaware of 47
man who addicts himself to 88
man who allowed himself to 892
man who appeared capable of 53
man who appeared outside my 43
man who applied himself to 94
man who applies himself to 194
man who availed himself of 88
man who behaves according to 40
man who betakes himself to 61
man who brought together the 55
man who commits himself to 245
man who commits suicide is 172
man who decides between the 77
man who defines himself as 132
man who desires results in 54
man who devoted himself to 795
man who devotes himself to 2202
man who dresses himself up 45
man who employs himself in 119
man who endeared himself to 114
man who esteems himself as 93
man who expects success in 43
man who exposed himself to 149
man who exposes himself to 261
man who fancied himself an 49
man who fancied himself as 264
man who fancied himself in 54
man who fancied himself to 60
man who fancies himself as 106
man who fancies himself to 40
