man faithfully relates any facts 42
man instantly brought his hands 288
man instantly withdrew his hands 86
may certainly possess and enjoy 49
may distinguish between that which 55
may distinguish between two basic 58
may distinguish between two broad 46
may distinguish between two cases 65
may distinguish between two forms 73
may distinguish between two kinds 263
may distinguish between two major 63
may distinguish between two types 447
may gradually increase and spread 110
may reasonably require and shall 75
may reasonably suppose they would 49
may summarily suspend and close 43
met diagnostic criteria for major 140
met diagnostic criteria for social 44
