major areas of life because 45
major city in north america 322
major city in south vietnam 188
major form of birth control 120
major goal of taking control 63
major goal of these studies 72
major means of birth control 104
major part in their decision 100
major part of north america 107
major part of south america 54
major part of such service 111
major part of their budgets 44
major part of their capital 120
major part of their careers 187
major part of their culture 66
major part of their economy 61
major part of their efforts 198
major part of their foreign 125
major part of their function 134
major part of their history 94
major part of their incomes 224
major part of their leisure 58
major part of their national 78
major part of their overall 55
major part of their problem 69
major part of their produce 65
major part of their product 48
major part of their profits 89
major part of their program 162
major part of their research 79
major part of their revenue 173
major part of their service 53
major part of their success 76
major part of their support 84
major part of these efforts 41
major part of these studies 79
major part of those present 312
major part of what follows 42
major role in bringing together 132
major role in cell division 63
major role in host defense 162
major role in many aspects 109
major role in their ability 43
major role in their decision 256
major role in their economy 42
major role in their success 85
major role in these efforts 104
major role in what happens 71
major role in your ability 52
major role in your decision 153
major role in your success 66
major threat to their national 52
major triad in root position 145
major unit of data storage 43
makes clear the link between 469
makes even the most complex 64
makes even the most peaceful 58
makes life so much simpler 129
makes most of these effects 58
makes much the same comment 59
makes only the most cursory 48
makes peace in your borders 87
makes three or four hundred 44
makes three to four thousand 44
makes upon the living scholar 41
makes wealth of more account 94
mamma will be much happier 50
maned wolf of south america 47
march hand in hand together 113
march hand in hand towards 119
march into the next century 45
march into the shop together 49
marks were the only penalty 46
match must be made between 66
match those of their parents 74
match those of your network 40
maybe four or five hundred 141
maybe four or five minutes 87
maybe four or five seconds 40
maybe four or five thousand 82
maybe some of your friends 59
maybe three or four dollars 41
maybe three or four hundred 547
maybe three or four minutes 197
maybe three or four seconds 62
maybe three or four thousand 108
meadow full of fair flowers 42
meadow full of wild flowers 83
meanings find as many diverse 63
median length of time between 111
meeting from the very beginning 60
meeting here the good fortune 72
meeting many of their brethren 83
meeting some of their demands 54
meeting some of your friends 89
meeting will be held between 70
meeting will be held october 49
meeting will be held shortly 117
meeting will be held tuesday 58
meets many of these criteria 60
meets most of these criteria 103
meets none of these criteria 105
meets some of these criteria 64
melting into the blue horizon 51
menial jobs to help support 110
mercy upon the poor bailiff 44
merge into the more general 61
metal mining in great britain 86
metal will go into solution 114
method from the very beginning 318
method gave the best results 216
method gave the same results 63
method give the best results 50
method give the same results 40
method leads to most unhappy 49
method must be used because 128
method over the other depends 45
method such as least squares 44
method used by these workers 67
method used in great britain 48
method used in north america 43
method used in these studies 335
method used is very similar 63
method will be more perfect 84
method will be most perfect 74
method will be used because 82
might also be made against 99
might also be made between 192
might also be made regarding 42
might also be used against 193
might also be very helpful 59
might also be well advised 65
might also be worth exploring 68
might also be worth mentioning 299
might call it into question 59
might call the hard fortune 45
might cease to take delight 75
might come to pass between 57
might come to some decision 87
might come to take lessons 60
might draw the line between 92
might even be used against 92
might face the same problem 54
might fail to take account 47
might fall on their enemies 68
might feel on lady russell 128
might feel on their account 83
might feel the same sincere 63
might find it more helpful 104
might find it more natural 69
might find it more rewarding 55
might find it most helpful 48
might find it very helpful 118
might from the very beginning 47
might give it their support 112
might give me some answers 42
might give me some insight 160
might give me some trouble 67
might give the best results 89
might give the rule himself 43
might give the same results 44
might give to their brethren 76
might give us more insight 53
might give us some answers 64
might give us some insight 322
might give us some trouble 124
might have an even stronger 62
might have as much trouble 45
might have at least delayed 97
might have at their command 46
might have in their pockets 54
might have no more trouble 73
might have on other aspects 48
might have on other matters 78
might have on their ability 85
might have on their careers 57
might have the best medical 79
might have the full benefit 393
might have the good fortune 2050
might have the means granted 63
might have the more agility 61
might have the more leisure 254
might have the more occasion 119
might have the most distant 40
might have the most perfect 58
might have the same average 124
might have the same effects 91
might have the same freedom 54
might have the same function 74
might have the same general 76
might have the same liberty 60
might have the same pleasure 50
might have the same problem 305
might have the same results 78
might have the same success 45
might have the same trouble 52
might have to have surgery 82
might have to look forward 66
might have to make against 107
might have to make certain 50
might have to make himself 43
might have to make several 151
might have to move quickly 92
might have to take account 105
might have to take drastic 234
might have to take matters 60
might have to take measures 52
might have to take several 52
might have to thank herself 47
might have to wait forever 94
might have to wait several 497
might have to walk several 40
might have to work together 75
might have up their sleeves 82
might hope to feel quietly 87
might hope to find shelter 42
might hope to make himself 102
might just as well abandon 245
might just as well abolish 55
might just as well address 145
might just as well attempt 990
might just as well believe 241
might just as well compare 134
might just as well condemn 55
might just as well confess 258
might just as well confine 42
might just as well consist 47
might just as well contain 51
might just as well contend 51
might just as well declare 131
might just as well discuss 61
might just as well dismiss 48
might just as well explain 65
might just as well express 243
might just as well imagine 131
might just as well include 99
might just as well inquire 42
might just as well perform 40
might just as well prepare 102
might just as well present 100
might just as well pretend 105
might just as well proceed 59
might just as well produce 54
might just as well propose 123
might just as well provide 60
might just as well question 104
might just as well receive 82
might just as well reflect 92
might just as well require 43
might just as well reverse 44
might just as well suggest 115
might just as well suppose 353
might know the pure religion 85
might last the poor vacuity 81
might learn to know himself 57
might learn to live together 95
might learn to work together 64
might leave no means untried 62
might like to live himself 101
might live in peace together 51
might live on five hundred 45
might lose the next election 100
might lurk in these shadows 44
might make as much account 45
might make it seem somehow 55
might make me less forlorn 54
might make the same decision 78
might make the same mistake 372
might make the wrong decision 180
might make up their quarrel 47
might need to make several 42
might need to take account 103
