man acts unjustly or justly 81
man dare approach the person 78
man ever declared to another 58
man ever excelled in painting 116
man ever rendered to another 152
man from eighteen to twenty 56
man into property as horses 41
man upon suspicion of felony 103
man well advanced in middle 101
man were supplied by nature 95
man will consider the merits 60
man will continue to follow 44
man will probably be sickly 45
may also consider the effect 116
may also consider the extent 71
may also consider the impact 42
may also consider the number 49
may also contract the disease 186
may also exercise the powers 95
may also indicate the degree 123
may also indicate the extent 176
may also indicate the nature 80
may also indicate the number 65
may also properly be called 150
may also regulate the extent 70
may also restrict the number 77
may also suppress the immune 58
may also transmit the disease 331
may call attention to another 144
may call attention to itself 167
may call egoistic the special 74
may come directly to myself 104
may cost thousands of pounds 42
may draw attention to another 109
may draw attention to itself 157
may even compound the effect 46
may even heighten the effect 67
may feel disposed to accept 42
may feel disposed to attach 44
may feel disposed to bestow 44
may feel inclined to accept 110
may feel inclined to attach 53
may feel inclined to follow 82
may feel inclined to pursue 66
may feel inclined to regard 52
may find credence in places 75
may find yourself in another 47
may find yourself in prison 42
may find yourself in serious 72
may find yourself the object 43
may find yourself the target 47
may find yourself the victim 65
may have achieved the status 89
may have acquired by virtue 106
may have acquired in france 43
may have acquired in school 57
may have acquired it through 91
may have acquired the custom 45
may have acquired the disease 100
may have acquired the status 54
may have affected the amount 97
may have affected the choice 171
may have affected the course 193
may have affected the degree 91
may have affected the entire 54
may have affected the extent 99
may have affected the family 46
may have affected the findings 171
may have affected the latter 299
may have affected the nature 135
may have affected the number 134
may have affected the policy 61
may have affected the result 361
may have affected the scores 41
may have affected the status 41
may have amounted to around 56
may have amounted to little 375
may have amounted to something 78
may have amounted to twenty 41
may have assisted in spreading 182
may have assisted in ushering 40
may have attained the status 65
may have attained to better 40
may have attended my public 41
may have attended the meetings 67
may have attended the merely 41
may have attended the school 52
may have authority on behalf 192
may have authority to impose 43
may have borrowed the phrase 62
may have business to settle 83
may have complete or partial 44
may have concerning the nature 46
may have declined in recent 250
may have decreased in recent 86
may have decreased the amount 59
may have decreased the number 104
may have depended on whether 78
may have dictated the choice 75
may have differed in degree 41
may have differed in detail 141
may have differed in opinion 73
may have elements in common 243
may have embodied the spirit 63
may have embraced the direct 69
may have enhanced the status 41
may have exceeded my merits 75
may have exceeded the amount 48
may have exceeded the bounds 114
may have exceeded the limits 131
may have exceeded the number 83
