mad about the fact that 153
man about the same age 688
man about to have his 80
man about to jump off 79
man about to leave for 91
man about to leave his 76
man about to lose his 179
man about to make his 78
man about to meet his 105
man about to part with 55
man about to take his 152
man after the fall and 83
man after the fall was 48
man alive to have you 43
man alive to nothing but 44
man aloft to look out 57
man alone is wise who 55
man asked if there was 103
man asked me what was 62
man asked the young man 45
man asked to speak with 49
man aware of nothing that 50
man awoke to find that 44
man began by saying that 116
man began by taking off 55
man began to call out 43
man began to come out 88
man began to cook his 42
man began to feel his 45
man began to feel that 350
man began to give way 91
man began to lisp his 55
man began to look for 114
man began to lose his 157
man began to make his 166
man began to make use 66
man began to moan and 48
man began to move his 56
man began to open his 47
man began to speak and 54
man began to speak with 47
man began to take out 46
man began to talk and 43
man began to tell him 58
man began to tell his 146
man began to think and 160
man began to think that 233
man began to turn his 85
man began to wave his 58
man began to weep and 124
man began to yearn for 64
man begin to cease doing 93
man begin to come aft 74
man beneath the open sky 141
man blown to bits for 108
man brave in body and 47
man breathing the open air 127
man cared so much for 49
man cared to give any 46
man cares to have his 118
man ceases to care for 60
man ceases to have any 73
man comes in here and 58
man comes to feel that 333
man comes to have his 42
man comes to know and 114
man comes to know god 185
man comes to know his 240
man comes to know that 454
man comes to know this 53
man comes to life and 61
man comes to live with 67
man comes to look for 88
man comes to love god 46
man comes to take his 44
man comes to think that 43
man comes to town and 42
man comes to work for 42
man comes to your age 44
man could be free and 67
man could be held for 51
man could be like that 52
man could be made out 98
man could be more fit 163
man could be more than 53
man could be nothing but 47
man could be only man 56
man could be other than 70
man could be seen with 91
man could be sure that 326
man could by other than 44
man could do more for 117
man could do more than 390
man could do nothing but 292
man could do nothing for 68
man could do nothing with 64
man could do such things 99
man could do these things 93
man could do unto him 220
man could do unto them 104
man could do what you 73
man could go from one 42
man could go there and 49
man dared to hope for 63
man dared to lift his 47
man dared to open his 43
man david to take her 54
man driving the other car 66
man drove so fast that 62
man durst do other than 133
man either to make use 58
man enter the room and 199
man enter the room with 47
man equal to other men 109
man exist on their own 47
man falling in love with 1857
man falls in love and 102
man falls in love with 3767
man feeds on bread and 63
man feels at home and 48
man feels is great but 44
man feels on having his 107
man feels the need for 231
man feels the same way 93
man finds it worth his 41
man fired at hearing his 90
man found at least one 44
man gives up more than 40
man gives up nothing that 53
man grows to think that 62
man healthy in body and 53
man holding the door for 49
man holding the lamp and 41
man holding the other end 64
man holds the other end 49
man hopes to live long 122
man hours of work and 95
man knowing no more than 49
man known so well how 42
man known to have had 90
man known to have set 90
man knows as well how 41
man knows at last that 99
man knows he will die 69
man knows no more than 144
man knows no other than 73
man knows the land and 54
man knows the truth and 47
man learns to know god 60
man learns to know his 112
man learns to live with 113
man learns to love god 62
man learns to love his 41
man leaves no room for 45
man leaves the body and 191
man liked to take them 101
man likes to feel that 748
man likes to have his 592
man likes to keep his 64
man likes to know how 81
man likes to know that 46
man likes to think his 58
man likes to think that 492
man lived at peace with 45
man lives in peace with 47
man lives in time and 51
man looking up from his 42
man looks in vain for 49
man looks the same and 46
man looks up from his 167
man loved the good things 70
man madly in love with 176
man makes it clear that 285
man makes or mars his 98
man makes the case his 78
man might as well die 58
man might as well get 40
man might as well not 98
man might as well say 379
man might as well sit 55
man might as well try 286
man might be born with 66
man might be free and 41
man might be made god 84
man might be more than 40
man might be poor and 46
man might be sent out 85
man might be sent thus 52
man might be such that 103
man might go along with 88
man nearly as much new 42
man needs at least one 69
man needs at least two 50
man needs it more than 63
man needs no more than 101
man needs to feel that 233
man needs to have his 187
man needs to keep his 86
man needs to know and 75
man needs to know for 81
man needs to know his 63
