man aiming a mortal blow 72
man been a little more 185
man dips a bucket down 58
man drew a dagger from 40
man drew a pistol from 107
man drew a poniard from 87
man felt a little sore 62
man from a little town 53
man from a strange land 80
man gets a harder blow 51
man half a million years 90
man have a little peace 50
man into a broken half 54
man leading a double life 90
man leading a little girl 54
man leads a double life 212
man living a wicked life 89
man made a little hell 43
man made a mental note 52
man only a better sort 50
man over a felled tree 48
man take a second look 43
man taking a second wife 137
man took a closer look 53
man took a golden earring 153
man took a second wife 188
man upon a little pony 48
man wearing a bright blue 42
man wearing a trench coat 184
man when a better race 101
man whom a tyrant fears 45
man whom i barely knew 40
man whom i hardly knew 105
man whom i hardly know 53
man whom i looked upon 183
man whom i raised from 47
man whom i scarce knew 44
man whom i should have 331
man whom i should like 141
man whom i should meet 163
man whom i should wish 99
man will a little teach 42
mat during a guided tour 92
may call a public hearing 52
may cast a deciding vote 60
may cast a glance over 44
may cast a glance upon 48
may cast a shadow over 294
may cast a shadow upon 69
may come a little late 123
may come a little more 40
may come a modern iliad 42
may come a moment when 410
may cost a little less 132
may cost a little more 2906
may cost a trifle more 114
may draw a lesson from 128
may drop a sounding into 76
may face a greater risk 89
may face a higher risk 74
may feel a greater need 201
may feel a little left 96
may feel a little less 235
may feel a little like 317
may feel a little lost 79
may feel a little more 582
may feel a little pain 53
may feel a little self 88
may feel a little sore 56
may feel a slight tingling 68
may feel a special need 55
may file a refund suit 51
may find a letter from 103
may find a little more 50
may find a refuge from 184
may find a useful hint 60
may form a charming diary 53
may form a closed loop 48
may form a credit union 50
may form a pretty fair 42
may form a pretty good 156
may form a pretty just 49
may form a useful part 50
may gain a better peace 81
may gain a better view 50
may gain a clearer view 73
may gain a little more 199
may give a better view 66
may give a clearer view 44
may give a fairly good 121
may give a further clue 51
may give a learner much 45
may give a little more 318
may give a pretty good 98
may give a useful clue 52
may give a useful hint 77
may grow a little more 142
may have a better case 53
may have a better fate 74
may have a better feel 139
may have a better hope 49
may have a better life 243
may have a better look 93
may have a better mind 45
may have a better plan 55
may have a better root 44
may have a better self 92
may have a better shot 167
may have a better time 128
may have a better view 583
may have a bluish cast 54
may have a bluish tint 94
may have a broken bone 113
may have a broken neck 69
may have a causal role 217
may have a charming young 49
