mad as swift and ruskin 60
man be found with stolen 59
man be liker man through 51
man by running him through 57
man by showing his actions 42
man he began his career 44
man he could not accept 122
man he could not afford 121
man he could not redeem 55
man he liked that speech 73
man he never saw before 76
man if reason and common 51
man in bengal had passed 146
man in black and silver 357
man in black was standing 53
man in eight was suited 48
man in every way except 76
man in every way fitted 111
man in every way suited 119
man in front and another 53
man in front and behind 52
man in georgia but wishes 45
man in israel had fallen 66
man in israel has fallen 76
man in italy was forced 49
man in touch with nature 61
man in touch with reality 59
man is blind and drinks 357
man is calling for elijah 110
man is cited but rarely 42
man is civil and modest 46
man is daily doing something 92
man is flesh and matter 44
man is found not guilty 52
man is looking for someone 48
man is looking for something 66
man is needy who spends 134
man is right for another 46
man is short for manual 97
man is taken for another 49
man is timid and another 44
man is tried for murder 82
man is waiting for something 51
man is wiser than another 402
man is within his rights 52
man it would not matter 99
man my father had chosen 54
man no longer has rights 57
man no worse than myself 49
man of action and energy 110
man of action and master 49
man of action and passion 80
man of action and thought 68
man of action and virtue 90
man of action has little 53
man of action who wanted 42
man of angels and devils 49
man of beasts and plants 72
man of blood and deceit 116
man of books and brains 63
man of brawn and muscle 57
man of broad and varied 125
man of dreams and visions 55
man of eight and twenty 190
man of flesh and spirit 110
man of force and energy 145
man of force and genius 52
man of genial and kindly 117
man of grave and earnest 60
man of grave and sedate 84
man of grave and serious 68
man of grave and solemn 72
man of honor and spirit 58
man of honor and talent 73
man of honor and virtue 85
man of honor and wisdom 51
man of large and varied 473
man of learning and genius 621
man of learning and talent 333
man of learning and thought 44
man of learning and virtue 365
man of learning and wisdom 128
man of lofty and severe 51
man of merit and genius 70
man of merit and talent 49
man of merit and virtue 81
man of merit our friend 111
man of noble and imposing 73
man of parts and energy 129
man of parts and fashion 97
man of parts and genius 514
man of parts and spirit 184
man of piety and inward 57
man of piety and prayer 70
man of piety and purity 40
man of piety and talent 43
man of piety and virtue 273
man of piety and wisdom 91
man of plain and simple 78
man of power and genius 52
man of power and strength 43
man of quick and lively 47
man of quick and piercing 95
man of quick and tender 46
man of quick and violent 88
man of quiet and gentle 66
man of quiet and retiring 124
man of reason and common 66
man of sense and breeding 400
man of sense and candor 353
man of sense and common 44
man of sense and energy 301
man of sense and genius 77
man of sense and proper 45
man of sense and spirit 820
