mad cry of exultation even 152
man and an unmarried girl 56
man and of anthropoid apes 40
man and the anthropoid apes 2099
man and the gentleman there 100
man and the immutable laws 59
man and the oppressor have 47
man and the oppressor meet 47
man can be delivered from 161
man can be developed into 40
man can be explained only 78
man can be liberated from 70
man can be perfectly sure 54
man can be prevented from 185
man can be satisfied only 63
man can be separated from 202
man can by agreement pass 85
man can we attribute such 113
man for an important post 53
man for the difficult task 75
man for the necessary means 50
man had an advantage over 59
man had to sacrifice much 50
man has an advantage over 287
man has an immaterial soul 46
man has no advantage over 497
man has no habitation here 40
man has so thoroughly cast 175
man has the advantage over 192
man hath to transfuse from 120
man may as reasonably draw 92
man may be converted into 119
man may be delivered from 203
man may be dependent upon 59
man may be descended from 71
man may be different from 88
man may be persuaded into 57
man may be prevented from 297
man may be separated from 86
man may be sometimes very 83
man may be tolerably said 47
man out of servitude into 199
man that is competent brings 44
man that is different from 92
man that is perfectly well 47
man was as different from 46
man was in desperate need 59
man was in excellent health 56
man was no different from 147
man was so different from 158
man was so exceedingly great 41
man who is alienated from 200
man who is attracted only 40
man who is concerned only 170
man who is converted from 153
man who is decidedly more 144
man who is delivered from 121
man who is dependent upon 200
man who is descended from 132
man who is different from 206
man who is eternally busy 91
man who is immensely rich 62
man who is liberated from 95
man who is perfectly free 52
man who is perfectly sure 73
man who is prevented from 95
man who is separated from 368
man with an excellent mind 47
man with an extremely high 43
man with an impassive face 85
man with an infectious grin 75
man with an interesting face 48
man with an inventive mind 60
man with an unfaithful wife 66
man with an unnatural heavy 71
man with the anthropoid apes 68
man with the blackened face 57
man with the bloodshot eyes 122
man with the clipboard said 48
man with the flattened nose 63
man with the paralyzed hand 79
man with the penetrating eyes 56
man with the sensitive face 61
man with the shriveled hand 242
man with the sunburned face 48
map can be converted into 45
map can be generated from 40
may act an important part 43
may act in different ways 429
may add the production from 59
may all be condensed into 56
may all be converted into 88
may all be deducible from 66
may all be delivered from 309
may all be descended from 51
may all be different from 120
may bear up tolerably well 50
may bias the perceived meaning 48
may both be dependent upon 46
may bring the profession into 47
may ease the transition from 59
may end in spiritual life 70
may end up somewhere else 122
may fix an afternoon hour 216
may get an advantage over 42
may get the impression from 223
