mad as hell if i 74
man as free as i 67
man as good as a 57
man as great as a 55
man as hard as i 60
man as living in a 387
man as much as a 1616
man as much as i 1673
man as much of a 40
man as part of a 1771
man as poor as i 70
man as seen by a 43
man as soon as a 163
man as soon as i 396
man as such is a 287
man as tall as a 142
man as tall as i 91
man as there is a 55
man as well as a 23294
man as well as i 710
man as young as i 48
man at birth is a 51
man at home in a 133
man at home is a 51
man at home on a 54
man at once as a 73
man at rest in a 71
man at rome at a 64
man at work as a 59
man at work in a 655
man at work on a 262
man be born in a 91
man be born of a 165
man be born to a 49
man be sick of a 45
man be stung by a 40
man by living in a 44
man by means of a 1385
man he knew as a 100
man he must be a 97
man he went on a 61
man he went to a 42
man he will be a 111
man if there is a 228
man in arms of a 137
man in case of a 69
man in health is a 62
man in lieu of a 41
man in love is a 244
man in need of a 1420
man in town is a 64
man in town of a 100
man in view of a 40
man in want of a 163
man in zuni is a 70
man is acting as a 101
man is also in a 81
man is angry at a 46
man is bent on a 40
man is born as a 274
man is born at a 47
man is born in a 765
man is born of a 187
man is born to a 175
man is cast in a 44
man is clad in a 80
man is clinging to a 98
man is eaten by a 43
man is ever in a 45
man is felt as a 56
man is fond of a 111
man is free in a 124
man is free of a 154
man is free or a 114
man is full of a 59
man is great as a 82
man is hanging by a 54
man is heir to a 96
man is held in a 48
man is hurt by a 46
man is kept in a 152
man is laid in a 67
man is laid on a 94
man is leaning on a 62
man is left in a 105
man is less of a 146
man is like to a 63
man is living in a 366
man is living on a 52
man is lost in a 230
man is made of a 65
man is more of a 923
man is much as i 59
man is once in a 61
man is only as a 56
man is only in a 62
man is part of a 1040
man is riding in a 40
man is riding on a 99
man is said of a 70
man is seen as a 1153
man is seen at a 42
man is seen by a 55
man is seen in a 223
man is sent on a 77
man is sent to a 171
man is shot by a 162
man is stung by a 174
man is sure of a 99
man is tied to a 189
man is told by a 100
man is torn by a 43
man is true of a 65
man is used as a 230
man is used in a 51
man it acts as a 87
man it must be a 115
man it will be a 181
man of dust of a 75
man of faith in a 49
man of faith is a 148
man of india or a 41
man of mark as a 95
man of means in a 45
man of means or a 51
man of mind is a 62
man of note as a 46
man of peace in a 137
man of peace or a 45
man of rank in a 55
man of wealth as a 45
man of wealth in a 44
man of wealth or a 70
man of whom is a 152
man of worth as i 57
man of worth or a 156
man on deck as a 82
man on duty at a 45
man on foot in a 50
man on foot is a 49
man on foot or a 40
man or beast in a 43
man or beast is a 149
man or even as a 214
man or even by a 52
man or even of a 119
man or even to a 115
man or less of a 57
man or much of a 57
man or part of a 44
man so much as a 1279
man so much as i 72
man so well as i 61
man so young as i 46
man the face of a 82
man the form of a 57
man the goal of a 148
man the hope of a 140
man the life of a 100
man the loss of a 132
man the making of a 94
man the name of a 414
man the same as a 106
man the same as i 53
man the size of a 1354
man the work of a 112
man to break up a 63
man to call at a 40
man to call me a 93
man to call on a 59
man to come at a 52
man to come to a 999
man to draw up a 180
man to dream of a 353
man to find in a 50
man to give it a 187
man to give me a 422
man to give to a 450
man to give up a 475
man to give us a 483
man to have as a 366
man to have at a 43
man to have in a 333
man to have on a 108
man to hold up a 51
man to keep to a 44
man to keep up a 137
man to kick up a 48
man to lift up a 41
man to live as a 825
man to live at a 44
man to live in a 3461
man to live on a 138
man to look at a 268
man to look on a 196
man to make it a 184
man to make me a 102
man to make of a 43
man to make up a 116
man to meet in a 50
man to move in a 58
man to move to a 53
man to open up a 391
man to pass at a 177
man to pass by a 126
man to pass up a 77
man to pick up a 272
man to play in a 63
man to play on a 56
man to pose as a 158
man to rank as a 64
man to react in a 55
man to ride in a 84
man to rise to a 452
man to sell me a 84
man to send on a 81
man to send to a 58
man to show me a 131
man to speak at a 76
man to speak in a 43
man to speak of a 151
man to speak to a 655
man to stay in a 134
man to stop at a 53
man to swear at a 59
man to swim in a 287
man to take in a 46
man to take on a 232
man to take to a 112
man to take up a 476
man to talk of a 53
man to talk to a 141
man to talk to i 65
man to tell me i 65
man to think of a 208
man to those of a 51
man to turn to a 45
man to walk in a 41
man to work as a 222
man to work at a 187
man to work in a 326
man to work on a 250
man we meet is a 75
map as part of a 126
map as soon as i 40
map as well as a 647
map by means of a 325
map is made of a 56
map is made on a 67
map is part of a 178
map is seen as a 50
map is used as a 319
map is used in a 44
map of india as a 77
map of india on a 63
map of part of a 105
map or plan is a 88
map or plan of a 179
map or plat of a 51
map the data to a 64
map the name of a 140
map the size of a 201
mar the peace of a 53
math as well as a 121
mat is used as a 74
mat the size of a 41
may as well be a 6331
may as well do a 379
may as well eat a 75
may as well go a 144
may at best be a 270
may at last be a 73
may at least be a 667
may at most be a 44
may at once be a 121
may be able at a 137
may be able by a 123
may be able in a 335
may be able to a 94
may be able to e 46
may be acting as a 2257
may be acting at a 91
may be acting in a 752
may be acting on a 204
may be acts of a 41
may be adding to a 61
may be aiming at a 119
may be akin to a 306
may be also as a 67
may be also be a 105
may be also in a 79
may be also of a 47
may be angry at a 152
may be away on a 73
may be awed by a 74
may be back in a 363
may be back or i 43
may be bent at a 125
may be bent by a 165
may be bent in a 199
may be bent to a 321
may be best if i 103
may be best in a 123
may be bold as a 45
may be born as a 778
may be born at a 156
may be born in a 1402
may be born of a 371
may be born to a 333
may be bred by a 48
may be bred in a 55
may be bred to a 96
may be bringing in a 40
may be cast as a 546
may be cast at a 78
may be cast by a 218
may be cast in a 986
may be cast on a 204
may be cast to a 54
may be clad in a 48
may be clear as a 60
may be clear in a 79
may be clear to a 130
may be clinging to a 43
may be clue to a 58
may be coming at a 54
may be coming to a 669
may be cued by a 47
may be done as a 3004
may be done at a 2328
may be done by a 15255
may be done if a 448
may be done in a 16371
may be done is a 144
may be done on a 4894
may be done or a 47
may be done to a 1931
may be done via a 182
may be down in a 48
may be down to a 107
may be dull at a 64
may be dyed in a 188
may be dyed of a 53
may be eased by a 178
may be eaten as a 824
may be eaten at a 111
may be eaten by a 760
may be eaten in a 291
may be even as a 46
may be even as i 60
may be even at a 51
may be even in a 159
may be even of a 122
may be even to a 101
may be felt as a 4754
may be felt at a 256
may be felt by a 698
may be felt if a 46
may be felt in a 937
may be felt on a 70
may be felt to a 57
may be fine as a 106
may be fine in a 189
may be fine on a 41
may be firing at a 41
may be flying in a 46
may be fond of a 97
may be free in a 123
may be free of a 43
may be full of a 133
may be giving up a 185
may be giving us a 219
may be glad of a 527
may be gone in a 257
may be good as a 551
may be good at a 83
may be good in a 317
may be good to a 191
may be great as a 64
may be great in a 71
may be half of a 61
may be hanging by a 48
may be hard in a 45
