me backwards onto the bed 41
me countless ideas of things 52
me dreadfully when he was 63
me enumerate some of them 85
me hopefully over the one 62
me precisely what it was 60
me seventeen years to get 62
me somewhere along the way 134
me stretched till the sun 43
me threepenny worth of any 134
me yesterday told me that 40
my ancestors came to this 106
my ancestors have so long 266
my apartment leaning on her 131
my appearance make in any 133
my appointed time in this 106
my appointed time is set 181
my appointed time to die 109
my arguments fell on deaf 73
my arguments have as yet 50
my artillery teams to aid 43
my assistant told me that 89
my assumption here is that 45
my boyfriend told me that 40
my charities puts an end 43
my childhood dream of being 79
my childhood used to say 40
my christmas gift to you 194
my colleagues tell me that 227
my colleagues told me that 577
my colleagues used to say 48
my collection when we get 40
my companions said it was 61
my companions told me that 398
my conclusion here is that 48
my conclusion must be that 93
my conclusion will be that 309
my contention here is that 315
my contention will be that 250
my daughters from the end 336
my departure from my own 45
my departure from the earth 44
my departure from the inn 51
my directions only to you 71
my discharge from the air 69
my discourse only to that 40
my discussion here is that 111
my discussion will be that 41
my everlasting duty to her 45
my everlasting leave of this 42
my evidences give of him 45
my existence from the earth 58
my expedition into the dim 66
my footsteps over my beat 53
my generation came of age 51
my generation grew up with 323
my gentleman gave me ten 53
my governess ever to bring 58
my histories tell me that 41
my informant acting as his 43
my informant said he had 48
my informant told me that 360
my informers were no way 57
my instances from my own 68
my instincts tell me that 1245
my instincts tell me this 74
my instincts tell me you 103
my instincts told me not 60
my instincts told me that 1438
my instincts told me was 40
my intentions have so far 72
my knowledge none of them 210
my knowledge there is not 373
my masculine part the poet 131
my neighbors told me that 88
my neighbors used to say 43
my nightgown over my head 196
my objective here is not 87
my paramount duty to this 45
my posthumous fame to that 60
my principal task in this 106
my privilege even to see 61
my proffered hand as that 48
my relatives told me that 137
my sanctuary when it was 41
my secretary came in and 145
my secretary told me that 706
my secretary told me you 65
my shoulders once in his 72
my signature from the act 48
my sometimes buying of him 198
my spiritual eyes to see 59
my spiritual life is not 51
my stepmother told me that 91
my submission will be that 92
my suggestion here is that 180
my suggestion will be that 162
my sweatshirt over my head 125
my sympathies were on his 51
my tenderest love to all 56
my tenderest love to dear 54
my uttermost when it was 102
