made almost beautiful by her 52
made another mortgage to pay 87
made deeply sensible of our 53
made doubly emphatic by being 86
made enough mistakes in his 41
made enough progress in his 46
made enough progress so that 137
made further additions to his 57
made further progress in his 68
made further progress in its 66
made further progress in this 67
made greater advances in this 99
made greater progress in all 44
made greater progress in his 43
made greater progress in this 178
made itself apparent in his 106
made itself apparent to him 54
made itself manifest in all 46
made itself manifest in his 121
made itself manifest in our 41
made itself sensible to his 58
made kenyon sensible in how 81
made little disguise of his 58
made little objection to his 64
made little pretense of being 101
made little progress as yet 107
made little progress at this 52
made little progress in any 163
made little progress in her 67
made little progress in his 503
made little progress in its 253
made little progress in our 134
made little progress in that 421
made little progress in this 785
made little progress on his 117
made little progress on this 76
made little progress so far 134
made little progress so long 97
made little speeches to her 56
made marked progress in his 42
made marked progress in this 41
made mention formerly of our 65
made public pursuant to this 50
made serious attempts to bring 60
made serious mistakes in his 99
made serious mistakes in its 66
made sexual advances to her 555
made sexual advances to him 162
made sexual advances to his 65
made sexual advances to them 63
made sexual comments to her 57
made special provision in his 61
made useful comments on this 49
made valiant attempts to get 53
made various attempts to bring 100
made various attempts to get 420
made various attempts to lead 71
made various attempts to set 40
made various circuits as they 45
made without authority of law 617
made without deduction of tax 158
made without exemption of any 56
made without recourse to any 56
main actors involved in this 43
main building consists of two 58
main factor involved in this 52
main issues involved in this 153
make another struggle to get 104
make better citizens of them 47
make better decisions if they 284
make better decisions if you 90
make better decisions on how 124
make better progress if they 99
make better progress if you 74
make farther advances in her 60
make further additions to his 41
make further advances in this 44
make further comments on this 68
make further progress in his 79
make further progress in its 54
make further progress in our 149
make further progress in that 57
make further progress in this 352
make further progress on this 58
make further provision by law 51
make further provision in that 60
make greater progress if they 40
make greater progress in his 49
make greater progress in this 43
make itself apparent to our 106
make itself conscious of its 48
make itself manifest in all 49
make itself manifest on both 109
make little progress in his 85
make little progress in this 76
make myself agreeable to her 331
make myself agreeable to him 100
make myself agreeable to one 47
make myself agreeable to them 177
make myself agreeable to you 174
make myself sensible of god 61
make policy decisions by going 42
make policy decisions in this 65
make pretty speeches to her 76
make public property of our 51
make serious mistakes in his 54
make serious mistakes in our 45
make sexual advances to her 137
make sexual advances to him 53
make thyself renowned to all 203
make timely deposits of tax 99
make timely payments to its 43
make unlike divisions of them 79
make useful citizens of them 68
make useful subjects to his 41
making further progress in this 65
making further provision by law 58
making futile attempts to get 43
making little progress in his 95
making myself agreeable to you 47
making pretty progress to her 54
making sexual advances to her 146
making sexual advances to him 55
making sexual advances to his 50
male sexual contacts of men 79
many abused children do not 59
many another american of his 46
many another wayfarer of earth 76
many authors continue to use 64
many breeds produced by man 117
many cancer patients do not 67
many cities revolted to him 50
many common examples of this 43
many curious examples of this 131
many curious problems to his 43
many earnest liberals of our 111
many earnest preachers of our 43
many failed attempts to get 49
many famous examples of this 40
many further examples of this 79
many futile attempts to get 61
many honors bestowed on him 129
many issues involved in this 181
many leagues westward of that 53
many meetings attended by too 49
many mighty examples of its 48
many modern examples of this 51
many modern scholars do not 41
many obvious examples of this 45
many police officers do not 84
many puzzling questions to him 78
many recent advances in our 84
many recent examples of this 58
many serious problems in our 62
many serious problems in this 48
many sexual partners as they 52
many sexual partners do you 83
many states continue to use 45
many steeds darkened the air 128
many strange monsters in his 56
many strange portents of our 49
many striking examples of how 64
many striking examples of this 303
many training programs do not 49
many useful comments on this 115
many valiant soldiers of god 88
mass through exposure of its 77
meaning always contains the idea 51
meaning hereby assigned to them 655
means unduly elevated by his 45
mere chance glimpses of her 60
mere formal mistakes at any 43
mere native tenacity is not 99
mere trifle compared to that 65
mere trifle compared to this 55
mind readily accepted the idea 68
month before admission he had 63
more active assertion of our 125
more active exercise of his 57
more active interest in all 109
