mad even to consider it 47
man acting in response to 43
man among the ancients is 55
man among the children of 116
man among the creatures of 41
man daring to hesitate or 51
man drew the attention of 41
man during the lifetime of 152
man during the progress of 159
man facing the prospect of 42
man felt an interest in 46
man from the ancestor on 48
man from the audience to 48
man from the authority of 83
man from the beginnings of 128
man from the category of 72
man from the clutches of 407
man from the communion of 115
man from the condition of 199
man from the confines of 71
man from the darkness of 126
man from the delights of 66
man from the direction of 133
man from the district of 180
man from the doctrine of 100
man from the drudgery of 141
man from the environs of 52
man from the evidence of 42
man from the exercise of 272
man from the fullness of 117
man from the goodness of 71
man from the judgment of 54
man from the ministry of 510
man from the miseries of 86
man from the operation of 155
man from the physical to 72
man from the pinnacle of 45
man from the practice of 228
man from the presence of 173
man from the pressure of 99
man from the products of 55
man from the province of 250
man from the shackles of 562
man from the thralldom of 82
man from the trammels of 120
man from the troubles of 63
man from the vicinity of 87
man half so agreeable to 133
man have the audacity to 64
man have the boldness to 62
man have the capacity to 132
man having an interest in 47
man high in authority in 52
man into the condition of 62
man into the darkness of 43
man into the external or 97
man into the likeness of 261
man into the presence of 947
man just as promptly as 40
man left the hospital in 54
man lent an interest to 45
man living in idleness on 67
man lose by casualty of 127
man love the daughter if 53
man made it possible to 59
man made no objection to 46
man made no response to 50
man made the tomahawk of 56
man make no progress as 54
man must be accepted as 160
man must be actuated by 45
man must be admitted to 213
man must be assessed in 64
man must be assigned to 77
man must be attached to 43
man must be confined to 117
man must be conscious of 326
man must be defended by 44
man must be deprived of 91
man must be directed to 54
man must be disposed to 76
man must be divested of 49
man must be educated by 53
man must be educated in 49
man must be educated to 139
man must be employed to 57
man must be expected to 90
man must be governed by 159
man must be ignorant of 101
man must be included in 97
man must be involved in 63
man must be obedient by 342
man must be obedient to 72
man must be preceded by 43
man must be prepared to 1367
man must be presumed to 436
man must be reckless of 64
man must be referred to 55
man must be regarded as 1736
man must be replaced by 69
man must be restored to 66
man must be returned to 58
man must be sensible of 112
man must be somewhat of 88
man must be stripped of 58
man must be suffered to 69
man must be supposed to 574
man need be deterred by 53
man next in authority to 46
man only is required to 63
man over the agencies of 49
man over the disposal of 63
man over the princess is 49
man paid no attention to 1404
man pays no attention to 218
man rising to eminence in 63
man said he believed he 42
man said in response to 70
man says he believes in 99
man such as yourself is 105
man such as yourself to 148
man take an interest in 150
man taking an interest in 100
man there is evidence of 80
man think of describing the 52
man took an interest in 232
man took no interest in 64
man trying to describe an 50
man trying to describe the 44
man trying to remember the 40
man upon so delicate an 83
man upon the chastity of 59
man upon the rhetoric of 73
man upon the threshold of 62
man waking up abruptly to 56
man were the subjects of 49
man were to renounce the 79
man what he intended to 52
man when he ascended the 182
man when he attempts to 173
man when he believes in 67
man when he believes is 48
man when he condemns me 46
man when he consents to 51
man when he contemns me 72
man when he received the 73
man when he receives the 110
man when he returned to 462
man whom he affected to 53
man whom he believed he 54
man whom he believed the 53
man whom he believed to 1439
man whom he believes to 749
man whom he declares to 108
man whom he designed to 66
man whom he employed to 42
man whom he expected to 132
man whom he happened to 54
man whom he imagined to 53
man whom he intended to 229
man whom he presumed to 50
man whom he proposed to 102
man whom he referred to 73
man whom he regarded as 3772
man whom he resolves to 43
man whom he restored to 67
man whom he supposed he 92
man whom he supposed to 353
man whom he supposes to 89
man whom he suspects of 65
man whom it requires an 46
man whom the accident of 63
man whom the citizens of 43
man whom the legacies of 47
man whom the majority of 110
man whom we believed to 110
man whom we consider as 113
man whom we consider to 94
man whom we regarded as 104
man whom we supposed to 50
man will be affected by 71
man will be assigned to 94
man will be conscious of 58
man will be credited to 105
man will be deprived of 233
man will be disposed to 282
man will be entitled to 152
man will be expected to 266
man will be followed by 62
man will be governed by 79
