marks obtained were clustered most 44
might actually have benefited from 44
might discover their intentions more 91
might exercise some influence over 95
might otherwise have abstained from 58
might otherwise have benefited from 63
might otherwise have developed into 156
might otherwise have inherited from 78
might otherwise have prospered well 46
might otherwise have refrained from 70
might otherwise have slumbered till 72
might otherwise have triumphed over 89
might possibly have developed into 75
might possibly have mitigated some 55
