made an early dinner with 57
made an even better one 63
made an even bigger one 141
made an high priest for 636
made an ideal target for 111
made as much larger than 45
made as will foster and 45
made at some future and 64
made at some future day 71
made at these meetings and 57
made at these meetings are 46
made be laid before each 44
made by fusing silica with 72
made by heavy cosmic ray 136
made by lord kelvin and 53
made by many authors that 43
made by many learned men 46
made by mixing cement and 121
made by mixing cement with 121
made by mixing copper and 111
made by mixing copper with 77
made by mixing tallow with 56
made by mixing yellow and 168
made by other authors and 58
made by other authors that 112
made by other authors who 40
made by other groups and 58
made by other methods and 52
made by other nations and 84
made by other states and 43
made by paul revere and 81
made by some authors that 302
made by some learned man 48
made by some member that 50
made by some person for 43
made by some person not 50
made by some person who 219
made by such agency not 162
made by such person and 130
made by such person are 52
made by such person for 212
made by their crowding and 502
made by their elders for 41
made by their fathers and 115
made by their leaders and 48
made by their mothers and 95
made by these actions are 117
made by these authors and 52
made by these authors are 106
made by these authors that 211
made by these authors was 93
made by these groups and 43
made by these groups are 51
made by these methods are 112
made by those around her 70
made by those around him 117
made by very serious and 48
made in great detail and 48
made in high school and 146
made in late august and 43
made in late summer and 71
made in late winter and 49
made in like manner and 444
made in like manner for 89
made in many cities and 53
made in many colors and 117
made in many places and 118
made in many places for 63
made in many shapes and 1335
made in many states and 48
made in many states for 58
made in many styles and 393
made in most states for 51
made in north africa and 55
made in other cities and 49
made in other places and 103
made in other places than 74
made in other states and 128
made in some degree for 276
made in some places and 44
made in some places for 134
made in some places with 50
made in some states and 50
made in some states for 132
made in south africa and 290
made in south africa for 70
made in south africa that 60
made in south africa was 56
made in south africa with 83
made in such fashion that 114
made in such mailings are 71
made in such manner and 1144
made in such manner that 1274
made in such scenes and 72
made in their behalf and 79
made in their behalf are 42
made in their behalf for 41
made in their design and 113
made in these fields and 55
made in three pieces and 75
made in wild terror for 74
made in your letter are 44
made in your letter that 46
made in your school for 40
made is much greater than 61
made it back safely and 60
made it clear already that 225
made it clear before now 42
made it clear before that 43
made it clear beyond all 347
made it clear beyond any 319
made it clear earlier that 371
made it clear enough for 55
made it clear enough how 47
made it clear enough that 3350
made it clear through her 43
made it clear through his 135
made it clear through its 62
made it clear whether his 40
made it clear whether they 159
made it clear whether this 48
made it even better for 66
made it even better than 70
made it even better was 209
made it even clearer than 70
made it even clearer that 886
made it even harder for 1778
made it even harder than 58
made it even harder was 144
made it ever clearer that 156
made it ever harder for 123
made it hard enough for 107
made it high treason for 315
made it home safely and 88
made it home without any 43
made it into loaves for 43
made it into something new 64
made it into something that 237
made it less costly for 68
made it less finite and 44
made it less likely for 256
made it less likely than 161
made it less likely that 7998
made it less likely they 47
made it less urgent for 72
made it less useful for 40
made it like something real 122
made it look better than 44
made it look larger than 47
made it look strange and 41
made it more appealing than 42
made it more common for 59
made it more costly for 242
made it more exciting and 41
made it more exciting for 78
made it more likely for 374
made it more likely than 191
made it more likely that 12470
made it more likely they 82
made it more obvious than 69
made it more obvious that 485
made it more proper for 72
made it more secure and 74
made it more serious and 43
made it more urgent for 285
made it more urgent than 192
made it more urgent that 55
made it more useful for 79
made it more violent and 107
made it most likely that 226
made it much better than 196
made it much clearer than 42
made it much clearer that 99
made it much harder for 3133
made it much harder than 104
made it much larger than 50
made it safe enough for 48
made it seem better than 52
made it seem bigger and 59
made it seem bigger than 44
made it seem colder than 51
made it seem larger than 79
made it seem likely that 2936
made it seem obvious that 207
made it seem strange that 59
made it some effort with 102
made it their policy not 65
made it very costly for 59
made it very likely that 1046
made it very lively for 54
made it very obvious that 808
made it very pretty and 69
made it very simple and 43
made it very simple for 112
made it very tempting for 51
made it very unsafe for 93
made it very useful for 67
made it well suited for 183
made it wide enough for 59
