mad about loads of poor 59
man below wants to speak 79
man cared where he went 89
man comes again to steal 44
man could boast of having 49
man could carry so much 40
man could cause so much 53
man could change so much 147
man could claim to have 91
man could drown in those 101
man could enter by their 94
man could enter or leave 65
man could marry as many 165
man could never be free 56
man could never be sure 159
man could never go wrong 41
man could offer on these 87
man could serve so rare 132
man could spend the rest 53
man could stand no more 84
man could start to play 161
man could write or open 41
man could write so much 69
man cried aloud to keep 50
man falls short of true 46
man falls short of what 48
man first began to live 196
man first began to make 149
man first began to push 41
man first began to seek 72
man first began to speak 57
man first began to think 199
man first began to walk 66
man first thinks of some 80
man frets about the food 52
man grows stout of heart 57
man happy until he dies 81
man keeps quiet in such 43
man knows aught of what 269
man knows where to find 182
man knows where to have 164
man knows where to look 45
man leaves drops of sweat 53
man might grasp at your 49
man might marry as many 61
man might often as well 71
man might stand or fall 64
man named george the third 56
man never ceases to speak 131
man never dreams of such 106
man never fails to make 47
man never rises so high 175
man never seeks the truth 61
man never seems to have 71
man ought never to have 117
man ought never to lose 57
man ought never to make 57
man ought never to swear 48
man ought never to think 51
man really seems to have 46
man really wants to know 75
man really wants to make 55
man really wants to work 54
man right outta my hair 81
man seems awake to their 58
man seems never to have 203
man seems really to have 46
man shall drive me from 103
man shall never be able 85
man shall never be free 106
man shall seize the city 51
man shall stand or fall 70
man shuns evils as sins 448
man sitting under the tree 100
man stood within the door 41
man talking about the past 50
man wants cause of tears 44
man which shall be made 502
man whose blood is poor 102
man whose blood is pure 44
man whose blood is very 565
man whose blood is warm 567
man whose cause is just 47
man whose child is sent 44
man whose claim to fame 99
man whose grace of bearing 143
man whose place he took 63
man whose point of view 135
man whose power to help 121
man whose sense of duty 166
man whose sense of hearing 59
man whose sense of self 117
man whose state of mind 42
man whose story is here 45
man whose story is told 114
man whose style of life 43
man whose style of living 85
man would appear to have 192
man would blush to look 59
man would engage in such 60
man would never be able 700
man would never be seen 58
man would never do such 47
man would raise the same 66
man would sleep or stop 43
man would still be able 115
man would still be free 72
man would still be living 66
man would still be more 976
man would still be there 64
man would study to learn 40
man would under the same 64
man write never so well 45
man yearns after the love 47
map below shows the city 63
map shows where the leading 257
may adopt either of these 74
may again enter the body 40
may allow after the filing 101
may appear after the verb 95
may appear beneath the skin 58
may appear healthy at birth 97
may appear later in life 651
may appear light to those 53
may appear months or even 141
may appear months or years 164
may appear months to years 69
may appear under the eyes 49
may appear under the form 76
may appear under the heading 45
may appear under the name 55
may appear under the same 58
may appear under the skin 109
may appear within an hour 86
may appear within the body 48
may appear within the same 84
may argue about the meaning 43
may argue about the same 41
may arise about the next 53
may arise about the same 57
may arise after the date 277
may arise later in life 100
may arise under the laws 67
may arise under the said 40
may arise under the same 177
may arise under the third 58
may arise where it will 106
may arise within the body 90
may arise within the next 61
may arise within the same 102
may avoid drawing it when 50
may begin later in life 49
may begin where an evil 156
may begin within an hour 41
may begin within the next 42
may build where he will 55
may carry twice as much 81
may catch sight of some 103
may cause burns to skin 268
may cause clots to form 59
may cause nausea in some 41
may cause others to feel 64
may cause others to view 41
may cause people to feel 120
may cause people to have 105
may cause people to lose 103
may cause people to make 46
may cause people to move 66
may cause people to think 107
may cause people to work 64
may cause water to flow 69
may cause women to feel 46
may change within the next 101
may change within the same 64
may creep under the great 40
may dwell under the same 44
may easily carry the help 81
may easily judge of their 43
may easily judge to have 120
may easily spread to other 70
may either admit or deny 43
may either float or sink 48
may either grant or deny 95
may either merge the other 45
may either order the ship 70
may either smile at some 41
may elect either to have 64
may elect either to take 48
may elect which he will 74
may enjoy looking up their 75
may enter close at their 44
may enter either of many 43
may enter under the said 40
may every bliss be hers 72
may exist after the same 136
may exist under the laws 61
may exist under the most 87
may exist under the same 59
may exist within the cell 40
may exist within the same 498
may fancy paint no more 45
may float above the salt 80
