made army chief of staff 224
made clear either in words 43
made clear where he stood 125
made fine spots of color 99
made five miles by night 41
made five times as large 56
made four times as large 105
made four trips to china 53
made from bough to bough 40
made from brass or steel 85
made from coast to coast 89
made from fifty to sixty 71
made from forty to fifty 54
made from forty to sixty 41
made from fresh or dried 386
made from fruit or fruit 83
made from glass or metal 109
made from grade to grade 230
made from group to group 58
made from house to house 1158
made from period to period 93
made from place to place 560
made from point to point 428
made from seven to eight 43
made from slabs of stone 129
made from state to state 65
made from steel or brass 61
made from thirty to forty 55
made from water in which 50
made from within the ranks 90
made good sense in terms 147
made great haste to build 72
made great shift in helping 43
made high round the throat 95
made huge vases of metal 45
made into balls by rolling 50
made into balls of about 42
made into balls or cakes 84
made into boots by putting 41
made into cakes or balls 50
made into solid or fluid 183
made just above the level 61
made just above the pubic 287
made just above the pubis 117
made just above the upper 53
made just after the close 59
made just after the first 56
made just below the first 46
made just below the level 56
made just below the navel 127
made less rainy by cutting 51
made love since the night 72
made love under the stars 443
made love under the trees 98
made many trips to italy 41
made many trips to japan 56
made many trips to paris 51
made many trips to russia 46
made many trips to visit 58
made more fully to appear 63
made more money by selling 93
made more pliant by throwing 47
made more sense in terms 109
made more sense to build 109
made more sense to create 49
made more sense to focus 61
made more sense to spend 70
made more sense to start 64
made more sound by hurting 61
made most noise he would 144
made much noise in paris 54
made only after the child 56
made only after the court 111
made only after the event 77
made only after the first 76
made only since the author 47
made some forty or fifty 53
made some lists of names 48
made some money by selling 152
made some money by trade 44
made some noise in paris 73
made some sense in terms 93
made some seven or eight 65
made some shift to raise 49
made some thirty or forty 89
made soon after the close 66
made soon after the event 294
made soon after the first 214
made soon after the onset 56
made soon after the opening 78
made such hearts as yours 101
made their biers of birch 52
made their debut in paris 43
made their homes in caves 253
made their homes in kenya 48
made their homes in towns 61
made their minds up about 152
made their money by selling 341
made their money in banking 105
made their money in towns 40
made their money in trade 687
made their money of metal 46
made their rates by joint 50
made those names the signs 150
made those views the basis 42
made three times as large 97
made three trips to china 51
made three trips to italy 80
made three trips to paris 55
made three trips to spain 43
made very close to unity 45
made very happy by learning 56
made very large in order 79
made very nearly as often 103
made very short in order 43
made very small in order 93
made what haste he could 882
made what haste we could 346
made what money he could 41
made what shift he could 42
made what speed he could 436
made what speed we could 250
made wild beasts of every 58
made years after the event 146
mail from coast to coast 257
mail from house to house 56
mail from place to place 140
mail sack after the vision 52
mail send check or money 132
mail your check or money 153
main from morning to night 41
make clear where he stood 83
make clear where we stand 81
make clear which is which 62
make fine weather by shaking 44
make from fifty to sixty 48
make from forty to fifty 274
make from point to point 95
make from thirty to fifty 43
make from thirty to forty 161
make good sense in light 50
make good sense in terms 273
make good while it lives 41
make great noise by reason 138
make laws binding the people 55
make love under the stars 196
make mine enemy my judge 75
