machine worked by coarse means 57
mammary cancer in female rats 46
mammary glands of female rats 48
mammary glands to release milk 78
mammary tumors in female rats 411
mankind seemed to vanish when 62
marched across the border into 143
marched across the desert from 136
marched across the isthmus from 84
marched through the khyber pass 84
marched through the little town 54
marched toward the gloomy gate 55
marches before my closed eyes 82
marriage should be looked upon 40
married couple to pursue their 40
married feller of twenty years 63
married someone of another race 45
massive exodus of whites from 52
massive influx of soviet jews 69
masters degree in public health 180
material should be broken down 43
material should be cleaned from 50
material should be handed over 125
material should be placed into 51
material should be placed over 345
material should be poured into 50
material should be turned over 54
matters belonging to another part 48
matters relating to family life 99
matters relating to mental health 159
matters relating to public health 1044
matters should be agreed upon 54
matters should be looked into 121
matters touching the public good 118
maximum amount of energy from 324
maximum amount of energy will 80
maximum amount of lactic acid 155
maximum amount of memory used 92
maximum amount of memory your 48
maximum amount of output from 55
maximum amount of oxygen your 57
maximum amount of profit from 65
maximum amount of useful data 67
maximum amount of useful work 505
maximum amount the policy will 95
maximum amount to govern such 60
maximum height of twelve feet 43
maximum number of digits used 137
maximum number of regions into 74
maximum number of square feet 95
maximum output at lowest cost 56
meaningful amount of effort into 81
meaningful choice in entering into 53
measured across the widest part 141
measures courts of equity have 143
measures needed to direct their 48
measures needed to remove such 56
measures relating to public health 119
measures should be agreed upon 60
mediated through the spinal cord 180
medical school in kansas city 79
medical school in mexico city 53
members called to active duty 66
members chosen at random from 58
members chosen by direct vote 42
members played an active part 51
members played an active role 128
members should be banned from 46
members should be called upon 83
members should be chosen from 307
members should be hunted down 46
mercury should be poured into 45
mercury should be shaken down 89
merrily before the gentle gale 257
migrate through the vessel wall 283
millions sterling of annual rent 297
minimum amount of acetic acid 56
minimum amount of energy must 80
minimum amount of nitric acid 171
minimum number of digits used 55
minimum number of pupils have 68
minimum number of school days 147
minimum number of servings from 311
minimum number of square feet 304
minutes before he calmed down 100
minutes before he passed away 71
minutes before the actual time 48
minutes before the agreed time 68
minutes before the dinner hour 282
minutes before the doctor came 102
minutes before the guests were 110
minutes before the lights went 63
minutes before the lights were 42
minutes before the planes were 42
minutes before the police came 52
minutes before the proper hour 63
minutes before the proper time 77
minutes before the school bell 55
minutes before the second half 46
minutes before the starting time 216
minutes before the witching hour 41
minutes should be enough time 135
missile crisis the soviet union 58
mixture should be fairly thick 48
mixture should be poured into 161
moments before he turned back 46
moments follow the broken line 85
mounted before the palace gate 101
mounted before the sultry hour 64
mounted higher the breeze died 45
mounted inside the system unit 77
muffled through the closed door 63
murmuring sounds of insect life 40
muscles should be called into 45
muscles through the spinal cord 49
musical motifs as actual ideas 87
