man here could strike a 42
man must first become a 94
man will never become a 159
man will rather relate a 65
may also arise through a 77
may also occur through a 246
may also occur without a 215
may also point toward a 40
may come about through a 610
may even doubt whether a 51
may have lived through a 73
may have moved through a 50
may have since become a 85
may more easily become a 44
may once again become a 548
may take action without a 49
may take months before a 68
may take place across a 68
may take place around a 65
may take place before a 340
may take place inside a 78
may take place through a 1022
may take place unless a 53
may take place without a 638
may very easily become a 185
may well doubt whether a 164
men took cover behind a 49
men were passing through a 81
men were seated around a 430
men were sitting around a 533
men were sitting behind a 40
men were tried before a 45
men were walking through a 53
