made almost wholly of iron 47
made another effort to come 46
made another effort to draw 44
made another effort to find 104
made another effort to gain 93
made another effort to give 52
made another effort to have 68
made another effort to keep 70
made another effort to make 48
made another effort to move 68
made another effort to open 128
made another effort to pray 49
made another effort to pull 49
made another effort to push 40
made another effort to reach 162
made another effort to rise 116
made another effort to save 112
made another effort to speak 116
made another effort to take 59
made another effort to turn 70
made another voyage to india 79
made archer shiver to think 80
made barely enough to keep 67
made barely enough to live 57
made direct amends to such 480
made edible serves as food 40
made enough racket to wake 55
made itself master of utah 77
made joseph remove the body 66
made lavish grants of land 43
made little effort to break 63
made little effort to come 81
made little effort to curb 62
made little effort to deny 54
made little effort to draw 86
made little effort to find 385
made little effort to gain 118
made little effort to give 104
made little effort to have 86
made little effort to help 202
made little effort to hide 2361
made little effort to hold 90
made little effort to keep 481
made little effort to know 58
made little effort to learn 341
made little effort to link 51
made little effort to make 248
made little effort to mask 48
made little effort to meet 114
made little effort to move 66
made little effort to open 46
made little effort to push 95
made little effort to reach 238
made little effort to save 155
made little effort to seek 164
made little effort to sell 93
made little effort to show 73
made little effort to speak 48
made little effort to stem 44
made little effort to stop 216
made little effort to take 104
made little effort to teach 62
made little effort to work 121
made little headway in bringing 43
made little headway in dealing 46
made little headway in most 116
made little headway in their 177
made little headway in these 48
made little headway in those 52
made little impact on most 81
made little impact on their 172
made little impact on those 163
made little mention of their 58
made little mention of these 45
made little secret of their 738
made myself master of these 64
made public through the media 181
made serious errors in their 78
made slaves through the vice 53
made slight changes in their 55
made special findings of fact 41
made special mention of their 62
made special mention of these 71
made tension itself in fact 40
made virgil wonder to gaze 132
made without dropping the least 53
made without regard to cost 193
made without regard to other 48
made without regard to race 483
made without regard to such 69
made without regard to their 244
made without regard to time 40
made wooden images to bury 58
mail orders should be sent 298
main artery through the city 54
main attack should be made 176
main effort should be made 223
main factor appears to have 44
main factor behind the rise 53
main factor limiting the size 48
main issues raised by these 54
main object appears to have 116
main points should be clear 56
main points should be kept 76
main points should be made 100
main shopping street in town 56
main street through the city 57
main street through the town 142
main stress should be laid 132
