naively trace relations 42
naivete about american 51
naivete about politics 91
narrowing after coronary 143
narrowing pulse pressure 2324
narrowing rather abruptly 61
narrows rather abruptly 86
narrows rather suddenly 70
narrows which separate 51
nascent class conflict 46
nascent human sciences 55
nascent indian industry 64
nascent labor movement 1075
nascent latin american 341
nascent local industry 46
nascent movie industry 88
nascent social movement 161
nascent social sciences 478
nascent state combines 63
nascent steel industry 83
nascent sugar industry 146
national action programs 258
national action pursuant 81
national adult education 958
national adult literacy 1039
national anthem composed 136
national anthem contains 47
national anthem followed 169
national anthem replaced 49
national armed conflict 40
national armed services 145
national armed struggle 70
national banking business 125
national banking currency 219
national banking industry 140
national banking interest 57
national banking policies 79
national banks actually 61
national banks amounted 171
national banks authority 44
national banks compared 42
national banks declined 94
national banks decreased 57
national banks depended 44
national banks exceeded 43
national banks exercising 87
national banks increased 599
national banks involved 47
national banks numbered 44
national banks operated 89
national banks provided 117
national banks received 84
national banks remained 62
national banks reported 109
national banks required 68
national banks respecting 59
national banks situated 85
national basic education 60
national beauty contests 248
national black audience 47
national black identity 67
national black movement 88
national black politics 118
national black sorority 52
national blood pressure 91
national board chairman 59
national board composed 63
national brand identity 72
national brand products 381
national cable audience 51
national cable channels 145
national cable networks 616
national cable services 81
national cause admitted 82
national cause inspired 67
national cause required 46
national child advocacy 143
national civic education 118
national civic identity 77
national civic movement 68
national civil engineering 77
national civil servants 4075
national civil services 1249
national class conflict 60
national class divisions 53
national class interest 394
national class relations 77
national class struggle 183
national court concerning 56
national court decisions 621
national court judgment 47
national court referred 198
national crime computer 136
national crime database 68
national crime problems 44
national cross sectional 67
national daily reported 44
national dairy industry 152
national dance ensemble 117
national dance festival 56
national danger involved 68
national debts increased 41
national debts incurred 125
national donor agencies 159
national drama festival 68
national dress consists 51
national drugs strategy 74
national essay contests 97
national ethics advisory 41
national ethnic identity 248
national ethnic minority 221
national evening newscast 41
national event occurred 40
national evils increased 47
national fault involved 135
national feeling asserted 56
national feeling awakened 59
national feeling demanded 59
national feeling inspired 55
national feeling produced 49
national feeling remained 58
national feeling respecting 56
national feeling survived 57
national feeling whatever 41
national field director 509
national fishing industry 295
national flags fluttering 84
national front coalition 94
national front composed 43
national front comprising 49
national front movement 126
national front strategy 268
national funding agencies 739
national funding councils 73
national funding policies 48
national funding programs 47
national glory acquired 113
national goals requires 54
