naphthalene single crystals 127
narratives also describe 117
narratives also indicate 142
narratives also provided 40
narratives call attention 62
narratives draw attention 68
narratives during exposure 119
narratives from children 152
narratives from medieval 40
narratives give evidence 52
narratives have provided 118
narratives have received 57
narratives have remained 61
narratives have suffered 69
narratives have survived 72
narratives into dramatic 73
narratives must therefore 49
narratives well attested 43
narratives were accepted 41
narratives were actually 56
narratives were analyzed 132
narratives were borrowed 41
narratives were combined 83
narratives were compared 42
narratives were compiled 92
narratives were composed 410
narratives were designed 151
narratives were dictated 48
narratives were elicited 131
narratives were employed 42
narratives were entirely 43
narratives were examined 52
narratives were included 75
narratives were intended 189
narratives were invented 98
narratives were obtained 54
narratives were prepared 51
narratives were probably 130
narratives were produced 382
narratives were received 116
narratives were recorded 343
narratives were regarded 55
narratives were selected 81
narratives when compared 45
narratives will continue 81
narratives will probably 46
nationalism also affected 97
nationalism also included 40
nationalism also provided 42
nationalism among africans 59
nationalism among american 125
nationalism among educated 51
nationalism among minority 68
nationalism among students 51
nationalism have combined 52
nationalism have produced 40
nationalism have received 61
nationalism have remained 57
nationalism into bourgeois 40
nationalism made possible 49
nationalism must therefore 53
nationalism over socialism 67
nationalism took definite 48
nationalism were combined 77
nationalism were mutually 55
nationalism were regarded 51
nationalism were therefore 51
nationalism will continue 342
nationalism will disappear 125
nationalism will flourish 61
nationalism will probably 119
nationalist arab movement 43
nationalist army officers 1352
nationalist mass movement 682
nationalist youth movement 624
nationality have provided 50
nationality such aircraft 56
nationality were admitted 49
nationality were arrested 57
nationality were employed 41
nationality were expelled 90
nationality were included 58
nationality were interned 55
nationality will continue 76
nationality will disappear 68
nationality will dominate 82
nationality will probably 43
nationalize heavy industry 57
nationalize their property 87
nativities have commonly 44
naturalist john bradbury 198
naturalist just mentioned 129
naturalist were attached 69
naturalist will perceive 50
naturalist will probably 97
naturalizing some tropical 42
navigators from portugal 42
navigators have observed 84
navigators like columbus 111
navigators were attempting 67
navigators were deterred 52
navigators were employed 46
navigators were required 43
necromancy were received 50
negatively acting elements 56
negatively when compared 46
negativity into positive 65
negligence bars recovery 364
negligence from calamity 81
negligence from liability 50
negligence from recovering 86
negligence from recovery 50
negligence less criminal 82
negligence were involved 45
negligence were properly 86
negligence will continue 49
negligence will normally 50
negligence will preclude 65
negligence will probably 49
negligible axial diffusion 55
negligible back pressure 42
negligible cost compared 71
negligible loss compared 71
negligible mass compared 221
negligible mass transfer 189
negligible pump depletion 76
negligible rate compared 188
negligible risk standard 255
negligible role compared 75
negligible size compared 140
negligible time compared 69
negligible time constant 109
negligible time interval 50
negligible wall thickness 177
negligible when averaged 44
negligible when compared 7321
negligibly slow compared 64
negotiations also included 80
negotiations also involved 63
negotiations also produced 50
negotiations also provided 58
negotiations also resulted 70
negotiations among contending 56
negotiations among developing 118
negotiations among interest 173
negotiations among multiple 76
negotiations among officials 53
negotiations from collapsing 42
negotiations from december 88
negotiations from february 51
negotiations from november 70
negotiations from positions 54
negotiations from proceeding 165
negotiations from washington 59
negotiations have achieved 94
negotiations have actually 89
negotiations have advanced 65
negotiations have centered 46
negotiations have extended 43
negotiations have followed 69
negotiations have included 112
negotiations have increased 67
negotiations have involved 100
negotiations have occurred 231
negotiations have produced 344
negotiations have provided 120
negotiations have received 79
negotiations have recently 138
negotiations have remained 105
negotiations have resulted 781
negotiations have suffered 41
negotiations have therefore 62
negotiations just mentioned 42
negotiations made possible 85
negotiations made progress 92
negotiations more seriously 64
negotiations must commence 44
negotiations must continue 191
negotiations must therefore 105
negotiations over accession 67
negotiations over american 77
negotiations over autonomy 85
negotiations over boundary 48
negotiations over contract 88
negotiations over cultural 53
negotiations over disputed 80
negotiations over economic 201
negotiations over financial 103
negotiations over identity 50
negotiations over japanese 125
negotiations over louisiana 68
negotiations over manchuria 46
negotiations over military 99
negotiations over monetary 44
negotiations over possible 77
negotiations over property 267
negotiations over proposed 67
negotiations over questions 59
negotiations over resource 105
negotiations over salaries 77
negotiations over security 46
negotiations over services 49
negotiations over specific 203
negotiations very seriously 47
negotiations were abortive 142
negotiations were abruptly 511
negotiations were actively 243
negotiations were actually 929
negotiations were affected 83
negotiations were approved 53
negotiations were attended 193
negotiations were centered 54
negotiations were commencing 40
negotiations were complete 944
negotiations were confided 41
negotiations were confined 268
negotiations were continuing 1160
negotiations were convened 57
negotiations were critical 48
negotiations were declared 57
negotiations were deferred 61
negotiations were delicate 137
negotiations were designed 211
negotiations were destined 68
negotiations were developing 54
negotiations were directed 183
negotiations were directly 68
negotiations were effected 56
negotiations were embodied 104
negotiations were employed 46
negotiations were entirely 280
negotiations were essential 108
negotiations were expected 334
negotiations were extended 309
negotiations were finished 467
negotiations were followed 302
negotiations were formally 628
negotiations were friendly 65
negotiations were fruitful 56
negotiations were hampered 172
