fatalistically accept their 88
fundamentalism became more 93
fundamentalist forces have 107
fundamentalist forces were 49
fundamentalist groups also 67
fundamentalist groups among 57
fundamentalist groups from 104
fundamentalist groups have 717
fundamentalist groups like 204
fundamentalist groups such 359
fundamentalist groups were 265
fundamentalist groups will 44
fundamentalist leaders have 186
fundamentalist leaders like 78
fundamentalist leaders such 77
fundamentalist leaders were 130
fundamentalist muslim sect 144
