fan power requirement 499
far above atmospheric 100
far above christianity 41
far above commonplace 151
far above competitive 140
far above conventional 90
far above equilibrium 101
far above expectations 313
far above replacement 179
far above subsistence 922
far above superstition 97
far apart politically 352
far apart spiritually 44
far apart theologically 43
far below agriculture 46
far below anticipated 87
far below atmospheric 206
far below christianity 44
far below competitive 62
far below conventional 66
far below equilibrium 141
far below established 51
far below expectations 5121
far below philadelphia 44
far below professional 71
far below recommended 223
far below replacement 889
far below subsistence 599
far easier corruptible 81
far easier politically 44
far fewer alternative 58
far fewer applications 141
far fewer automobiles 70
far fewer calculations 93
far fewer combinations 41
far fewer commitments 46
far fewer commodities 47
far fewer comparisons 65
far fewer computations 63
far fewer constraints 447
far fewer differences 301
far fewer distractions 111
far fewer expectations 44
far fewer experiences 47
far fewer experiments 78
far fewer independent 120
far fewer individuals 492
far fewer inhabitants 170
far fewer institutions 85
far fewer instructions 131
far fewer instruments 63
far fewer interactions 52
far fewer manuscripts 54
far fewer measurements 72
far fewer observations 190
far fewer occurrences 63
far fewer photographs 57
far fewer pregnancies 58
far fewer professional 80
far fewer prosecutions 46
far fewer publications 84
far fewer reservations 165
far fewer respondents 155
far fewer restrictions 803
far fewer significant 144
far fewer subscribers 48
far fewer supervisors 46
far fewer transactions 124
far field distribution 226
far field measurements 162
far field temperature 66
far finer performance 48
far finer workmanship 107
far given satisfaction 62
far later development 236
far local governments 51
far longer continuance 43
far longer established 47
far longer perspective 50
far lower expectations 73
far lower frequencies 103
far lower percentages 185
far lower probability 132
far lower sensitivity 43
far lower temperature 579
far older civilization 116
far quite unexpressed 68
far reaching achievement 42
far reaching adjustments 50
far reaching applications 368
far reaching commitments 105
far reaching consequence 2092
far reaching contribution 206
far reaching development 415
far reaching differences 259
far reaching discoveries 157
far reaching experiments 40
far reaching implications 17072
far reaching improvement 79
far reaching legislative 61
far reaching modification 58
far reaching organization 85
far reaching restrictions 67
far reaching restructuring 91
far reaching sociological 41
far reaching speculations 59
far right politically 122
far safer alternative 202
far social development 112
far state intervention 40
far truer satisfaction 47
far truer understanding 68
far weaker politically 41
far wider applications 212
far wider connotations 53
far wider development 171
far wider differences 114
far wider distribution 780
far wider geographical 233
far wider imaginative 47
far wider implications 1128
far wider involvement 43
