far differently constituted 101
far outnumbered republicans 45
far outstripped expectations 62
far unsuspected uprightness 43
fed subsistence agriculture 117
few adventurous individuals 126
few alternative explanations 131
few alternative investments 52
few biographical dictionaries 55
few biographical particulars 220
few charismatic individuals 114
few coeducational institutions 58
few commonplace compliments 52
few commonplace observations 229
few comparative experiments 60
few comparative measurements 43
few comparative observations 108
few conspicuous differences 57
few conspicuous individuals 108
few conventional compliments 47
few correctional institutions 51
few demographic differences 132
few deprecatory observations 46
few descriptive particulars 42
few disaffected incendiaries 46
few disaffected individuals 101
few disagreeable experiences 41
few disappointing experiences 41
few discernible differences 194
few disgruntled individuals 138
few distinctive differences 53
few distinguished individuals 478
few enlightened individuals 535
few established institutions 83
few experienced individuals 58
few explanatory observations 379
few exploratory experiments 78
few fragmentary inscriptions 78
few fragmentary observations 69
few fundamental differences 670
few fundamental distinctions 62
few fundamental experiments 57
few fundamental observations 122
few fundamental propositions 383
few geographical constraints 40
few grammatical differences 56
few illuminated manuscripts 188
few illustrated manuscripts 94
few imaginative individuals 45
few independent institutions 77
few independent journalists 66
few independent measurements 50
few independent observations 80
few independent publications 58
few independent restaurants 63
few individuals distinguished 41
few individuals experienced 52
few individuals occasionally 146
few individuals participate 43
few individuals permanently 48
few individuals represented 42
few individuals responsible 50
few institutions established 67
few intelligent individuals 125
few intelligent observations 74
few irregularly distributed 193
few manufacturing enterprises 237
few mathematical calculations 103
few mathematical instruments 120
few navigational instruments 58
few observations explanatory 83
few observations unexplained 62
few occupational differences 47
few pathological individuals 42
few performance differences 42
few personality differences 123
few preliminary arrangements 119
few preliminary calculations 158
few preliminary compliments 73
few preliminary disclosures 58
few preliminary distinctions 111
few preliminary experiments 1430
few preliminary explanations 364
few preliminary formalities 78
few preliminary instructions 125
few preliminary measurements 123
few preliminary observations 4276
few preliminary particulars 106
few preliminary pleasantries 43
few preliminary preparations 81
few preliminary propositions 46
few preparatory experiments 157
few professional astronomers 138
few professional development 105
few professional journalists 89
few professional naturalists 65
few professional prostitutes 68
few professional publications 58
few professional sociologists 45
few progressive communities 65
few progressive individuals 84
few progressive institutions 54
few progressive republicans 71
few prospective longitudinal 63
few qualitative differences 327
few qualitative observations 129
few respectable individuals 102
few respectable inhabitants 91
few respondents volunteered 56
few responsible individuals 68
few settlements established 43
few significant applications 42
few significant breakthroughs 40
few significant coefficients 216
few significant correlations 1226
few significant differences 8299
few significant discoveries 95
few significant distinctions 60
few significant experiences 41
few significant implications 54
few significant individuals 71
few significant interactions 228
few significant observations 154
few significant publications 53
few speculative individuals 46
few speculative observations 50
few statistical comparisons 69
few statistical differences 119
few statistical observations 47
few subordinate particulars 40
few subordinating conjunctions 46
few substantive differences 363
few susceptible individuals 201
few temperature measurements 76
few unauthorized individuals 131
