lad next simon suddenly 40
law also makes provision 220
law also which commands 70
law during armed conflict 82
law firm shall directly 95
law firm which includes 87
law firm which provides 98
law firm whose practice 58
law firm whose services 103
law firm would normally 43
law from george washington 89
law from which emanates 55
law from whose operation 114
law made under authority 68
law making women eligible 46
law over willing subjects 208
law rule still prevails 144
law rule which provides 46
law rule which required 75
law rule which requires 126
law there could properly 81
law will create inflation 50
lay down about midnight 40
lay down anything definite 47
lay down broad outlines 41
lay down broad policies 212
lay down false premises 41
lay down moral precepts 41
lay down rules concerning 444
lay down rules regulating 76
lay down rules respecting 99
lay down under unbroken 44
lay down until daylight 70
lay last night extended 57
lay some cooking utensils 85
lay their ships alongside 161
lay there until daylight 70
lay till broad daylight 45
lay very still meanwhile 74
lay your enemy alongside 120
lead from leaded gasoline 214
lead from motor vehicles 155
lead their lives entirely 48
lean years which followed 220
led from green pastures 40
led into error concerning 52
led into error respecting 89
led into green pastures 114
led many latin american 135
led some latin american 47
led some legal scholars 42
lee oars could scarcely 77
let cool until lukewarm 68
let some large district 47
let some white students 105
let their newly acquired 41
let their small children 44
let these mouthing puritans 78
let those whose business 57
let your blood pressure 95
let your child continue 51
let your child decorate 174
let your child practice 220
let your whole attention 40
lie down until daylight 42
lie from every judgment 40
lie more nearly parallel 207
lie very nearly parallel 98
lit upon books concerning 69
log fire burning brightly 53
log some types excluded 54
long ages which followed 68
long ages which preceded 97
long axes nearly parallel 88
long axis nearly parallel 53
long axis nearly vertical 75
long axis running parallel 103
long been above suspicion 44
long been calling attention 50
long been casting covetous 87
long been drawing attention 42
long been fully occupied 44
long been prime minister 125
long been roman citizens 45
long been seeking admission 75
long been taken seriously 61
long been under pressure 285
long been under scrutiny 100
long been under suspicion 358
long been under treatment 43
long bone shaft fragment 255
long canoe drift silently 54
long hair falling straight 42
long hair still entwined 48
long kept close prisoner 213
long life still lengthened 175
long life would scarcely 84
long list which included 76
long list which includes 145
long live george washington 72
long lull which followed 47
long paid close attention 70
long peace after waterloo 54
long peace which followed 508
long range weather forecast 206
long runs after enormous 114
long shed reaching downhill 79
long talk about politics 47
long term blood pressure 59
long term fixed interest 121
long term graft survival 96
long term growth potential 369
long term growth strategy 60
long time after apparent 81
long time after breakfast 52
long time after cessation 104
long time after columbus 48
long time after complete 44
long time after delivery 115
long time after everyone 79
long time after exposure 278
long time after infection 148
long time after injection 42
long time after maturity 56
long time after midnight 95
long time after operation 89
long time after received 178
long time after recovery 273
long time after treatment 285
long time anything prettier 81
long time drawn attention 46
long time frame involved 67
long time frame required 63
long time often required 95
long time people believed 227
long time period involved 190
long time period required 226
long time prime minister 49
long time scale involved 97
long time scale required 43
long time since breakfast 656
long time since somebody 65
long time spans involved 95
long time still remained 76
long time under constant 45
long time under pressure 55
long time under suitable 46
long time under treatment 81
long time until daylight 62
long time until recently 70
long time until suddenly 63
long time until tomorrow 54
long time would probably 62
long walk after breakfast 149
long wars which followed 111
long when fully extended 625
long will people continue 101
long years which followed 116
long years which preceded 77
lot more about business 55
lot more about nutrition 214
lot more about politics 106
lot more about yourself 369
lot more money involved 57
lot more people involved 122
low angle grain boundary 459
low angle light scattering 406
low cost housing programs 97
low cost housing projects 546
low cost legal services 105
low dark banks stretching 53
low duty cycle operation 120
low flow rates required 73
low flying enemy aircraft 70
low iron binding capacity 44
low left atrial pressure 237
low ratio would indicate 43
low reading level materials 57
low rent housing projects 202
low risk after negative 89
low soil water contents 112
low soil water potential 478
low unit value products 55
low wage rates prevailing 51
low wall which enclosed 70
low wall which supports 42
