labeling bears any statement 72
labors were not altogether 70
lacked arms and ammunition 161
lacked arms and equipment 49
lacked food and ammunition 50
lacked form and structure 61
lacked guns and ammunition 58
lacked what was necessary 96
lactic acid and alcoholic 173
lactic acid and inorganic 167
lactic acid and metabolic 121
lactic acid and phosphate 48
lactic acid and potassium 342
ladies from san francisco 55
ladies have any affections 113
ladies here are perfectly 42
ladies were all assembled 42
ladies were all enchanted 41
ladies were his daughters 57
ladies were not forgotten 60
ladies were not permitted 238
ladies were not satisfied 48
lament what they destroyed 83
landed arms and ammunition 98
landed upon this continent 44
landed wealth and commercial 79
landed wealth and exclusive 50
landed wealth and industrial 41
landed wealth and political 90
languid among all appliances 60
languid mind with fantastic 111
lapsed into his customary 54
larger areas are available 43
larger areas than previously 42
larger army was assembled 41
larger data set collected 46
larger deer and antelopes 41
larger fish are generally 52
larger here than elsewhere 108
larger ones are available 113
larger ones are flattened 43
larger ones are generally 174
larger ones are inhabited 46
larger ones are sometimes 154
larger ones for protection 48
larger part being furnished 54
larger part for themselves 113
larger role for themselves 162
larger role than elsewhere 42
larger role than previously 155
larger room for discretion 48
larger self that possesses 47
larger size and different 246
larger size and generally 44
larger size and irregular 65
larger size and population 103
larger size are sometimes 55
larger size than elsewhere 109
larger there than elsewhere 68
larger when one considers 167
larger work and throughout 157
larger work was published 58
lasted more than seventeen 40
lasted only one generation 147
lasted only two centuries 54
lasted over two centuries 290
lasted some two centuries 54
lately been his prisoners 124
lately been too satirical 47
lately done and committed 46
lately gave out extremely 42
lately heard two instances 65
lately held that commission 86
lately lost his principal 454
lately made her appearance 51
lately made his appearance 241
lately made its appearance 868
lately seen and questioned 41
latent fears and anxieties 45
latent fears and suspicions 43
latest arms and equipment 47
latest book was published 65
latest born and loveliest 254
latest data are available 127
latest date for completion 72
latest date for submission 85
latest ideas and inventions 47
latest ideas and practices 46
latter acts and accidents 64
latter ages who possessed 41
latter book was published 189
latter came off conqueror 40
latter came off victorious 131
latter came out victorious 136
latter case are generally 44
latter case may sometimes 40
latter case they generally 42
latter case they represent 42
latter case they sometimes 61
latter case two different 60
latter case was discussed 61
latter city was destroyed 56
latter data are available 74
latter days with wonderful 43
latter duty was performed 48
latter fact was confirmed 48
latter fact was especially 43
latter fact was sometimes 51
latter from all ambiguity 42
latter gave him permission 43
latter have not developed 47
latter have this advantage 44
latter kind are described 40
latter kind are generally 47
latter kind are sometimes 43
latter made her appearance 46
latter made his appearance 643
latter made his complaint 57
latter made its appearance 127
latter owes its existence 85
latter part was altogether 345
latter plan was abandoned 77
latter rite was performed 46
latter ship had recovered 53
latter soon was convinced 80
latter step was necessary 49
latter task was completed 43
latter task was entrusted 70
latter term being generally 49
latter term being preferred 46
latter term has reference 47
latter term was preferred 40
latter three are discussed 42
latter time that closeness 291
latter took his departure 135
latter type are discussed 68
latter type are generally 77
latter type are sometimes 75
latter used his influence 74
latter view had prevailed 66
latter view has prevailed 155
latter view that prevailed 81
latter view was certainly 65
latter view was confirmed 50
latter view was expressed 186
latter view was supported 179
latter were his historians 47
latter were not altogether 76
latter were not available 238
latter were not concerned 41
latter were not connected 44
latter were not permitted 278
latter were not published 117
latter were not satisfied 101
