lad a bondman to 288
lap a handful of 49
law a barrier to 40
law a carrier is 127
law a citizen of 223
law a company is 114
law a concept of 163
law a decision by 41
law a decision of 76
law a failure to 52
law a function of 103
law a guardian in 87
law a husband is 112
law a marriage is 114
law a maximum of 63
law a minimum of 96
law a miracle in 53
law a mistake in 41
law a network of 115
law a package of 57
law a penalty is 65
law a penalty of 43
law a position of 42
law a present of 136
law a process of 49
law a prodigy of 53
law a product of 82
law a promise to 128
law a quarter of 45
law a question of 140
law a sanction so 46
law a species of 52
law a statute of 66
law a stranger to 105
law a subject of 151
law a tenancy at 57
law a treatise of 104
law a variety of 125
law a violation of 545
law i believe to 90
law i propose to 41
lay a balance on 49
lay a barrage of 78
lay a barrage on 62
lay a barrier of 89
lay a bedrock of 100
lay a blanket of 217
lay a blanket on 132
lay a blister on 90
lay a bouquet of 249
lay a captive in 146
lay a century in 53
lay a century of 237
lay a cluster of 732
lay a clutter of 52
lay a command on 60
lay a company of 57
lay a complex of 239
lay a concept of 102
lay a country in 59
lay a country of 119
lay a crystal of 41
lay a curtain of 65
lay a deposit of 171
lay a display of 44
lay a division of 43
lay a fortune in 54
lay a garland of 151
lay a garland on 79
lay a handful of 395
lay a history of 225
lay a hundred or 84
lay a hundred to 951
lay a journey of 135
lay a maximum of 62
lay a minimum of 41
lay a mixture of 122
lay a network of 408
lay a package of 84
lay a pattern of 156
lay a pattern on 72
lay a penalty of 71
lay a penalty on 85
lay a petition at 48
lay a petition to 52
lay a picture of 83
lay a plaster to 48
lay a premium on 60
lay a problem of 69
lay a promise of 58
lay a quarter of 809
lay a question of 98
lay a question on 148
lay a reserve of 54
lay a scatter of 75
lay a segment of 70
lay a sergeant of 65
lay a serpent of 89
lay a soldier on 69
lay a stratum of 474
lay a stretch of 2785
lay a summary of 181
lay a thousand or 94
lay a thousand to 171
lay a tramway in 56
lay a treasure of 47
lay a tribute of 70
lay a tribute on 49
lay a variety of 568
lay a village of 120
lead a boycott of 220
lead a brigade in 107
lead a brigade of 173
lead a brigade to 71
lead a caravan of 130
lead a caravan to 60
lead a caterer of 43
lead a citizen to 59
lead a company in 129
lead a company of 1797
lead a company or 58
lead a company to 983
lead a country in 74
lead a country of 63
lead a country or 41
lead a country to 618
lead a crusade in 195
lead a crusade of 515
lead a crusade on 50
lead a crusade to 895
lead a current of 142
lead a division in 146
lead a division of 281
lead a division to 104
lead a handful of 363
lead a husband to 112
lead a joyless or 58
lead a manager to 569
lead a nomadic or 258
lead a painter to 40
lead a partner to 43
lead a patient to 1631
lead a platoon in 83
lead a platoon of 192
lead a platoon to 43
lead a process of 299
lead a program of 100
lead a program to 59
lead a project to 288
lead a quarter of 130
lead a revival in 70
lead a revival of 183
lead a scholar to 81
lead a searcher to 48
lead a segment of 61
lead a seminar at 45
lead a seminar in 119
lead a seminar on 443
lead a seminar or 42
lead a service in 47
lead a service of 44
lead a society in 41
lead a society to 551
lead a stranger to 1706
lead a student of 87
lead a student on 65
lead a student to 2382
lead a subject to 222
lead a suspect to 49
lead a traitor to 49
lead a variety of 672
lead a visitor to 329
lead a witness to 174
leaf a miracle of 55
leaf n content of 73
lean a mixture as 186
lean a mixture is 53
lean a subject as 131
leap a barrier of 54
led a battery of 47
led a boycott by 47
led a boycott of 692
led a brigade at 743
led a brigade in 1001
led a brigade of 740
led a brigade to 109
led a cabinet of 41
led a captive in 104
led a captive to 232
led a caravan of 548
led a caravan to 63
led a cluster of 50
led a command of 55
led a company at 131
led a company in 313
led a company of 3648
led a company to 279
led a concert of 56
led a cortege of 109
led a coterie of 53
led a council of 75
led a country to 45
led a crusade in 126
led a crusade of 137
led a crusade or 42
led a crusade to 757
led a division at 807
led a division in 665
led a division of 898
led a following of 54
led a handful of 886
led a hundred of 159
led a network of 60
led a nomadic or 64
led a patient to 68
led a petition to 42
led a phalanx of 112
led a platoon in 102
led a platoon of 422
led a platoon to 53
led a process of 97
led a program of 84
led a program to 47
led a project on 44
led a project to 200
led a protest at 91
led a protest by 55
led a protest in 144
led a protest of 171
led a protest to 74
led a pursuit of 41
led a quarter of 202
led a remnant of 122
led a renewal of 60
