landowners were more interested 46
landscapes have been identified 50
landslides have been identified 50
legislation have been considered 72
legislation have been enactments 111
legislation have been identified 54
legislation have been introduced 373
legislation into three categories 45
leukocytes have been identified 46
liabilities have been discharged 268
liabilities have been identified 79
liabilities have been liquidated 76
liabilities have been subtracted 167
liberality among their oppressors 262
lieutenant upon duty designedly 75
likelihood ratio test statistics 693
limitations have been considered 97
limitations have been determined 92
limitations have been discovered 53
limitations have been eliminated 77
limitations have been identified 325
limitations have been introduced 105
limitations have been recognized 258
limitations upon other properties 51
limitations upon their activities 68
literature from duke university 56
literature from yale university 189
literature have been attributed 48
literature have been calculated 50
literature have been considered 84
literature have been criticized 47
literature have been determined 92
literature have been discovered 112
literature have been elaborated 55
literature have been identified 164
literature have been influenced 49
literature have been introduced 67
literature have been stimulated 42
literature have been summarized 123
literature have been translated 293
literature into four categories 68
literature into three categories 174
literature will find delightful 47
localities have been determined 42
localities have been discovered 279
localities have been identified 225
loneliness even more oppressive 53
lymphocyte homing into peripheral 59
