labeling plays an important 61
labile under the conditions 134
laboring force is voiceless 69
laboring people of california 82
laboring under an impression 53
laboring under an incurable 161
laboring under an infectious 105
laboring under the assumption 203
laboring under the conviction 436
laboring under the handicaps 81
laboring under the impression 3878
laboring under the imputation 40
laboring under the influence 1221
laboring under the necessity 62
laboring under the oppression 50
labors under the assumption 88
labors under the handicaps 49
labors under the impression 614
labors under the imputation 136
labors under the influence 47
labors under the necessity 48
labors under the obligation 50
labors under the patronage 116
labors under the protection 53
labors which he performed 112
labors which he undertook 41
lacked either the knowledge 121
lacked either the necessary 59
lacked either the political 93
lacked either the resources 132
lacked force of character 141
lacked power of expression 51
lacked power to entertain 67
lacked power to interfere 72
lacked power to legislate 88
ladies could be persuaded 41
ladies could be prevailed 77
ladies filling the galleries 46
ladies found it difficult 60
ladies found it necessary 47
ladies might be permitted 105
ladies seated in admiration 46
ladies stood in unrelated 75
ladies would be delighted 131
ladies would be overjoyed 91
lances which he furnished 41
landed after an engagement 56
landed first at baltimore 57
landed under the palisades 54
landed under the protection 516
landed within the chesapeake 40
landed within the perimeter 41
landings within the corporate 54
landings would be attempted 44
landings would be unopposed 42
lapsed under the provisions 45
lapses after the expiration 78
larger angles of incidence 760
larger arena of political 77
larger basin of attraction 104
larger beaker or casserole 41
larger birds the disparity 49
larger board of directors 80
larger brain in proportion 85
larger change in aggregate 55
larger change in collector 53
larger class of algorithms 43
larger class of compounds 60
larger class of consumers 97
larger class of phenomena 259
larger class of processes 49
larger class of situations 69
larger doses of anesthetic 47
larger doses of antitoxin 43
larger doses of cortisone 57
larger doses of digitalis 261
larger doses of diuretics 44
larger doses of histamine 191
larger doses of irradiation 124
larger doses of medication 166
larger doses of narcotics 265
larger doses of potassium 46
larger doses of sedatives 41
larger ducts the epithelium 85
larger field of awareness 46
larger field of discourse 191
larger field of discussion 42
larger field of influence 91
larger field of knowledge 275
larger field of operations 182
larger field of political 120
larger field of reference 59
larger field the practical 52
larger force is necessary 56
larger force of americans 75
larger force of employees 57
larger forms of political 74
larger forms of vegetation 62
larger frame of reference 3313
larger group of americans 186
larger group of believers 73
larger group of christians 59
larger group of colleagues 47
larger group of community 70
larger group of companies 301
larger group of compounds 115
larger group of consumers 267
larger group of countries 754
larger group of customers 160
larger group of disciples 396
larger group of disorders 46
larger group of documents 43
larger group of emigrants 44
larger group of employees 457
larger group of employers 46
larger group of followers 271
larger group of industrial 53
larger group of investors 173
larger group of listeners 59
larger group of merchants 56
larger group of observers 47
larger group of offenders 44
larger group of organisms 85
larger group of phenomena 76
larger group of physicians 72
larger group of political 69
larger group of prisoners 86
larger group of relatives 176
larger group of reporters 45
larger group of residents 69
larger group of secondary 47
larger group of similarly 96
larger group of taxpayers 56
larger group of unskilled 57
larger group or community 223
larger group or population 360
larger herds of livestock 213
larger house or apartment 113
