lacerated mind healed fast 96
lacerated young woman tied 97
landmarks were still there 91
landmarks were swept away 163
landowner upon whose land 128
landscape over large areas 53
landscape some miles away 52
laterally from either side 149
leadership came under heavy 47
leadership from within their 158
leadership have never been 70
leadership have often been 97
leadership role within their 102
leadership there would have 83
leadership were drawn from 49
lecturers were drawn from 66
legendary lore which have 43
liberated even while living 244
liberated from alien rule 159
liberated many people from 47
liberated many women from 41
liberated their minds from 65
liberates free iodine from 157
liberation from alien rule 186
liberation from every form 277
liberation from every kind 78
liberation from every other 112
liberation from roman rule 73
liberation from white rule 89
liberties have never been 46
liberties have often been 54
liberties were taken away 172
liberties were taken from 59
liberties were under threat 57
liberties will spare nothing 73
librarians have never been 54
librarians have often been 73
libraries from which these 45
libraries have moved from 47
libraries have never been 102
libraries have often been 120
libraries have since been 71
libraries were taken over 142
libraries were thrown open 82
lighthouse from which there 59
limestone beds which have 94
limestone belt which runs 54
limitation fund shall have 74
limitation over would have 51
limitation will apply only 45
listeners were smiling their 68
literally bent under their 44
literally from morning till 61
livestock were taken from 57
loadstone must needs have 89
loveliest echo lived there 64
loveliest fair curly hair 64
loyalties were breaking down 46
lubricant film which will 123
lubricating oils which have 210
lucrative cash crops such 58
lumberers were rolling down 60
