lace your fingers behind 106
lack fine motor skills 42
lack their usual common 63
lads were arguing whether 52
lady some newly coined 44
lady very truly writes 40
laid bare every detail 67
laid bare every hidden 163
laid down about twenty 49
laid down again without 55
laid down quite clearly 185
laid down rules relating 59
laid down solid reasons 63
laid down under desert 59
laid down under marine 260
laid down under punjab 95
laid down under section 835
laid down under various 45
laid down which seemed 119
laid down which should 199
laid down would induce 44
laid more fully before 118
laid over until monday 66
laid their burning cheeks 65
laid their cases before 148
laid their cause before 88
laid their chief stress 72
laid their first clutch 47
laid their gifts before 81
laid their hands across 58
laid their hands gently 62
laid their hands heavily 40
laid their plans before 248
laid their reeking swords 81
laid their sharp points 87
laid their views before 161
laid their whole stress 78
laid their wrongs before 64
laid these facts before 365
laid these views before 51
laid upon cross pieces 41
laid upon every artist 75
laid upon every gallon 99
laid upon every member 172
laid upon every person 56
laid upon jesus christ 127
laid upon which future 43
laid your first letter 60
lain last night behind 78
lain some hours silent 47
lake four miles across 116
lake from which issues 105
lake into which rivers 166
lake into which streams 189
lake upon whose shores 133
lake were quite heavily 271
lamb into small pieces 93
lamp ever burning before 70
land areas large enough 42
land five miles square 102
land four miles square 235
land from indian tribes 235
land from large holdings 45
land from large owners 106
land from local chiefs 133
land from local rulers 50
land from urban sprawl 45
land from which another 90
land from which timber 165
land from white owners 62
land held under feudal 48
land held under native 260
land held under various 187
land into equal shares 79
land into large holdings 120
land into large pieces 52
land into paddy fields 209
land into small family 41
land into small fields 87
land into small holdings 736
land into small pieces 118
land into small tracts 137
land just large enough 65
land many times before 83
land nine miles square 149
land once again became 123
land over which another 200
land over which common 94
land over which rights 164
land rest every seventh 55
land their human cargoes 57
land three miles square 121
land took place before 63
land took place through 41
land upon which houses 97
land upon which stands 165
land uses within cities 85
land were either eagerly 91
land were nobly served 75
land will again become 51
land will either refuse 50
land will never forget 75
land will often induce 44
land will still remain 52
land will yield enough 113
land worth fifty pounds 42
land worth forty pounds 121
lard into small pieces 107
last bond which united 73
last cast which fickle 53
last come first served 277
last door shuts behind 43
last drop which caused 59
last drop which filled 57
last felt strong enough 149
last fire shall devour 52
last five months before 131
last five weeks before 157
last five words should 64
last four files opened 99
last four hours before 61
last four lines quoted 105
last four lines should 59
last four months before 312
last four months without 170
last four weeks before 557
last four words should 52
last four world series 53
last glad parting legacy 131
last great change should 48
last great hindu empire 107
last great hunting ground 139
last great indian battle 185
last great indian uprising 56
last great naval battle 239
last grew strong enough 47
last hour shall arrive 112
last link which united 45
last look round before 218
last many months before 122
last much longer anyhow 51
last much longer anyway 421
last much longer before 256
last much longer unless 255
last much longer without 1069
last news about little 40
last news which reached 41
last nine months before 63
last nine months floating 45
last only about twenty 222
last only eight inches 44
last only until someone 43
last seen walking toward 105
last there would remain 50
last three hours before 250
last three items listed 70
last three items should 56
last three lines insist 44
last three lines quoted 91
last three lines should 71
last three miles before 43
last three months before 2141
last three months should 219
last three months without 219
last three solar cycles 125
last three weeks before 1406
last three weeks without 154
last three words should 47
last three words slowly 51
last took place sooner 55
last truth which should 69
last upon solid ground 53
last very small indeed 42
last week about whether 53
last week first opened 52
last were leaves varied 76
last were never broken 63
last were strong enough 48
last word about myself 40
last word about reality 82
last word about whether 48
last word would always 77
late city final edition 67
late have shown alarming 41
late holy roman empire 144
late hugh price hughes 83
late june until august 62
late last night before 329
late last night watching 123
late last night without 81
late lord mount temple 72
late next morning before 239
late spring frost damage 56
late spring until autumn 137
late years shown itself 47
laths were shown instead 170
laws came under attack 65
