lab a great place 44
law a bill calling 46
law a bill creating 141
law a bill which 205
law a fine ought 50
law a girl could 62
law a meaning which 72
law a mere farce 50
law a month after 55
law a month later 116
law a rule which 88
law a term which 55
law a third party 52
law a very large 41
law a week later 64
law a wife could 196
law i have cited 81
law i have found 92
law i have given 130
law i have never 77
law i have tried 46
lay a clean piece 58
lay a clean sheet 109
lay a clear field 57
lay a copy thereof 111
lay a dark green 44
lay a deep ditch 51
lay a deep gorge 68
lay a deep gully 47
lay a deep sense 96
lay a fair claim 117
lay a fair plain 79
lay a firm basis 405
lay a firm grasp 60
lay a flat piece 71
lay a flat plain 121
lay a flat stone 149
lay a folio welsh 42
lay a giant force 49
lay a gold crown 51
lay a gold piece 45
lay a gold watch 79
lay a good basis 46
lay a good wager 436
lay a good while 710
lay a great black 90
lay a great danger 136
lay a great fleet 65
lay a great marsh 83
lay a great plain 130
lay a great river 97
lay a great stone 97
lay a great swamp 121
lay a great water 55
lay a great while 1536
lay a great white 81
lay a gulf which 92
lay a half dozen 113
lay a hand under 45
lay a heavy piece 44
lay a heavy stone 61
lay a heavy wager 125
lay a huge black 63
lay a huge stone 112
lay a just claim 253
lay a land where 47
lay a mere child 123
lay a mere wreck 60
lay a mine field 70
lay a mine under 102
lay a more basic 40
lay a more solid 331
lay a pale green 41
lay a plot shall 70
lay a poor woman 56
lay a road which 98
lay a sick woman 78
lay a single brick 138
lay a single large 87
lay a single layer 43
lay a single morning 93
lay a single plank 80
lay a single sheet 124
lay a single stone 75
lay a single touch 80
lay a single track 166
lay a single white 169
lay a spur track 45
lay a sure basis 52
lay a thick black 51
lay a thick layer 233
lay a thick piece 43
lay a thick white 85
lay a tile drain 113
lay a tile floor 64
lay a tiny black 54
lay a true state 79
lay a vast field 86
lay a vast level 41
lay a vast plain 301
lay a vast region 197
lay a vast tract 72
lay a very large 364
lay a very small 281
lay a very solid 101
lay a very strong 123
lay a wide field 85
lay a wide green 45
lay a wide marsh 62
lay a wide plain 225
lay a wide region 132
lay a wide strip 53
lay a wood floor 47
lay a young indian 211
lay a young woman 567
lead a busy social 119
lead a card which 58
lead a free people 47
lead a full human 121
lead a full social 84
lead a girl scout 41
lead a good human 241
lead a good moral 166
lead a great cause 52
lead a great force 51
lead a great nation 264
lead a great party 155
lead a great people 117
lead a life above 58
lead a life after 59
lead a life apart 473
