lace collar fastened by 50
lack almost entirely the 371
lack direct evidence of 477
lack direct evidence on 102
lack enough evidence to 170
lack formal education in 53
lack formal education or 105
lack mental capacity to 54
lack something essential to 148
lading issued pursuant to 272
lading limiting liability to 43
lady already referred to 101
lady before referred to 77
lady friend informed me 45
lady gathering cherries in 89
lady herein referred to 58
lady highly esteemed by 61
lady knitting placidly by 95
lady seemed disposed to 51
lady stared straight at 94
lags behind increases in 111
lags behind industry in 41
laid almost entirely in 83
laid almost entirely on 139
laid before proceeding in 46
laid enough emphasis on 62
laid further emphasis on 68
laid greater emphasis on 2569
laid little emphasis on 315
laid proper emphasis on 74
laid sister caroline on 66
laid special emphasis in 281
laid special emphasis on 14518
laid utmost emphasis on 78
lain almost entirely in 75
lake already referred to 90
lake behind improves the 80
lama looked directly at 44
lamp burned brightly on 99
land abutting directly on 443
land almost anywhere in 190
land almost anywhere on 97
land almost opposite to 40
land already acquired by 234
land already allotted to 134
land already assigned to 41
land already disposed of 93
land already mentioned as 46
land already occupied by 2014
land already referred to 266
land always increases in 48
land became involved in 85
land became property of 46
land before attempting to 99
land before proceeding to 84
land belongs entirely to 67
land better governed in 60
land bridge connecting the 304
land charge pursuant to 86
land common property by 45
land dividing branches of 56
land forces amounted to 399
land forces assigned to 48
land forces attacked the 56
land forces consisting of 77
land forces destined to 105
land forces employed in 80
land forces employed on 129
land forces occupied the 50
land forces prepared to 42
land forces stationed in 119
land grants amounted to 58
land grants provided by 76
land grants received by 136
land grants recorded in 76
land greatly increased in 48
land holdings amounted to 63
land itself remained in 45
land itself remained the 101
land managing agencies to 48
land masses adjacent to 48
land masses relative to 60
land office business in 540
land owners adjacent to 50
land owners affected by 51
land partly occupied by 44
land policy designed to 282
land policy followed by 113
land prices continue to 430
land prices increased by 127
land prices relative to 150
land reform campaign in 454
land reform campaign of 140
land reform designed to 535
land reform increased the 48
land reform initiated by 323
land reform initiated in 74
land reform intended to 49
land reform involved the 42
land reform movement as 47
land reform movement in 574
land reform movement is 59
land reform movement of 267
land reform movement to 57
land reform occurred in 90
land reform policies in 489
land reform policies of 485
land reform policies to 61
land reform programs in 1467
land reform programs of 542
land reform programs to 251
land reform projects in 227
land reform proposed by 71
land reform provided the 72
land reform resulted in 365
land reform suitable to 93
land rights acquired by 109
land rights movement in 107
land routes connecting the 135
land should actually be 48
land should continue in 64
land should continue to 1093
land should normally be 86
land should probably be 85
land should therefore be 315
land slopes downward to 75
land survey township or 99
land system prevailing in 64
land tenure patterns in 724
land tenure patterns of 280
land tenure policies in 233
land tenure policies of 94
land tenure prevailing in 425
land tenure problems in 621
land tenure problems is 101
land tenure problems of 103
land tenure relations in 244
land tenure resulted in 44
land tenure security in 346
land tenure security is 135
land tenure situation in 465
land tenure situation is 144
land tenure situation of 91
land thereby intended to 56
land therein referred to 300
land through purchase or 422
land titles district in 159
land troops intended at 177
land values adjacent to 53
land values continue to 232
land values increased by 240
land values increased in 93
land values prevailing in 50
land values produced by 136
land values relative to 123
land values resulted in 55
land without approval of 62
land without consulting the 461
land without destroying it 118
land without destroying the 187
land without detention in 48
