lace laid between them 113
lack clear criteria for 137
lack meaning because they 44
lack peer support for 59
lack some features that 46
lack some quality that 43
lack these features and 151
lack true justice and 42
lack true tissues and 118
lading their vessels with 63
lady came forward and 268
lady came forward with 116
lady come herself and 41
lady coming towards him 53
lady coming towards them 44
lady ever blessed and 63
lady from america who 42
lady from chicago and 120
lady from chicago who 62
lady from virginia who 43
lady having assured him 47
lady health visitor and 125
lady knew exactly how 52
lady make herself fit 55
lady much admired for 62
lady only replied with 64
lady will receive you 42
laid back against her 79
laid back against his 172
laid back against its 62
laid deep schemes for 53
laid down against them 53
laid down between his 46
laid down between them 690
laid down between things 40
laid down between this 42
laid down between two 161
laid down broadly and 117
laid down broadly that 464
laid down criteria and 45
laid down criteria for 521
laid down decades ago 100
laid down demands that 100
laid down everything and 72
laid down exactly how 83
laid down measures for 72
laid down providing for 46
laid down rapidly and 76
laid down regarding them 83
laid down regarding this 63
laid down several new 51
laid down streets and 70
laid down targets for 77
laid down together and 46
laid down together with 233
laid flat against each 43
laid flat against her 60
laid flat against his 158
laid flat between two 43
laid heads together with 43
laid plot against both 86
laid snug against each 46
laid some gallant hat 104
laid their account with 467
laid their enemies low 55
laid these gardens out 64
laid upon everything that 249
laid upon fortune and 66
laid upon germany and 48
laid upon himself and 69
laid upon himself but 159
laid upon rational and 58
laid were covered with 40
laid your account with 97
lake among caverns and 53
lake more swiftly than 42
lake those spirits who 48
lake three hundred and 112
lake well stocked with 388
lake were covered with 519
lake were crowded with 48
lake were drained off 49
lake were studded with 42
lamp hanging overhead was 92
lamp well trimmed and 84
land among farmers and 47
land among peasants and 140
land areas covered with 125
land army together was 40
land best adapted for 122
land came unarmed and 57
land even stranger than 135
land five hundred men 100
land five thousand men 117
land four hundred and 100
land from capital and 67
land from central asia 89
land from congress and 43
land from congress for 80
land from farmers and 125
land from farmers for 57
land from farmers who 91
land from forests and 67
land from invasion and 64
land from peasants and 89
land from peasants who 43
land from persons who 125
land from private use 64
land from slavery and 70
land from taxation and 78
land from taxation for 107
land from tenants for 76
land from tyranny and 68
land from virginia and 52
land grew flatter and 44
land into harmony with 41
land into legible and 56
land into parcels and 98
land into parcels for 57
land into parcels that 40
land into parcels too 53
land into pasture and 381
land into pasture for 451
land into pasture was 47
land into portions too 99
land into sections and 100
land into smaller and 318
land into squares and 51
land into streets and 79
land just because they 147
land less fertile than 49
land lies between two 54
land life carried with 58
land link between asia 51
land mass covered with 40
land mass smaller than 63
land more closely than 124
land more distant than 69
land more fertile and 138
land more fertile than 495
land more quickly and 107
land more quickly than 245
land more rapidly than 449
land must compete with 43
land once covered with 293
land only because they 126
land owning classes and 120
land shut against you 109
land soon possess this 57
land their parents had 88
land three hundred and 133
land three thousand men 127
land very fertile and 268
land well adapted for 441
land well covered with 379
land well drained and 95
land well stocked with 536
land well watered and 122
land were carried out 382
land were charged with 58
land were covered with 1591
land were divided and 152
land were donated for 75
land were drained and 63
land were flooded and 56
land were granted for 431
land were granted them 40
land were offered for 534
land were planted with 877
land were released for 45
land were removed and 93
land were secured for 53
land were settled with 62
