labels others apply to 60
labels under which the 298
labels which appear in 49
labels which could be 220
labels which might be 75
labels which refer to 271
labels which serve as 43
labels which serve to 114
labile methyl group of 50
laboring class could be 89
laboring class under the 47
laboring class which is 46
laboring class would be 135
labors until terms of 41
labors which might be 47
lacked every trace of 67
lacked legal power to 81
lacked legal title to 75
lacked power under the 154
lacked power within the 40
lacked running water in 54
lacked running water or 106
lacked seven votes of 48
lacked staying power in 51
lacunae which exist in 49
ladder which could be 330
ladder which jacob in 42
ladder while working on 72
ladies began talking to 43
ladies clothing store in 45
ladies could dance the 67
ladies could enjoy the 59
ladies could never be 52
ladies could watch the 92
ladies first began to 67
ladies looking after the 43
ladies often cause the 61
ladies sitting round it 59
ladies sitting round the 90
ladies sitting under the 59
ladies still under the 50
ladies talking about the 86
ladies walking about in 72
ladies walking about the 82
ladies would appear in 369
ladies would begin to 44
ladies would enjoy the 50
ladies would flock to 44
ladies would gather in 47
ladies would never be 59
ladies would stand up 41
ladies would still be 43
ladies would visit the 55
lagged growth rates of 77
lagoon thirty miles by 49
lagoon which forms the 47
lambda light chain is 40
lambda would appear to 76
lamina which forms the 98
lances winding round the 61
landed about seven or 57
landed quite close to 158
landed right smack in 87
landed right smack on 68
landed right under the 50
landed right where he 63
landed right where the 55
landed small roles in 62
landed under cover of 1355
landed upper class in 115
landed upper class to 71
landed within sight of 202
landed within yards of 48
languor which seems to 126
lapsed until after the 55
larger black spots on 49
larger boats could be 58
larger boats would be 42
larger cells forming the 48
larger cells found in 40
larger cells known as 64
larger claim about the 89
larger class known as 47
larger class sizes in 72
larger class which is 92
larger cones appear to 45
larger crops could be 62
larger crops would be 44
larger daily doses of 84
larger doses could be 98
larger doses given at 67
larger doses might be 55
larger doses until the 40
larger doses would be 132
larger drops might be 46
larger engine would be 41
larger farms could be 47
larger farms owned by 56
larger farms where the 60
larger farms would be 93
larger field known as 53
larger field where the 41
larger field would be 69
larger firms appear to 90
larger firms began to 114
larger firms could be 52
larger firms might be 61
larger firms where the 50
larger firms within the 122
larger firms would be 206
larger force could be 180
larger force might be 50
larger force under the 225
larger force which at 63
larger force would be 490
larger funds would be 53
larger gains could be 40
larger grain sizes in 51
larger grain sizes of 50
larger group about the 41
larger group based on 88
larger group began to 45
larger group could be 126
larger group known as 532
larger group might be 84
larger group tends to 84
larger group under the 81
larger group where the 41
larger group which he 51
