lab studies have shown 86
lad himself held above 108
law affecting such notes 102
law against flag burning 131
law against such games 60
law applies even though 70
law applies only under 45
law applies only where 102
law applies only within 56
law because there would 60
law becomes more nearly 42
law between john locke 104
law charges were heaped 76
law derived from court 47
law derived from papal 50
law derived from reason 45
law derived from roman 319
law differs from civil 63
law differs from state 401
law entered into force 939
law forbids acts which 41
law governing such cases 434
law governing such suits 82
law governing these cases 50
law imposed from above 190
law imposes upon every 188
law mediated these class 51
law officer acting under 48
law permits such action 84
law revealed from heaven 42
law schools from which 104
law schools have begun 135
law schools have night 43
law schools have taken 40
law schools must allow 47
law schools were women 48
law several years later 41
law supreme over state 69
law violated their first 80
law violated their right 145
law voucher rule which 41
lay between high banks 78
lay between their house 61
lay between their rooms 44
lay chiefly among irish 61
lay chiefly among works 74
lay everything else aside 157
lay ghastly pale beneath 63
lay himself down again 94
lay himself down under 80
lay pitched like tents 78
lay quietly down again 64
lay several feet below 120
lay slackly tied beneath 46
lead acetate test paper 302
lead acetate were added 46
lead coffins were found 100
lead dropped into water 54
lead entails health risks 148
lead equally good lives 52
lead morally good lives 49
lead morally pure lives 40
lead poisoning among women 49
lead poisoning from ingesting 51
lead poisoning from paint 240
lead poisoning from water 48
lead poisoning were found 179
lead several such cards 57
lead weights were found 44
leaf between your fingers 127
leaf margins turn brown 53
leaf samples were taken 612
leap forward took place 304
leap several feet above 83
led america into world 75
led captive into egypt 47
led european free trade 49
led forward like sheep 72
led germany into world 126
led several years later 145
led unified task force 367
leg against hers under 51
leg against mine under 55
leg crossed over right 186
leg muscles during walking 302
leg muscles were still 52
leg muscles when lifting 46
leg towards your chest 104
leg twisted back under 50
let anybody else drive 155
let anybody else sleep 41
let anybody else touch 615
let anybody joke about 79
let anybody know about 501
let anybody know anything 91
let anybody know where 333
let anybody take anything 46
let anybody talk about 100
let clients know about 42
let everything else slide 408
let everything fall apart 129
let herself care about 142
let herself down again 52
let herself down easily 47
let herself dream about 71
let herself fall apart 137
let herself fall first 118
let herself fall under 67
let herself feel anything 171
let herself love again 52
let herself think about 7717
let himself care about 135
let himself down after 174
let himself down again 379
let himself down below 45
let himself down easily 175
let himself down until 145
let himself fall again 52
let himself fall under 99
let himself feel anything 151
let himself grow stale 40
let himself lose sight 47
let himself love again 41
let himself take after 53
let himself think about 5649
let justice take place 49
let matters rest until 176
let matters rest where 169
let matters stop where 47
let parents know about 409
let parents know where 49
liar differs from others 82
lid screwed down tight 66
lie against such order 131
lie between cape rouge 117
lie between their roots 79
lie between these lines 153
lie between these poles 174
lie between these ranges 92
lie between those given 119
lie between those shown 45
lie between those which 110
lie outside their field 135
lie outside their scope 95
lie several feet above 80
lie several feet below 45
lion richard will spare 48
log buildings were built 105
log dwellings were strong 52
log schools were springing 55
long absence during which 96
long absence from athens 59
long absence from books 135
long absence from china 51
long absence from court 142
long absence from drill 47
long absence from italy 84
long absence from paris 265
long absence from power 77
long absence from russia 48
long absence from spain 46
long article from which 71
long barrier reef which 40
long barrows were built 81
long contest took place 43
long debates took place 118
long decline from which 114
long dispute took place 64
long distant when mists 49
long duration during which 90
long flights over water 195
long freedom from civil 61
long gallery into which 95
long garbled cold echoing 150
long history during which 426
long history from which 76
long hundred years since 42
long illness during which 286
long illness from which 296
long illness once again 42
long interim during which 40
long journey back again 68
long journey during which 264
long journey from cairo 43
long journey from china 88
long journey from egypt 161
long journey from italy 114
long journey from milan 55
long journey from mount 67
long journey from nancy 61
long journey from paris 300
long journey from russia 91
long journey from santa 56
long journey from spain 69
long journey from where 56
long journey from which 446
long journey home after 65
long journey home again 86
long journey home alone 40
long journey into egypt 54
long journey into exile 146
long journey into night 84
long journey into space 127
long journey over again 46
long journey over rough 112
long journey upon which 49
long letters home about 64
long manages your father 157
long marches from bowling 43
long marches over rough 94
long minutes during which 120
long moments during which 80
long painful years since 50
long passage down which 58
long passage from which 106
long passage into which 57
long pointed tail spread 42
long pondering upon books 94
long process during which 509
long product life cycle 142
long resumed their boats 89
long retreats were ended 40
long scorned their power 105
long seconds during which 48
long service leave after 59
long service leave under 198
long service life under 90
long sessions during which 66
long shadows were falling 91
long shadows were stealing 81
long silence during which 1569
long silence from which 75
long silence into which 45
long silvery beard swept 75
long sleeves when working 53
long slender arms about 114
long slender dark fingers 119
long slender legs which 123
long slender tube which 49
long stopped caring about 40
long stretch during which 55
long studied such works 58
long survive their ruins 58
long unhappy dream would 110
long vacation during which 78
long voyages during which 45
long wielded their power 142
long windows from floor 199
long winters during which 53
low archway very black 49
low average wind speed 55
low because many people 46
low between their black 77
low density areas where 62
low density areas within 76
low exchange rate which 43
low exchange rate would 54
low glasgow coma scale 115
low grounds into which 52
low grounds were still 49
low incomes from farming 108
low national saving rates 58
low profile ever since 111
low protein diet which 74
low protein diet would 66
low radiation dose rates 57
low returns from farming 47
low solvent flow rates 42
low somatic cell count 116
low spirits ever since 99
low spirits from feeding 87
low spirits from which 45
low urinary flow rates 85
low voltage fast waves 141
low voltage slow waves 64
low windows well within 76
low wrought iron fence 43
lung ailment from which 42
lung cancers were found 59
lung diseases like asthma 47
lung trouble from which 71
lying between high water 51
lying between lake huron 279
lying between these hills 76
lying between these lines 64
lying between these ranges 142
lying between three miles 105
lying between ursa major 42
lying coastal areas where 45
lying dormant ever since 55
lying several feet below 100
lying together look really 42
