lacked actual or constructive 68
ladies should be accommodated 50
lagged behind in agricultural 50
lagged behind in productivity 48
lagged behind the achievements 64
lagged behind the developments 104
lagged behind the requirements 186
lagged behind the revolutionary 70
landings inside the mediterranean 228
larger amount of accommodation 51
larger amount of agricultural 125
larger amount of carbohydrate 220
larger amount of discretionary 53
larger amount of experimental 67
larger amount of governmental 106
larger amount of intelligence 74
larger amount of manufactured 91
larger amount of precipitation 227
larger amount of radioactivity 49
larger amount of unemployment 107
larger circle of acquaintance 194
larger degree of independence 402
larger degree of participation 111
larger degree of specialization 49
larger forces of globalization 67
larger groups of participants 101
larger issues of contemporary 60
larger issues of intellectual 41
larger issues of international 118
larger measure of consideration 61
larger measure of governmental 67
larger measure of independence 893
larger measure of intellectual 71
larger measure of intelligence 113
larger measure of international 79
larger measure of participation 114
larger number of agricultural 232
larger number of alternatives 601
larger number of appointments 79
larger number of beneficiaries 255
larger number of capabilities 45
larger number of communicants 68
larger number of communication 50
larger number of compartments 65
larger number of conservative 76
larger number of constituents 186
larger number of contemporary 85
larger number of contributions 103
larger number of contributors 220
larger number of distributors 60
larger number of economically 74
larger number of experimental 276
larger number of governmental 49
larger number of illegitimate 85
larger number of illustrations 215
larger number of illustrative 56
larger number of installations 45
larger number of institutional 43
larger number of intellectual 43
larger number of international 197
larger number of interviewers 74
larger number of jurisdictions 135
larger number of laboratories 79
larger number of miscellaneous 49
larger number of nationalities 56
larger number of neighborhood 49
larger number of organizations 443
larger number of parliamentary 48
larger number of participants 1970
larger number of performances 95
larger number of philosophers 41
larger number of practitioners 121
larger number of professionals 167
larger number of ratifications 107
larger number of relationships 154
larger number of scholarships 123
larger number of shareholders 239
larger number of stakeholders 120
larger number of stockholders 105
larger number of subordinates 268
larger number of successfully 47
larger number of universities 154
larger number of unproductive 47
larger number of unsuccessful 57
larger portion of consciousness 57
larger portion of expenditures 48
larger sample of organizations 46
larger sample of participants 122
larger sphere of international 88
larger supply of agricultural 52
larger system of communication 80
larger system of international 42
larger system of relationships 152
larger volume of agricultural 129
larger volume of international 187
larger volume of unemployment 73
lately beheld the superstitious 52
lately formed the acquaintance 41
latent passion or prepossession 180
latest before the commencement 121
latest census of manufactures 49
latest fashion in architecture 46
latest methods of investigation 130
latest trends in architecture 68
latest trends in contemporary 121
latest trends in international 68
latter appearing to particularly 49
latter aspect is demonstrated 54
latter aspect is particularly 574
latter device is particularly 45
latter effect is accomplished 46
latter effect is attributable 48
latter effect is demonstrated 48
latter effect is particularly 406
latter factor is particularly 331
latter feature is particularly 383
latter figure is considerably 91
latter figure is particularly 103
latter figure is substantially 47
latter measure is particularly 66
latter object is accomplished 53
latter reaction is particularly 60
latter result is inconsistent 40
latter result is particularly 170
latter should be accomplished 53
latter should be administered 103
latter should be discontinued 64
latter should be particularly 72
latter should be subordinated 64
latter should be sufficiently 184
latter should be supplemented 137
latter source is particularly 42
latter source of contamination 58
latter stages of decomposition 61
latter system is particularly 70
lavish offers of companionship 65
lawful excuse or justification 321
lawful orders or requirements 82
lawful quorum of stockholders 58
lawyer should be disqualified 335
layout design is incorporated 93
leaders before an international 41
leaders before the international 145
leaders should be particularly 60
learned through the commandments 58
lenses should be discontinued 57
lesions caused by tuberculosis 66
lesions should be investigated 136
lessen feelings of helplessness 42
lesser charge of manslaughter 808
lesser degree of approximation 80
lesser degree of cohesiveness 55
lesser degree of completeness 48
lesser degree of concentration 214
lesser degree of consciousness 145
lesser degree of consolidation 46
lesser degree of contamination 97
lesser degree of distinctness 46
