lace curtains blowing in 118
lack adequate funds to 181
lack adequate power to 43
lack adequate words to 47
lack bargaining power in 90
lack curiosity about the 95
lack evidence about the 53
lack probable cause to 1132
lack purchasing power to 101
lading lawfully drawn in 118
lady chastely robed in 42
lady madeline within the 347
lady observed aloud to 117
lady servants sweep it 52
laid ambitious plans to 48
laid constant siege to 40
laid directly above the 84
laid directly under the 128
laid emphasis rather on 48
laid explicit claim to 70
laid florence under an 91
laid forcible hands on 157
laid immediate claim to 64
laid immediate siege to 50
laid magnetic mines in 53
laid numerous gifts at 43
laid partially under the 80
laid personal claim to 55
laid spirally round the 67
laid vigorous siege to 238
laid volcanic rocks of 123
lain concealed beneath the 84
lain concealed since the 43
lain concealed under the 176
lain deserted since the 42
lain desolate since the 52
lain probably under the 58
lake eighteen miles in 128
lake entirely under the 44
lake entirely within the 375
lama squatted under the 47
lamb annually slain by 42
lamp directly above the 41
lamp filament which is 45
lamp produces light by 64
land acquired after the 381
land acquired shall be 68
land acquired since the 41
land acquired under the 2858
land acquired within the 108
land acquires title to 138
land actually owned by 442
land actually taken up 49
land actually under the 149
land affected shall be 61
land allotted under the 243
land anywhere within the 249
land campaign would be 42
land commonly known as 443
land commonly known by 134
land concerning which the 67
land consists either of 50
land containing veins or 41
land contract where the 47
land conveyed shall be 45
land conveyed under the 63
land directly below the 131
land directly beneath the 44
land directly owned by 131
land directly under the 831
land disposal sites in 153
land disputes within the 58
land district where the 419
land elevated above the 244
land embraced within the 1364
land enclosed within the 510
land entirely within the 41
land formally owned by 90
land formerly given to 55
land formerly known as 716
land formerly owned by 5337
land formerly under the 92
land frontier would be 48
land included under the 44
land included within the 2861
land monopoly would be 128
land mortgage banking in 426
land mortgage banking is 74
land mortgage banks as 286
land mortgage banks at 408
land mortgage banks by 253
land mortgage banks in 2670
land mortgage banks is 355
land mortgage banks of 105
land mortgage banks on 267
land mortgage banks or 283
land mortgage banks to 654
land obtained under the 156
land occupied under the 127
land officers lived in 49
land patented under the 61
land probably would be 83
land projecting above the 46
land provided under the 53
land purchase could be 46
land purchase under the 281
land purchase would be 237
land received under the 157
land remained under the 346
land remained within the 154
land required under the 96
land required would be 89
land reserved under the 182
land selected under the 137
land shortage within the 48
land situated below the 109
land situated close to 136
land situated within an 43
land situated within the 2738
land surfaces where the 81
land surfaces within the 102
land surveyed under the 85
land surveyor shall be 99
land surveyor under the 63
land transfer under the 49
land valuation based on 53
land warrants could be 55
land whatever which is 40
lane crackled beneath the 41
last accounting period of 65
last accounting period to 77
