labial minor salivary gland 224
labor force actively seeking 67
labor force activity rates 315
labor force includes people 42
labor force numbered about 65
labor force remained about 48
labor which otherwise would 136
labor whose vastness might 79
lands which otherwise would 163
lands which remained under 96
large beaker containing water 116
large brown envelope which 77
large cells containing either 90
large civil engineering works 240
large crowd followed jesus 56
large local authority housing 125
large music publishing house 47
large plain articles which 57
large price increases which 40
large price increases would 80
large round magnifying glass 156
large round mahogany table 77
large scale clinical trials 437
large scale consumer goods 58
large scale electric field 88
large scale electric power 93
large scale engineering works 65
large scale industry could 40
large scale industry which 88
large scale industry would 58
large scale magnetic field 651
large scale military action 108
large scale problems which 44
large scale projects which 154
large scale velocity field 103
large scale vertical motion 95
large space enclosed within 68
large stone crucifix which 42
large teaching hospital where 84
large water treatment plant 63
large white victorian house 59
laser heated pedestal growth 210
laser light scattering method 213
lasting about eighteen months 47
lasts about eighteen months 58
later asked questions about 44
later greek physician galen 68
later raise questions about 41
later under separate headings 68
later would nominate white 75
laugh which followed every 95
layer which produces gases 57
learning about customer needs 148
leaves which overhanging trees 41
legal rules mirrored moral 40
lethal black chemical cloud 42
level image processing tasks 181
level sound pressure level 45
level waste disposal sites 272
level where marginal costs 73
level where marginal social 62
level which otherwise would 60
light chain constant region 584
light which lightens every 248
light which otherwise would 479
light which suddenly shone 63
light while mistress alice 89
light whose electric field 382
light would suddenly appear 44
limbs which otherwise would 46
lines joining opposite angles 46
lines which otherwise would 90
lines whose distance apart 137
liter round bottomed flask 62
lived about eighteen miles 57
lived about eighteen months 87
lived about fourteen miles 76
lived quite separate lives 107
lived under constant threats 52
lived under separate roofs 63
lived world football league 113
liver biopsy specimen shows 45
lives which otherwise might 105
lives which otherwise would 552
loans carry interest rates 126
loans which otherwise would 69
loans whose interest rates 105
local gross receipts taxes 70
local housing authority bonds 101
local housing authority could 69
local housing authority shall 160
local housing authority under 171
local housing authority which 126
local housing authority would 106
local negro business league 47
local search algorithm based 52
local senior citizens group 67
local small business owner 81
local water treatment plant 239
lodge shall annually elect 42
longer makes economic sense 156
longer median survival times 48
longer shall forsaken thames 89
looking after children under 93
looking after children while 97
looking after children whose 72
looking quite harmless under 40
looking rather fiercely after 78
looking rather ruefully after 79
loose short trousers which 102
loved group revisits every 75
lower blood pressure after 143
lower blood pressure level 48
lower blood pressure readings 411
lower blood pressure which 41
lower blood pressure while 209
lower blood pressure within 185
lower class children would 52
lower class families where 44
lower coast steamboat river 43
lower court decisions after 40
lower court decisions finding 45
lower court decisions holding 209
lower court decisions since 65
lower court decisions under 43
lower court decisions which 520
lower court judgment which 66
lower false positive rates 54
lower house acquired thence 57
lower local property taxes 55
lower motor neurones which 103
lower people mortally hated 43
lower right quadrant shows 71
lower saint lawrence river 81
lower social economic class 59
lower social security taxes 165
lower sound pressure level 83
lower staff turnover rates 59
lower trade barriers would 53
lower waste disposal costs 104
lower world interest rates 371
lower wound infection rates 44
lymph nodes axillary lymph 53
lymph nodes containing tumor 82
