lacking a sex chromosome 105
later a man approached 51
later a new government 136
later i had discovered 41
later i was accustomed 151
later i was approached 215
later i was astonished 290
later i was completely 123
later i was confronted 105
later i was discharged 252
later i was downstairs 58
later i was instructed 87
later i was interested 60
later i was interviewing 48
later i was introduced 577
later i was privileged 201
later i was surrounded 70
later i was telephoned 48
learning a few principles 51
learning a few techniques 96
learning a new application 121
learning a new discipline 130
learning a new instrument 242
learning a new perceptual 98
learning a new technology 387
learning a new vocabulary 487
learns a new vocabulary 66
leaves a bad aftertaste 72
level i can understand 101
levying a tax sufficient 99
lived a few generations 140
lived a few kilometers 90
longer a fit inhabitant 50
longer a fit instrument 148
longer a new experience 46
longer a new phenomenon 260
looking a bit bedraggled 54
looking a bit bewildered 196
looking a bit disheveled 197
looking a bit frightened 69
looking a bit shamefaced 98
looks a bit bewildered 40
looks a bit intimidating 76
looks a bit ridiculous 52
lunch i was introduced 76
