la cure est possible 53
la mare was confined 67
la pole and reginald 55
la pole was impeached 44
la rosa had deceived 69
la tour and margaret 126
la tour was informed 47
ling chow and catherine 57
ll call her tomorrow 65
ll call him tomorrow 144
ll call you sometime 42
ll call you tomorrow 1840
ll find out tomorrow 160
ll give you sixpence 50
ll give you whatever 107
ll have any problems 45
ll have him arrested 60
ll have you arrested 377
ll have you executed 82
ll keep you informed 266
ll leave you breathless 308
ll make you remember 50
ll meet you tomorrow 73
ll take you anywhere 86
ll take you straight 163
ll take you upstairs 83
ll take you wherever 96
ll tell her tomorrow 40
ll tell him tomorrow 45
ll tell you honestly 59
ll tell you sometime 67
ll tell you straight 327
ll tell you tomorrow 304
ll tell you whatever 104
ll turn our attention 222
ls there any evidence 733
