labeling studies clearly show 122
laboring classes should have 50
ladies carried disease upon 55
languid painted ladies used 50
larger average family size 204
larger desired family size 54
larger foreign bodies from 64
larger national debate over 91
larger overall sample size 45
larger society became more 40
larger society through their 91
larval ecology viewed from 73
lashed dormers follow your 91
lasted exactly twelve years 44
lasted roughly twenty years 43
lasted several million years 119
lastly appeared before your 44
latent variable models have 44
latest fashions direct from 50
latest operating system from 73
latest research findings dealing 47
latest research findings from 99
latest research findings into 43
latter allusion struck deep 123
latter country should have 64
latter depends merely upon 63
latter depends solely upon 75
latter empties itself into 65
latter problem arises from 52
latter usually occurs when 96
lawful custody awaiting trial 71
layers receive inputs from 84
layers several inches thick 294
leaders acquire through their 49
leaders including master tara 54
leaders trained through wide 647
learned counsel should have 72
learned painter should form 44
learned persons affect their 65
learned persons should meet 161
learned precious little from 48
learned quickly enough when 60
learned scholar should make 77
lemons contain citric acid 40
lesbian couples should have 126
lesions usually result from 184
lesson emerges clearly from 52
letter written aboard ship 42
letter written before leaving 52
letter written eleven days 40
letter written twelve years 81
letter written twenty years 192
lifted himself heavily from 59
lifted himself slowly from 88
lifted several inches from 52
lights drifted farther away 105
lilies rumbled slowly down 94
limiting gastric emptying during 159
lingered briefly before many 44
linked together through some 71
linked together through their 821
liquid becomes turbid from 41
liquid contain nitric acid 84
liquid ecstasy poured down 42
liquid residue called whey 86
listed company should also 126
listed company should have 182
listen gravely without ceasing 53
little advance planning will 86
little adverse effect from 50
little adverse effect upon 318
little adverse reaction from 54
little aesthetic emotion will 51
little cabinet reached unto 49
little careful planning will 50
little careful thought will 129
little company plunged into 94
little concert lasted till 53
little cottage tucked away 54
little coyness indeed upon 49
little cracked bantam sort 45
little creature should have 101
little crowded around here 40
little culture beyond what 107
little diluted nitric acid 227
little distant dangers seem 239
little doorway looked like 59
little embryos raised their 40
little episode should have 99
little european rivers over 78
little fancies shrank away 46
little fellows lifted into 41
little foreign flower like 81
little harmful effect upon 52
little kittens washed their 78
little lacquer stands were 41
little masonic banner hanging 49
little muscles around your 64
little mystery should have 102
little nervous disease like 50
little organic matter from 49
little organic matter will 41
little pathetic detail here 42
little perhaps beyond their 81
little perishing monkey like 64
little precious golden bird 67
little private school kept 63
little psychic energy left 52
little question whether mere 96
little remains except some 90
little respect around here 75
little shudder passed over 62
little success except among 44
little superior errand girl 44
little support except from 192
little torrent flowed down 61
little trouble deciding what 83
little trouble except when 72
little variation exists among 44
little variation through time 43
little vessels slowly moving 42
little village hidden among 54
little village hidden away 103
little village nestling among 95
little village tucked away 126
little visible effect upon 248
little visitor looked once 43
little windows shaped like 117
little woodman hunted well 43
looked awfully solemn when 73
looked closely enough into 85
looked forward without hope 100
looked quickly around into 110
looked somehow neither glad 52
loosed letters should have 45
losses against income from 154
losses resulting solely from 41
losses usually result from 106
lowering himself slowly into 50
lowest average annual cost 64
lowest average annual rate 65
lowest overall system cost 41
lowest venereal disease rate 40
luxury extends itself even 208
