lace frill around the 46
lack basic skills in 355
lack basic skills or 41
lack basic skills to 92
lack basic training in 45
lack equal access to 484
lack social skills or 283
lack social skills to 85
lack strong feelings of 41
lack thereof should be 188
lack whose emblem is 74
lading which causes the 153
lady comes through the 46
lady could afford to 59
lady could hardly be 103
lady leaned across the 47
lady liked better to 87
lady might admire the 42
lady might choose to 53
lady might prefer the 54
lady moved through the 43
lady nearly allied to 54
lady never failed to 202
lady ought always to 42
lady passing through the 100
lady really summon me 74
lady rides through the 79
lady seated across the 55
lady seated behind the 51
lady seated beside me 41
lady sitting across the 136
lady sitting before the 57
lady sitting behind me 79
lady sitting behind the 155
lady sitting beside me 237
lady sitting beside the 95
lady spoke kindly to 51
lady still further in 65
lady still seemed to 64
lady stirs beyond the 63
lady stood before me 82
lady stood before the 67
lady stood behind the 58
lady stood beside me 46
lady walking across the 52
lady walking through the 109
lady while awaiting the 78
lady whose charms he 49
lady whose colors he 51
lady whose memory he 58
lady whose memory is 61
lady whose mission it 51
lady whose powers of 45
lady working behind the 49
lady would always be 51
lady would choose to 98
lady would hardly be 55
lady would indeed be 109
lady would listen to 81
lady would object to 48
lady would prefer the 52
lady would prefer to 71
lady would refuse to 71
lady would return to 98
lady would suffer if 55
lags badly behind the 43
lags sadly behind the 91
laid again before the 68
laid aside amongst us 63
laid aside before it 43
laid aside before the 248
laid aside enough to 62
laid aside something of 43
laid aside through the 76
laid aside without the 57
laid chief stress on 558
laid claim before the 46
laid close beside the 53
laid close enough to 47
laid equal stress on 492
laid first before the 151
laid fully before the 110
laid jesus christ in 111
laid major stress on 84
laid mines across the 119
laid mines around the 82
laid neatly across the 107
laid plans before the 44
laid plans seemed to 41
laid rails across the 93
laid right across the 220
laid right through the 78
laid rival claims to 51
laid small pieces of 43
laid small stress on 60
laid strong claims to 40
laid strong stress on 53
laid track across the 149
laid track through the 128
laid under charge to 56
laid under ground in 66
laid under ground to 41
laid under stress by 42
laid undue stress on 495
laid waste almost the 106
laid waste before the 111
laid waste england to 94
laid waste through the 211
laid waste without an 61
laid which raises the 104
lain awake nights in 47
lain awake nights to 45
lain awake through the 179
lain close beside the 54
lain whole nights by 67
lake basin formed by 127
lake broke through the 47
lake every feature of 55
lake gleaming through the 97
lake large enough to 457
lake level caused by 52
lake level changes in 238
lake place without the 125
lake shore toward the 49
lake trout caught in 115
lake water beyond the 42
lake water should be 145
lake water through the 80
lake which covers an 57
lake which covers the 84
lake which filled the 251
lake which formed the 90
lake which looked as 48
lake which seemed to 213
lake which served as 231
lake which serves as 214
lake which washed the 95
lake which washes the 54
lake whose bottom is 43
lake would result in 44
lamb chops should be 44
lamb slain before the 250
lame would return to 268
lamp burning before an 122
lamp burning before it 943
lamp burning before me 43
lamp burning before the 1050
lamp burning behind the 50
lamp burning beside the 93
lamp burning inside the 54
lamp burning through the 144
lamp burns before the 165
lamp passing through the 97
lamp posts around the 52
