lads darting about right 52
lady could never grasp 41
lady olivia would admit 50
lady would never marry 99
laid aside until after 153
laid awake thinking about 118
laid every place waste 161
laid stone above stone 41
laid under magic spell 80
laid under water again 50
laid waste large parts 52
lain awake every night 165
lain awake night after 635
lain awake thinking about 591
lain night after night 188
lake about eight miles 163
lake about fifty miles 87
lake about fifty yards 50
lake about forty miles 98
lake about seven miles 220
lake about sixty miles 189
lake about thirty miles 268
lake fifty miles above 87
lake nearly sixty miles 107
lake waves breaking under 101
lake where sodom stood 123
lame shall enter first 130
lamp which echoed still 48
lamp which emits light 107
lamp which gives light 200
lamp which sheds light 55
lamp which throws light 97
lamp whose light helps 55
land about eight miles 441
land about fifty miles 392
land about fifty yards 50
land about forty miles 397
land about seven miles 398
land about sixty miles 482
land about thirty miles 505
land above flood level 92
land could change hands 87
land cover types within 99
land force under major 50
land looks after people 46
land route which would 48
land shall gather round 43
land shall mourn every 46
land since roman times 47
land under cereal crops 73
land under field crops 217
land under fruit trees 104
land under grain crops 155
land under trees grown 67
land under water which 78
land under water within 260
land where angels dwell 87
land where anything could 64
land where anything might 111
land where black deeds 121
land where crops could 49
land where every child 104
land where every stone 50
land where every woman 42
land where filial piety 40
land where flows ganges 117
land where fruit trees 86
land where jesus lived 326
land where lemon trees 50
land where might makes 67
land where nearly every 86
land where people could 170
land where people lived 286
land where people spoke 61
land where people still 91
land where people would 53
land where white women 47
land which alone could 151
land which comes under 141
land which could easily 253
land which could never 98
land which could raise 120
land which could yield 88
land which falls within 248
land which might serve 43
land which might yield 61
land which rises above 121
land which takes place 56
land which would allow 137
land which would cause 82
land which would later 90
land which would never 157
land which would serve 122
land which would yield 525
land whose people would 46
land whose value would 40
land within fifty miles 372
land within fifty yards 145
land within forty miles 72
land within seven miles 104
land within sixty miles 61
land within thirty miles 265
land would again belong 122
land would change hands 98
land would never again 88
land would still belong 58
land would yield forty 45
land would yield under 56
lasing action takes place 121
last about eight hours 318
last about eight months 195
last about eight weeks 45
last alien force which 71
last black trees began 120
last broad gauge train 76
last change takes place 92
last earthly resting place 959
last eight amino acids 72
last eight months running 43
last eight months since 70
last eight times longer 50
last enemy which shall 176
last evening about eight 40
last event takes place 128
last feather which breaks 69
last forty eight hours 231
last forty pages missing 47
last gleaming whose broad 61
last growl could never 87
last hired first fired 182
last known resting place 57
last links which bound 183
last links which still 47
last major ethnic group 43
last major league season 118
last major turning point 169
last moult takes place 51
last night about eight 415
last night about getting 75
last night about plans 48
last night about seven 308
last night about wanting 42
last night after closing 43
last night after getting 77
last night after hours 45
last night after talking 76
last night might never 43
last night right after 171
last night talking about 244
last night thinking about 984
last night under cover 62
last night until about 79
last night until after 204
last night until nearly 81
last night which could 42
last night which makes 64
last night which would 77
last night would never 105
last ounce which broke 73
last parting still dwelt 84
last place where people 94
last place where water 79
last point about which 48
last point which makes 48
last point which needs 82
last resting place after 47
last resting place beneath 84
last resting place under 163
last resting place where 45
last resting place within 65
last resting place would 65
last scene takes place 482
last seven amino acids 48
last seven months shows 42
last seven months since 43
last ships which spain 93
last straw which breaks 285
last straw which broke 674
last straw which would 91
last synod might unite 80
last train which would 79
last trump shall sound 870
last words above board 109
last words jesus spoke 125
last words still echoed 50
last words which jesus 44
last words which madam 66
late bengal staff corps 105
late david lloyd george 45
late every night after 42
late every night since 62
late every night until 47
late gothic style which 60
late henry cabot lodge 170
late hours every night 77
late nearly every night 263
late night after night 522
late night phone calls 1738
late night poker games 47
late often hoped might 120
late roman times until 47
lava flows which cover 95
lava flows which spread 49
laws about child labor 55
laws banning child labor 85
laws exist under which 89
laws under which alone 288
laws under which every 47
laws under which human 80
laws under which local 71
laws under which people 125
laws under which women 99
laws which apply alike 46
laws which could never 55
laws which exist today 60
laws which limit nicer 138
laws which might stand 45
laws which never change 66
laws which ought never 40
laws which place women 61
laws which shall apply 70
laws which still exist 47
laws which still rules 88
laws which would allow 276
laws which would apply 208
laws which would cause 44
laws which would cover 50
laws which would create 55
laws which would force 106
laws which would limit 109
laws which would place 73
laws which would serve 125
laws would still apply 60
laying brick after brick 43
laying every place waste 84
laying fiber optic cable 99
lazy coach would carry 53
leading joint stock banks 289
learn about black people 78
learn about child abuse 143
learn about dialog boxes 85
learn about outer space 81
learn about place value 69
learn about social change 41
learn about social roles 57
learn about social rules 41
learn about until after 45
learn about until later 173
learn about white people 43
learn anything about anything 64
learn anything about human 84
learn anything about music 55
learn anything about people 54
learn anything about where 51
learn anything about women 125
learn anything about writing 62
learn anything truly right 49
learn anything which could 42
learn anything which might 44
learn anything which would 68
learn basic facts about 149
learn until months later 64
learn until weeks later 91
least begin thinking about 40
least change where monks 47
least delay might cause 54
least eight amino acids 171
least eight hours after 383
least eight hours daily 210
least eight hours every 256
least eight hours sleep 222
least eight major types 53
least eight months after 139
least eight times every 58
least eight times longer 90
least eight times since 75
least eight weeks after 225
least every change which 50
least every eight hours 328
least fifty miles apart 44
least fifty paces round 207
least fifty people could 86
least fifty times since 63
least forty eight hours 102
least forty miles broad 212
least motion might drive 80
least rather short tails 50
least seven amino acids 50
least seven hours every 46
least seven months after 96
least seven times since 107
least seven weeks after 46
least since roman times 670
least since tudor times 40
least start thinking about 119
least thirty miles broad 73
least toxic drugs known 52
least twice daily until 89
least twice every night 99
least until after lunch 78
least until after world 329
least upper bound which 43
leave every place worse 52
leave others round about 356
leave paris within eight 42
leave paris within forty 65
leave right after lunch 526
leave until after lunch 215
leave until nearly seven 46
leave white women alone 61
leaving healthy cells alone 58
leaving large fires burning 49
leaving rails forming bands 48
leaving right after lunch 89
left about fifty yards 174
left above fifty yards 51
left after eight months 56
left after passing under 83
left after seven months 64
left after shaking hands 82
left alone after lunch 41
left alone night after 103
left alone until after 298
left alone while others 109
left amelia court house 73
left brain right brain 40
left egypt under moses 176
left facial nerve palsy 157
left first molar region 101
left first molar which 51
left flank under cover 58
left fourth nerve palsy 56
