lace sleeves from which 40
lady carries love within 117
lady fainted once again 42
lady pursued from place 47
lady retired back again 44
lady several years older 77
lady suffering from acute 60
laid everything else aside 80
laid herself down again 116
laid himself down again 987
laid himself down beneath 77
laid himself down close 281
laid himself down under 740
laid stronger hold daily 60
lain dormant ever since 451
lame baronet nigh sixty 46
lamp against their faces 56
lamp between their knees 50
land animals ever known 57
land animals were found 92
land battles took place 43
land becomes more heated 154
land becomes more hilly 63
land becomes more level 49
land becomes more rolling 50
land between high water 137
land between lake george 67
land between rock river 40
land brought forth frogs 615
land divided into farms 47
land divided into large 139
land divided into plots 171
land divided into small 512
land entered into after 127
land equally among heirs 46
land extending five miles 62
land extending three miles 91
land machine when landing 42
land reforms have taken 210
land reforms took place 73
land surface from which 106
land surface over which 221
land surface upon which 204
land watered from wells 99
lane between great trees 55
lane between high banks 210
lane between high walls 330
lash everything well below 80
last account some months 41
last advices from paris 69
last advices from thence 42
last buffalo herd appear 41
last bulwark when every 56
last century during which 51
last century from which 43
last century have found 44
last century have given 194
last century have never 41
last century have often 51
last century have shown 167
last century have taken 52
last century many people 56
last century more amazing 77
last century there arose 260
last century there began 45
last century there could 53
last century there lived 1140
last century there seems 68
last century there still 92
last century took place 94
last century were based 51
last century were never 52
last century were often 78
last century were still 146
last chapter have shown 72
last chapter took place 416
last chapter will focus 65
last chapter will offer 46
last chapter will serve 71
last concert took place 114
last country from which 58
last decades have given 64
last decades have shown 216
last decades were spent 47
last decades will doubt 48
last division took place 67
last election held under 103
last election took place 143
last eruption took place 350
last example also shows 203
last example just given 40
last example will focus 64
last example will serve 70
last explain many lines 198
last fifteen years about 147
last fifteen years alone 123
last fifteen years could 90
last fifteen years every 42
last fifteen years might 59
last fifteen years nearly 57
last fifteen years seems 41
last fifteen years shows 426
last fifteen years since 266
last fifteen years under 235
last fifteen years which 303
last fifteen years while 135
last fifteen years working 86
last fifteen years would 308
last hundred years about 122
last hundred years alone 199
last hundred years could 237
last hundred years every 96
last hundred years makes 49
last hundred years might 114
last hundred years russia 73
last hundred years shows 547
last hundred years since 129
last hundred years under 124
last hundred years until 55
last hundred years which 353
last hundred years while 43
last hundred years would 364
last illness from which 50
last invasion took place 68
last journey from which 78
last journey into spain 40
last journey swung round 64
last letters from italy 58
last letters from paris 131
last letters were dated 132
last marines from haiti 44
last marriage took place 77
last material from which 77
last measures were taken 83
last members were signing 619
last memorial from russia 62
last moments were given 57
last moments were spent 396
last moments were worthy 40
last occasion upon which 1537
last offense took place 41
last palaces over which 52
last picture ever taken 148
last position from which 68
last preceding month shall 62
last preceding rule shall 479
last preceding three months 52
last preceding wife would 197
last quarter from which 131
last quarter moon rises 54
last quarter moon until 64
last remaining open space 47
last remarks will serve 41
last revision took place 89
last samples were taken 53
last seventy years which 49
last seventy years would 46
last several days after 190
last several days longer 202
last several more months 40
last several years about 194
last several years after 148
last several years alone 54
last several years could 41
last several years longer 230
last several years shows 208
last several years since 392
last several years under 260
last several years until 111
last several years which 125
last several years while 216
last several years working 101
last several years would 283
last sixteen years could 53
last sixteen years since 48
last sixteen years would 74
last subject upon which 70
last thirteen years since 46
last thoughts were about 243
last thoughts were given 144
last thousand years would 55
last touches were added 77
last touches were given 266
last trumpet will sound 107
last volleys were fired 72
last wheeled into place 42
late arrival last night 51
late captain last evening 44
late colonel john upton 52
late comedian jack benny 48
late devonian reef tract 47
late general john miner 40
late husband owed shall 53
late justice hugo black 223
late letters from thence 119
late returning from lunch 339
late senator john heinz 138
late senator john tower 51
late senator mark hanna 48
late sixties were still 50
late statute such trials 44
late voyages have added 41
late writers have given 62
laws affecting their lives 62
laws against acts which 44
laws against baby selling 118
laws against drug abuse 137
laws against flag burning 128
laws against making money 67
laws against rape exist 67
laws against such people 58
laws against such unions 46
laws against their roman 123
laws against these evils 56
laws against these people 51
laws brought into either 55
laws brought into force 50
laws derived from mixed 58
laws derived their force 64
laws entered into force 64
laws excepting those which 53
laws founded upon reason 62
laws governing other forms 47
laws governing such cases 127
laws governing their action 103
laws governing their lives 115
laws governing their motion 123
laws governing these facts 43
laws governing those facts 60
laws imposed from above 209
laws include those which 43
laws receive their force 57
laws regarding living wills 47
laws resulting from known 82
laying burdens upon others 63
laying everything else aside 41
laying himself down again 529
lays himself down under 124
leading article next morning 43
leading figures were either 66
leading general ideas which 112
leading members were either 51
leading members were hanged 80
leading parties into which 52
leading patriots were taken 111
leaning against their knees 45
leaning against their mother 70
leaning towards free action 59
leaning towards free trade 103
leaning towards such unions 52
learn between dark stone 67
learn everything from books 143
learn everything over again 253
learn everything worth knowing 55
learn language from others 53
learn lessons from books 48
learn lessons from others 51
learn quickly from others 41
learn several great truths 96
learn several years later 75
learn success from others 47
lease entered into after 174
lease entered into under 70
lease remaining from evans 127
least attempt upon either 47
least because many people 91
least because most people 46
least because there would 97
least concern other people 141
least deviation from which 55
least equally good reason 67
least fertile land under 45
least fertile mine which 161
least fifteen days after 358
least fifteen feet above 1008
least fifteen feet apart 68
least fifteen feet below 207
least fifteen years after 587
least fifteen years later 419
least fifteen years longer 40
least fifteen years older 1355
least fifteen years since 290
least heavenly truth would 43
least inquiry made after 46
least measures were taken 124
least prevent their sending 41
least provide some basis 84
least provide some clues 49
least refrain from harming 69
least seventy feet above 65
least seventy years after 129
least seventy years later 43
least seventy years since 47
least several days after 431
least several feet above 66
least several more hours 57
least several more months 113
least several more weeks 87
least several years after 371
least several years later 45
least several years older 110
least sixteen feet above 72
least sixteen years after 65
least sixteen years older 54
least squares data fitting 133
least squares line fitting 84
least squares line which 88
least squares will yield 129
least thirteen years after 92
leave everything else alone 468
leave everything else aside 71
leave matters here would 45
leave matters there would 59
leave subject line blank 155
leaving everything else alone 89
leaving everything else aside 97
left college soon after 43
left depending upon which 42
left everything open until 69
left frontal lobe cases 143
left frontal lobe known 44
left frontal lobe lesion 135
left frontal lobe tumor 53
left frontal lobe which 48
left germany soon after 104
left hepatic bile ducts 96
left ireland soon after 66
left lateral view showing 65
left lateral view shows 135
left outside their doors 53
left several days later 197
left several other works 52
left several years later 131
left twiddling their thumbs 55
left wondering what could 133
left wondering what might 111
left wondering what would 180
legs crossed like turks 57
legs develop more fully 95
legs knocked from under 79
legs planted well apart 171
legs planted wide apart 547
legs slipped from under 76
legs splayed wide apart 65
legs together just above 40
length arrives when grief 64
length assumed their place 141
length becomes very large 79
length becomes very short 43
length becomes very small 72
length brought into sight 43
length carried their point 94
length cartoon snow white 83
length deserve some blame 52
length exceeds their breadth 41
length extends over eight 79
length forsake their nests 40
length resumed their route 54
lens becomes more rigid 106
less abstain from speaking 215
less because there would 93
less closely knit group 45
less compact mind would 47
less complex life forms 172
less confine some action 58
less control over local 71
less control over price 68
less control over where 91
less control over which 54
less derived from human 68
less divided into parts 54
less divided into small 43
less extreme case where 43
less extreme case would 87
less extreme view would 128
less familiar ones which 45
less fertile areas where 41
less fertile land under 52
less fertile land which 41
less fertile land would 67
less forlorn have sight 220
less general laws under 53
less happily ever after 217
less hostile ever since 92
less immoral even though 46
less material from which 42
less plastic when fresh 40
less popular among women 79
less prosaic time alike 175
less reliance upon sense 42
less resisting rock about 49
less skilled work force 76
less steadily ever since 116
less steadily from about 46
less support from others 112
less support from women 66
less surface from which 41
less sympathy from others 61
less trouble ever since 41
less variable from season 48
less variable heart rates 72
less violence ever since 81
less visible from above 59
lest jonathan have added 58
lest perhaps your hearts 99
lets himself think about 51
lien against your house 140
lies against other modes 53
lies between high hills 52
lies between lake huron 81
lies between their mouths 121
lies between these hills 58
lies between these lines 179
lies between these poles 244
lies between those given 42
lies outside their field 104
lies outside their scope 100
lies several feet below 322
life advancing very nobly 45
life because many people 54
life because most people 43
life because their party 69
life becomes less vivid 70
life becomes more nearly 44
life becomes more vivid 142
life becomes much easier 215
life becomes worth while 51
life between four walls 104
life debased their reason 81
life depends upon keeping 55
life depends upon people 60
life depends upon water 57
life evolved from lower 80
life extending over thirty 62
life extends from about 48
life fifteen years later 86
life forward into growth 63
life happily ever after 136
life history among local 100
life history during which 94
life outside their homes 135
life outside their walls 52
life outside these walls 110
life perhaps have truly 97
life perused many state 502
life settled down again 160
life settles down again 58
life several years after 140
life several years later 224
life sixteen years later 40
life stories from people 60
life together will begin 42
life touches other lives 58
