lab tests have shown 64
lad never came within 43
lag period during which 356
lag phase during which 549
law about what ought 56
law based upon reason 86
law binding upon every 49
law books from which 67
law books when people 56
law cares nothing about 61
law cases were tried 48
law claim over which 102
law comes into action 61
law comes into force 1947
law could have given 147
law could have saved 43
law could have taken 148
law could only award 42
law could only serve 45
law could take place 240
law every other power 41
law firms have begun 128
law firms have found 96
law firms have grown 80
law firms have taken 68
law given from mount 65
law given from sinai 254
law given unto moses 149
law holds good under 65
law holds good which 68
law holds good within 44
law holds only under 47
law holds only within 41
law judge will issue 78
law knows much about 41
law knows nothing about 92
law looks upon goods 58
law makes good sense 63
law makes hard cases 95
law might have given 118
law might have stood 42
law might have taken 83
law might take place 53
law rules will apply 99
law seven years later 82
law shall also apply 138
law shall have force 62
law shall have place 111
law shall have power 97
law shall only apply 51
law shall pass which 47
law shall take place 239
law shall work alike 216
law stood there holding 65
law suits were filed 224
law takes many forms 65
law taxes some people 103
law thirty days after 102
law under john adams 82
law until faith would 97
law until much later 52
law where those words 137
law which brings about 233
law which brings under 60
law which came under 47
law which come within 60
law which fell within 85
law which gave every 72
law which gave power 42
law which gave women 48
law which have first 205
law which have given 59
law which have grown 53
law which have never 68
law which have taken 164
law which made every 81
law which most nearly 55
law which must guide 127
law which must never 40
law which took place 437
law which were based 64
law which were given 59
law which were still 44
law which will allow 212
law which will apply 215
law which will cause 49
law which will cover 143
law which will guide 80
law which will never 95
law which will place 48
law which will serve 98
law within four months 48
law within their hearts 84
law within these realms 41
law within three months 147
law would also allow 73
law would also apply 146
law would come under 76
law would come within 92
law would fall under 48
law would fall within 63
law would have acted 46
law would have borne 56
law would have ceased 47
law would have ended 99
law would have found 162
law would have given 899
law would have grown 53
law would have liked 58
law would have saved 115
law would have shown 69
law would have stood 185
law would have taken 332
law would have thrown 60
law would look after 58
law would make women 43
law would once again 53
law would only allow 49
law would only apply 96
law would stop growing 143
law would take place 180
law would think twice 66
lay about five miles 1248
lay about four miles 478
lay about nine miles 114
lay about three miles 1973
lay about three months 41
lay after ages under 70
lay aside some money 135
lay aside such idioms 42
lay aside their armor 129
lay aside their books 234
lay aside their cares 118
lay aside their class 74
lay aside their feuds 178
lay aside their grief 69
lay aside their habit 64
lay aside their local 48
lay aside their masks 106
lay aside their outer 54
lay aside their party 218
lay aside their petty 111
lay aside their pipes 52
lay aside their plaid 109
lay aside their pride 111
lay aside their reason 125
lay aside their robes 147
lay aside their spears 72
lay aside their state 51
lay aside their tools 111
lay aside their usual 130
lay aside their veils 125
lay aside their venom 50
lay aside their white 105
lay aside their wraps 129
lay aside their yearning 94
lay aside these views 81
lay aside those bonds 61
lay aside those which 90
lay aside your black 210
lay aside your books 116
lay aside your cares 78
lay aside your grief 46
lay aside your pride 58
lay aside your scorn 44
lay aside your sulks 41
lay awake hour after 286
lay awake last night 1874
lay awake many hours 104
lay awake some hours 46
lay awake till after 151
lay awake till morning 214
lay brick upon brick 142
lay close along shore 76
lay fifty feet below 45
lay hands upon anything 44
lay hands upon every 131
lay hands upon jesus 91
lay keeping their sheep 135
lay looking very white 54
lay nearer their hearts 98
lay nearly three miles 105
lay people have begun 81
lay people have taken 93
lay people think about 111
lay people were asked 43
lay ridge upon ridge 138
lay staring into space 96
lay still till about 52
lay stone upon stone 231
lay thirty feet below 45
lay traps into which 43
lay under bare poles 101
lay under great debts 74
lay under such odious 40
lay under their canoes 50
lay under their noses 74
lay under those sands 46
lay under very odious 102
lay waste such towns 761
lay waste their farms 58
lay waste their homes 77
lay waste their lands 321
lay waste their towns 52
lay within five miles 93
lay within four miles 108
lay within park palings 79
lay within their grasp 708
lay within their hands 53
lay within their option 178
lay within their power 2966
lay within their route 88
lay within their scope 62
lay within these walls 44
lay within those walls 97
lay within three miles 385
lay within your power 223
lead after five innings 110
lead after three innings 124
lead goose gets tired 202
lead israel from egypt 56
lead looks when thrown 105
lead others into error 712
lead others must first 40
lead people into error 424
lead people into false 40
lead people into thinking 52
lead plate upon which 82
lead roofs were quite 45
lead times from order 83
leaf edges turn brown 44
leaf leaves life lives 50
leaf turns from green 41
leaf which will cover 150
leaf would take place 46
lean hands from upper 78
leap could take place 59
led about from place 58
led about like sheep 45
led israel from egypt 112
led italy into world 50
led japan into world 114
led others into danger 42
led others into error 129
led round their sunny 160
led trade union unity 113
led within their walls 42
leg bones were found 115
let alone care about 171
let alone come close 43
let alone done anything 74
let alone find words 45
let alone five times 54
let alone four times 48
let alone have anything 81
let alone having anything 51
let alone help others 59
let alone hiding people 44
let alone keep track 124
let alone knew where 47
let alone know about 66
let alone know anything 106
let alone know where 130
let alone learn about 43
let alone look after 138
let alone make money 181
let alone make sense 181
