lack an alimentary canal 125
lack of acceptance within 189
lack of accessible housing 114
lack of accessible water 41
lack of adjustment which 94
lack of affectation which 52
lack of affordable child 1157
lack of affordable homes 96
lack of affordable housing 9774
lack of affordable legal 52
lack of aggressive action 373
lack of analytical power 200
lack of analytical rigor 96
lack of analytical tools 453
lack of appreciable change 105
lack of appreciation about 168
lack of appreciation keeping 61
lack of appreciation shown 418
lack of appreciation which 645
lack of appropriate action 497
lack of appropriate adult 108
lack of appropriate books 81
lack of appropriate child 97
lack of appropriate clothing 310
lack of appropriate funding 246
lack of appropriate growth 43
lack of appropriate housing 374
lack of appropriate human 167
lack of appropriate input 43
lack of appropriate learning 218
lack of appropriate legal 314
lack of appropriate local 76
lack of appropriate norms 69
lack of appropriate price 113
lack of appropriate sites 118
lack of appropriate skill 58
lack of appropriate social 1072
lack of appropriate space 186
lack of appropriate staff 179
lack of appropriate teaching 392
lack of appropriate terms 169
lack of appropriate testing 99
lack of appropriate tests 133
lack of appropriate texts 44
lack of appropriate tools 815
lack of appropriate water 159
lack of appropriate words 328
lack of assessment tools 57
lack of assistance given 196
lack of assumptions about 50
lack of background music 135
lack of background noise 116
lack of bitterness about 52
lack of candidates willing 41
lack of chromosome pairing 138
lack of cleanliness which 70
lack of collective action 883
lack of commentary about 47
lack of commitment could 86
lack of commitment either 40
lack of commitment rather 85
lack of commitment shown 80
lack of commitment which 244
lack of commitment within 93
lack of commitment would 63
lack of comparable sales 96
lack of competition could 161
lack of competition makes 145
lack of competition might 89
lack of competition often 101
lack of competition rather 52
lack of competition tends 60
lack of competition which 335
lack of competition within 667
lack of competition would 165
lack of complaints about 213
lack of complexity makes 42
lack of compunction about 93
lack of conceptions about 49
lack of conceptual rigor 124
lack of conceptual thinking 114
lack of conceptual tools 251
lack of conceptual unity 190
lack of conclusive proof 608
lack of confidence about 3773
lack of confidence after 50
lack of confidence arising 128
lack of confidence based 144
lack of confidence comes 162
lack of confidence could 228
lack of confidence either 193
lack of confidence grows 68
lack of confidence makes 156
lack of confidence might 301
lack of confidence often 116
lack of confidence people 91
lack of confidence rather 330
lack of confidence seems 67
lack of confidence shown 406
lack of confidence stems 87
lack of confidence still 52
lack of confidence which 4983
lack of confidence while 90
lack of confidence within 266
lack of confidence would 852
lack of conformity which 499
lack of conformity within 373
lack of conscience about 51
lack of conscience which 157
lack of consistent focus 54
lack of consistent funding 102
lack of consistent rules 105
lack of consistent social 43
lack of constraint which 79
lack of consumption goods 114
lack of continuity makes 79
lack of continuity which 267
lack of continuity within 304
lack of continuity would 65
lack of controlled trials 836
lack of convenient parking 174
lack of cooperation could 142
lack of cooperation given 41
lack of cooperation might 95
lack of cooperation often 70
lack of cooperation shown 133
lack of cooperation which 362
lack of cooperation within 625
lack of cooperation would 156
lack of corrective action 220
lack of correlation could 158
lack of correlation found 107
lack of correlation might 137
lack of correlation seems 48
lack of correlation which 173
lack of correlation within 47
lack of correlation would 195
lack of defensible space 96
lack of definitive proof 181
lack of democratic input 50
lack of democratic space 43
lack of dependable water 116
lack of difference could 84
lack of difference found 64
lack of diplomatic skill 532
lack of directional signs 86
lack of discipline about 50
lack of discipline could 110
lack of discipline makes 75
lack of discipline might 53
lack of discipline often 47
lack of discipline rather 134
lack of discipline shown 137
lack of discipline which 1838
lack of discipline within 1234
lack of discipline would 190
lack of disclosure about 151
lack of distinction which 95
lack of distinguishing marks 45
lack of educational value 151
