lad a virtuoso in 43
lap a revolver of 47
law a blockade is 62
law a condition of 161
law a contract in 41
law a contract is 198
law a contract of 179
law a contract or 63
law a contract to 93
law a delivery to 59
law a doctrine of 84
law a judgment of 47
law a majority of 184
law a monopoly of 75
law a mortgage is 41
law a mortgage of 44
law a property in 60
law a provision in 45
law a provision of 42
law a provision to 62
law a rejection of 129
law a sentence of 55
law a standard of 67
law a tendency to 75
law a transfer of 148
law i believed to 124
lax a condition of 45
lay a boundary of 51
lay a causeway of 108
lay a challenge to 75
lay a conflict of 57
lay a confusion of 94
lay a critique of 43
lay a crucifix of 47
lay a distance of 69
lay a district of 54
lay a flotilla of 49
lay a fragment of 288
lay a labyrinth of 168
lay a lifetime of 89
lay a mattress on 60
lay a mountain of 193
lay a necklace of 162
lay a panorama of 78
lay a pavement of 70
lay a pipeline to 143
lay a platform of 75
lay a prisoner at 75
lay a prisoner in 658
lay a profusion of 164
lay a prospect of 104
lay a quantity of 1154
lay a regiment of 69
lay a scattering of 229
lay a selection of 84
lay a sprinkling of 59
lay a squadron of 55
lay a thickness of 48
lay a tradition of 77
lay a trencher or 45
lead a battalion of 143
lead a believer to 98
lead a business to 99
lead a campaign in 185
lead a campaign of 318
lead a campaign to 1456
lead a challenge to 56
lead a christian to 153
lead a clinician to 603
lead a coalition of 473
lead a coalition to 268
lead a consumer to 280
lead a contingent of 460
lead a contingent to 46
lead a customer to 213
lead a daughter to 43
lead a designer to 110
lead a disciple to 43
lead a flotilla of 72
lead a formation of 92
lead a historian to 67
lead a listener to 351
lead a majority in 97
lead a majority of 526
lead a majority to 83
lead a migration to 53
lead a minority of 45
lead a movement in 190
lead a movement of 650
lead a movement or 43
lead a movement to 788
lead a physician to 325
lead a prisoner to 82
lead a producer to 52
lead a prospect to 64
lead a rebellion in 196
lead a rebellion of 132
lead a rebellion to 51
lead a regiment in 95
lead a regiment of 308
lead a regiment or 57
lead a regiment to 78
lead a reporter to 76
lead a secession of 44
lead a squadron in 106
lead a squadron of 294
lead a squadron to 72
lead a struggle to 41
lead a teenager to 50
lead a therapist to 375
lead a workshop at 110
lead a workshop in 78
lead a workshop on 562
lead a youngster to 131
leap a distance of 718
led a battalion at 50
led a battalion in 120
led a battalion of 550
led a campaign by 48
led a campaign in 772
led a campaign of 847
led a campaign on 55
led a campaign to 3708
led a challenge to 104
led a coalition in 91
led a coalition of 1685
led a coalition to 114
led a commando of 80
led a commando to 42
led a contingent in 50
led a contingent of 2319
led a contingent to 169
led a distance of 69
led a flotilla of 381
led a formation of 396
led a majority in 62
led a majority of 1005
led a majority to 94
led a massacre of 152
led a migration of 241
led a migration to 107
led a minority in 45
led a minority of 343
led a movement by 74
led a movement in 670
led a movement of 710
led a movement to 3063
led a prisoner in 40
led a prisoner to 478
led a rebellion at 43
led a rebellion by 47
led a rebellion in 1307
led a rebellion of 647
