lace cuffs and powdered 40
lack breathing and exercise 59
lack focus and direction 234
lack power and authority 158
lack power and prestige 168
lack social and economic 227
lack social and emotional 126
lady could not possibly 229
lady could not remember 69
lady could not restrain 82
lady holding her daughter 53
lady loses all patience 49
lady loved and esteemed 61
lady spoke with somewhat 62
laid about him fiercely 62
laid about him furiously 68
laid about him valiantly 40
laid about them manfully 53
laid aside all business 94
laid aside all disguise 52
laid aside all enormous 67
laid aside all personal 167
laid aside all pretense 129
laid aside all scruples 54
laid aside all suspicion 50
laid aside and rejected 54
laid aside and rendered 43
laid aside and replaced 178
laid aside and slighted 119
laid aside for personal 77
laid aside her garments 108
laid aside her magazine 53
laid aside his attitude 42
laid aside his clerical 153
laid aside his crutches 76
laid aside his disguise 103
laid aside his divinity 43
laid aside his doubtful 54
laid aside his garments 2543
laid aside his habitual 93
laid aside his intended 40
laid aside his intention 132
laid aside his military 275
laid aside his ordinary 114
laid aside his overcoat 63
laid aside his pastoral 47
laid aside his personal 96
laid aside his physical 45
laid aside his prepared 42
laid aside his priestly 78
laid aside his religious 83
laid aside his scruples 56
laid aside his splendid 45
laid aside his surplice 44
laid aside his troubles 49
laid aside its eternity 40
laid aside our garments 53
laid aside that suspicion 44
laid aside with breeches 89
laid aside with contempt 115
laid aside with sickness 40
laid plans for economic 57
laid plans for expansion 42
laid plans for rebuilding 41
laid plans for tormenting 42
laid traps for attention 57
laid under his direction 63
laid waste and deserted 215
laid waste and desolate 2074
laid waste and occupied 83
laid waste and pillaged 269
laid waste and thousands 41
laid waste and trampled 46
laid waste his property 55
laid waste that province 96
laid waste this beautiful 149
laid within six calendar 121
lain about and grumbled 146
lain awake and listened 182
lake below had stealthily 41
lake stand two pyramids 97
lake water and sediment 230
lake which was situated 77
lamb chops and pineapple 54
lamb chops for breakfast 71
lamb chops with rosemary 201
lamp would not brighten 47
land agent and attorney 167
land agent and surveyor 648
land based gas turbines 65
land clearing and drainage 210
land costs and interest 112
land could not continue 43
land could not displace 64
land could not maintain 258
land could not possibly 213
land cover map produced 98
land first and foremost 138
land force was composed 44
land grant for education 61
land grant for railroad 88
land grant that included 126
land grant was approved 45
land grant was increased 57
land grant was obtained 61
land issue was resolved 42
land owned and occupied 930
land owned and operated 495
land owner and merchant 52
land owner has suffered 59
land owner was entitled 60
land owner was required 50
land rather than continue 45
land rather than industry 59
land rather than purchase 53
land rents and interest 272
land route for supplies 65
land sales and exchanges 92
land sales and property 41
land shall not authorize 110
land shows this readiness 78
land taken for highways 142
land taken for purposes 42
land taken for railroad 346
land taxes are assessed 42
land teeming with miracles 50
land teeming with wildlife 50
land under his authority 52
land under his personal 327
land under its military 52
land under this category 207
land under this contract 42
land under this provision 102
land unman our conquest 88
land until she anchored 48
land value and property 45
land value has increased 87
land where any insolent 75
land where she stumbled 112
land where they believed 115
land where they expected 41
land where they intended 84
land which are entirely 44
land which are included 42
land which are intended 46
land which are suitable 86
land which god promised 275
land which had actually 60
land which had afforded 55
land which had enslaved 42
land which had formerly 2366
land which had nurtured 65
land which had probably 47
land which had produced 603
land which had provided 65
land which had received 362
land which had recently 191
land which had rejected 91
land which had remained 213
land which had reverted 89
land which had suddenly 59
land which had suffered 132
land which has afforded 63
land which has formerly 42
land which has forsaken 70
land which has increased 114
land which has produced 345
land which has provided 69
land which has received 411
land which has recently 337
land which has remained 388
land which has resulted 184
land which has reverted 93
land which has suffered 587
land which his lordship 90
land which lay westward 128
land which may hereafter 345
land which now composes 68
land which now contains 43
land which now produces 52
land which now supports 67
land which our children 52
land which they acquired 140
land which they actually 178
land which they believed 595
land which they consider 338
land which they expected 112
land which they formerly 199
land which they intended 200
land which they obtained 96
land which they occupied 3314
land which they proposed 113
land which they received 386
land which they regarded 362
land which they required 63
land which they retained 46
land which they unfolded 56
land which was acquired 909
land which was actually 365
land which was adjacent 65
land which was affected 50
land which was allotted 500
land which was assessed 145
land which was assigned 129
land which was attached 47
land which was believed 130
land which was conveyed 430
land which was declared 152
land which was deserted 52
land which was designed 56
land which was destined 183
land which was directly 47
land which was disposed 50
land which was disputed 40
land which was enclosed 83
land which was entirely 67
land which was expected 57
land which was formerly 2806
land which was improved 85
land which was included 238
land which was intended 194
land which was obtained 145
land which was occupied 711
land which was otherwise 146
land which was probably 150
land which was promised 845
land which was regarded 156
land which was required 328
land which was reserved 163
land which was retained 46
land which was situated 279
land which was suitable 346
land which was supposed 525
land which was surveyed 85
land whole and inviolate 209
land whose dim outlines 42
land within and adjacent 127
land within each district 100
land within easy distance 50
land within his district 275
land within his dominions 118
land within its boundary 127
land within its district 194
land within its precinct 50
land within that distance 43
land within that district 109
land within this province 342
land zoned for business 76
land zoned for industry 481
lane shall not normally 68
lane which led directly 63
lane which ran alongside 49
lane which ran parallel 143
lane which was conducting 41
last appeal for clemency 47
last child has finished 41
last child was baptized 48
last child was unwanted 48
last class are included 63
last class was composed 41
last class was despised 90
last class was finished 42
last could not possibly 71
last crumb had vanished 82
last defeat was decisive 60
last drawing and midnight 54
last error that occurred 364
last evening and remained 41
last folds and recesses 45
last grade you finished 49
last group are included 86
last group was composed 119
last group was included 52
last guest had departed 1219
last guest has departed 111
last hated and despised 217
last hours and execution 97
last hours had restored 77
last kills all capacity 45
last longer and remember 42
last longer and therefore 49
last longer than eighteen 51
last longer than expected 709
last longer than ordinary 358
last longer than standard 82
last mccoy got delirium 43
last meeting she attended 51
last meeting was attended 55
last meeting you attended 92
last method was employed 51
last motion that survives 49
last named are situated 86
last named being probably 41
last named was educated 77
last named was probably 101
last night all received 41
last night and actually 49
last night and attacked 75
last night and attended 45
last night and bemoaned 49
last night and breakfast 121
last night and captured 53
last night and demanded 76
last night and everyone 185
last night and expected 46
last night and finished 190
last night and followed 43
last night and informed 213
last night and insisted 86
last night and listened 134
last night and prepared 91
last night and probably 113
last night and promised 76
last night and received 101
last night and remained 48
last night and reported 170
