lab report comes back 71
lad should marry your 61
lad turned aside into 73
lag behind urban areas 189
law always holds good 46
law barred women from 75
law before never gave 50
law changed after those 41
law claims arising from 146
law courts ceased their 46
law courts could give 57
law courts could have 50
law courts could only 49
law courts which have 50
law courts which were 129
law courts would have 200
law courts would take 44
law except where there 47
law exists apart from 96
law indeed never took 92
law issues arising from 47
law itself appear more 71
law itself might have 75
law itself would have 213
law itself would make 41
law judges shall have 136
law mirror image rule 430
law passed under such 66
law passed which gave 56
law passed which made 138
law passed which will 68
law reform which have 46
law reform would have 47
law school after three 68
law school could have 45
law school might have 71
law school would have 245
law should allow such 74
law should appear more 179
law should apply only 165
law should apply when 145
law should enter into 45
law should never fall 43
law should never have 145
law should watch over 47
law stands apart from 47
law vacating every four 53
law wholly apart from 41
law without falling into 65
law without first having 55
law without knowing what 65
law without resting upon 73
law without which there 153
lay almost within reach 95
lay almost within their 51
lay before people nothing 116
lay brother stood ready 60
lay buried beneath their 173
lay buried under heaps 47
lay buried under many 51
lay buried under snow 61
lay buried under tons 53
lay eleven white swan 45
lay fairly within their 270
lay fallow every third 94
lay hidden beneath their 64
lay hidden beneath those 102
lay hidden within these 44
lay impious hands upon 103
lay myself under such 45
lay person could have 40
lay person would have 241
lay sleeping under their 66
lay stress rather upon 96
lay strewn about like 95
lay strewn about over 61
lay twelve miles from 121
lay twelve miles north 96
lay twenty miles away 70
lay twenty miles from 73
lay twenty miles north 108
lay unholy hands upon 94
lay violent hands upon 14909
lay wholly within their 44
lay without shift most 68
lead agency shall work 52
lead changed hands three 49
lead levels ranged from 78
lead pencil marks from 43
lead through about their 164
lead without pause into 61
lean ground round steak 91
lean tissue growth rate 232
lean winter months when 43
led through pipes into 76
leg without falling over 121
let another child play 40
let another coach pass 119
let another night pass 157
let another party come 45
let another train pass 276
let another woman come 68
let another woman have 86
let another woman into 64
let another woman take 83
let anyone change your 84
let anyone touch their 49
let anyone touch your 182
let christ reign over 55
let common people know 47
let common sense rule 45
let english people know 55
let enough light into 100
let itself loose into 77
let itself loose upon 46
let myself drift along 205
let myself drift away 87
let myself drift back 97
let myself drift down 85
let myself drift into 362
let myself dwell upon 44
let myself float down 40
let myself glide down 43
let myself loose from 67
let myself really feel 66
let myself really think 41
let myself relax into 80
let myself slide down 622
let myself slide into 140
let stoics boast their 156
let thieves grease your 66
let visual basic know 51
let younger people speak 40
liar whoever shall think 47
lid through which pass 45
lie buried beneath their 106
lie buried beneath these 89
lie buried under five 75
lie buried under some 81
lie buried under their 42
lie buried under these 113
lie fallow every other 479
lie fallow every third 647
lie hidden beneath their 43
lie viewed apart from 145
lie without putting their 40
lion griefs loped from 119
lion should appear from 49
lion should never have 88
log bridge thrown over 45
log cabins strung along 47
log cabins which have 61
log cabins which were 205
log houses which were 85
long already fixed what 53
long ascent which leads 41
long avenue which leads 115
long avenue which runs 46
long bamboo fishing pole 118
long bamboo poles from 49
long bamboo poles held 44
long bamboo poles were 76
long before amelia came 50
long before anything else 448
long before anything like 938
long before asked miss 54
long before betty will 66
long before books were 324
long before closing time 324
long before coins were 42
long before cutting down 40
long before either side 128
long before entry into 96
long before evening came 119
long before every other 171
long before fifty years 47
long before fixed upon 47
long before found their 42
long before george bush 104
long before getting help 87
long before getting into 77
long before henry ford 227
long before henry viii 379
long before human beings 1332
long before human life 152
long before islam came 169
long before israel came 115
long before james watt 114
long before jesus came 286
long before marco polo 398
long before morning came 50
long before mother died 141
long before night came 290
long before night fell 43
long before night will 85
long before opening time 161
long before others came 120
long before others have 63
long before others were 550
long before others will 92
long before people came 141
long before people from 129
long before people have 47
long before people knew 168
long before people like 47
long before people were 1028
long before people will 235
long before peter came 45
long before plans were 121
long before queen anne 118
long before reaching such 45
long before reaching their 326
long before risen from 136
long before santa anna 58
long before seeking help 126
long before setting foot 93
long before sleep came 223
long before spread over 69
long before steps were 121
long before taken from 40
long before taken root 229
long before tidings were 87
long before train time 246
long before which time 735
long before women were 484
long before words have 97
long before words were 308
long before would have 408
long blonde curly hair 55
long bodies running over 52
long braids falling over 56
long branch which runs 47
long bright brown hair 56
long bullet makes nothing 49
long career which those 54
long cloaks thrown over 43
long coarse black hair 443
long coarse shirt like 54
long curled black hair 141
long debate about what 266
long debate arose upon 78
long debate which took 62
long delays which have 120
long delays which took 40
long delays which were 48
long endure under such 46
long england would have 47
long enough about town 49
long enough about what 64
long enough about your 43
long enough after their 114
long enough daily work 72
long enough getting here 48
long enough people will 89
long enough period will 77
long enough under these 46
long enough under your 100
long enough would have 109
long evenings which have 54
long feathers fixed only 97
long feathers growing from 54
long forced march from 226
long gangway would bend 49
long garden running down 49
long gathering burst upon 112
long gentle slope leading 54
long german words from 64
long gimlet would clear 49
long glossy black hair 264
long golden blond hair 58
long golden brown hair 116
long golden curls were 48
long gravel drive leading 66
long hollow swell from 81
long lashes droop over 42
long lashes swept down 233
long latent period during 168
long latent period from 83
long letter about nothing 93
long letter about what 71
long letter about your 102
long letter dated from 80
long letter dated july 70
long letter dated june 74
long letter every week 130
long letter setting forth 277
long letter today from 57
long letter tracing some 46
long letter which came 48
long letter which will 149
long matted black hair 47
long moment looking down 309
long moment staring down 43
long moment staring into 57
long narrow glass tube 349
long narrow indian canoe 48
long narrow leaves like 111
long narrow strip along 151
long narrow strip from 83
long nights walking fore 40
long periods after birth 89
long periods after their 234
long periods apart from 79
long periods spent away 56
long periods under such 41
long periods under these 46
long periods until some 45
long periods where there 65
long periods which gets 64
long periods which have 53
long periods which were 60
long periods while their 94
long periods would have 86
long prison terms were 148
long purple cleft brings 138
long purple robes like 127
long queues would form 58
long reaction times were 82
long remain aloof from 96
long remain strong when 162
long ridges running from 51
long ridges which girt 56
long rivers which flow 40
long rumbling noise like 42
long sermon about what 46
long shaggy black hair 105
long silent hours wore 41
long skirts reaching down 41
long sleeve would have 43
long something would take 41
long sought after goal 349
long sparks burst from 65
long speech about what 90
long speech setting forth 52
long speech would have 46
long spines arising from 43
long stalks arising from 73
long standing cases there 148
long standing which have 152
long standing which were 69
long standing would have 52
long sticks which were 51
long strain about self 56
long street running along 87
long street running from 79
long street running north 40
long street which leads 84
long street which runs 143
long strips about three 42
long strips which were 89
long summer evening talk 67
long summer months when 93
long supply lines from 109
long supply route from 43
long tables piled high 104
long tables running down 53
long tables which were 70
long tangled black hair 43
long through solid rock 60
long tirade about hating 44
long tracts passing from 40
long tunnel which leads 63
long uphill climb back 109
long uphill climb from 44
long valley which runs 54
long values which have 112
long versus short term 155
long vowels occur only 109
long voyage round cape 264
long voyage under sail 72
long voyage would have 68
long warped fingers held 49
long willow leaves were 63
long winter evening when 50
long winter months ahead 282
long winter months from 45
long winter months there 99
long winter months were 120
long winter months when 832
long winter night there 41
long winter season when 49
long winter sleep when 48
long without breaking down 205
long without falling into 92
long without feeling some 53
long without finding some 252
long without getting into 140
long without knowing what 454
long without running into 417
long without turning into 44
long wooden match from 45
long wooden spoon from 64
long wooden table were 40
long yellow grass among 44
long yellow legal pads 122
lot better about leaving 48
lot better about life 66
lot better about their 81
lot better about what 186
lot better about your 100
lot better right away 57
lot clearer about what 64
lot lately about what 104
lot without looking back 68
low annual growth rate 164
low carbon steel during 55
low carbon steel from 53
low carbon steel having 48
low carbon steel pipe 77
low carbon steel used 50
low carbon steel were 82
low carbon steel will 58
low carbon steel wire 197
low cardiac event rate 62
low coupon bonds have 42
low degree could have 112
low degree might have 48
low energy field theory 76
low energy gamma rays 655
low energy region from 49
low fellow would steal 43
low genius would think 52
low ground cover such 40
low ground where there 44
low income group from 50
low income group have 60
low income group were 125
low income group will 50
low income housing areas 118
low income housing from 45
low income housing have 53
low income housing were 63
low income housing will 54
low income inner city 128
low income people from 99
low income people have 149
low income people living 42
low income people were 67
low income people will 81
low income rural areas 174
low income urban areas 273
low income would have 48
low inward voice were 41
low market growth rate 76
low mobile phase flow 45
low murmur arose among 53
low murmur arose from 76
low patent leather shoes 59
low places where there 87
low plasma amino acid 117
low prices arising from 50
low prices might have 42
low prices which have 197
low prices which make 41
low prices which were 202
low prices which will 52
low prices would have 134
low rumbling noise like 104
low rumbling sound came 61
low rumbling sound from 55
low rumbling sound like 59
low status group were 48
low status within their 82
low thunder running along 45
low tribes which have 41
low valley lands along 97
low violent crime rate 49
low voices about their 58
low voices about what 61
lung cancer after years 44
lung cancer cases among 204
lung cancer cases have 44
lung cancer cases were 167
lung cancer cells bearing 56
lung cancer cells have 69
lung cancer cells were 75
lung cancer comes from 44
lung cancer kills more 249
lung cancer ranges from 50
lung cancer rates among 378
lung cancer rates have 131
lung cancer rates were 163
lung cancer risks from 67
lung cancer small cell 56
lung cancer would have 118
lung disease often have 82
lung lavage fluid from 78
lung tissue breaks down 45
lung tissue taken from 117
lung tissue which lies 70
lying almost prone upon 41
lying almost within reach 58
lying around where your 41
lying drivel about pure 83
lying speech arising from 54
lying supine under mats 43
lying twelve miles from 86
lying twenty miles from 42
lying twenty miles west 46
lying twenty yards away 52
lying twenty yards from 40
lying wholly apart from 42
