laborers working for wages 170
lacrimal gland may occur 51
lambskin lined with white 47
lameness which has often 59
lameness would not allow 128
lamented again and again 113
lamented event had taken 53
landlady swore she lived 128
landlady would not allow 79
landless people and small 63
landless rural and urban 56
landlord could not claim 42
landlord could not easily 41
landlord could not evict 132
landlord could not raise 138
landlord durst not abate 59
landlord finds all sorts 104
landlord would not allow 191
landlord would not renew 56
landsman could spy danger 53
languages greek and latin 231
languages latin and greek 248
languages rather than latin 364
languages where they exist 54
languages where they occur 86
languages which are based 170
languages which are close 106
languages which are either 117
languages which are found 78
languages which are known 245
languages which are often 193
languages which are quite 101
languages which are really 46
languages which are still 543
languages which are within 78
languages which had never 94
languages which may serve 46
languages which now exist 42
languages which she could 57
languages which she spoke 40
languages which they could 209
languages which they never 115
languages which they spoke 291
languages within each group 56
languages would not change 44
languidly emits its voice 213
latitude above and below 114
latitude passing ten miles 110
latitude which they allow 42
laughter again and again 190
laughter broke out again 595
laughter burst out again 78
laughter rather than anything 55
laughter which she could 68
laughter which this sally 55
launched again and again 104
launched within six months 51
lavatory basin for every 113
lavender gingham and black 83
lavished money and gifts 48
lavishly wined and dined 141
lawfully changing its bases 41
lawfully issuing one after 64
lawfully seize all ships 124
lawsuits about his tithes 135
lectures again and again 105
lectures which are given 258
lectures which are really 221
legacies which they shall 66
lettered people who lived 55
leukemic cells are found 41
leverage point for change 103
liability cases are based 54
liability cases are often 117
liability rather than asset 139
liability rules that apply 47
liability shall not apply 242
liability under its terms 48
liability under that draft 87
liability under this title 96
liability which may arise 711
liability which may exist 77
liability which they might 73
liability which was under 56
liability would not apply 221
liability would not arise 131
liability would not exist 74
liberals could not agree 61
liberating force for women 244
liberating force that would 74
licensed banks and trust 46
licensed under this order 108
licensee shall not allow 84
licensee shall not carry 124
licenses which are given 45
lifeless ashes and smoke 92
lifelike warmth than could 44
lifetime births per woman 791
lifetime earnings for males 43
lifetime hunting and fishing 142
lifetime judah and israel 50
lifetime which they would 95
ligament above and below 68
ligature above and below 716
ligature round his penis 41
lightening speed with which 102
likeness after his image 203
likeness rather than anything 103
likeness which had grown 50
likeness which they spoke 210
likewise burnt with equal 108
likewise rather too large 110
likewise rises and falls 65
likewise trace not often 47
likewise turks and black 62
likewise valid for every 44
likewise which they never 89
linguistic change and social 66
linguistic change has never 66
linguistic change has taken 49
linguistic forms and meanings 146
linguistic forms and rules 57
linguistic forms and social 140
linguistic forms with which 74
linguistic rather than ethnic 86
linguistic rather than racial 289
linguistic rather than social 189
linguistic signs and which 72
linguistic tools with which 87
linguistic units and rules 81
linkages which may exist 41
listened again and again 762
listened every few yards 42
listened rather than spoke 73
listened until she could 157
listened while her father 69
listened while her mother 197
listened while his father 116
listened while his mother 65
listened while she spoke 112
listened while they spoke 95
listless apathy with which 64
literacy class for women 105
literacy learning and teaching 796
literacy rates are below 43
literacy rates are found 48
literacy rates are lower 140
literacy rates are often 59
literacy rates are still 80
literacy rates for males 154
literacy rates for women 433
literacy teaching and learning 2627
literacy tests for voter 125
literary abuse with which 71
literary agent and author 170
literary babes who never 43
literary beauty and moral 59
literary beauty and power 72
literary charm and grace 122
literary charm and power 71
literary class had sprung 85
literary damon and pythias 46
literary fault that calls 45
literary force and skill 45
literary forms and modes 236
literary forms and social 89
literary forms and style 125
literary forms and themes 289
literary forms and types 110
literary forms are found 54
literary forms that could 49
literary forms that would 78
literary forms with which 135
literary genre and social 40
literary genre and style 62
literary genre for which 53
literary genre that could 58
literary genre that would 78
literary genre with which 86
literary grace and charm 92
literary grace and power 60
literary grace and style 48
literary merit and moral 74
literary merit and social 199
literary merit and which 57
literary modes and forms 101
literary people and others 42
literary people who really 98
literary power and beauty 69
literary power and skill 45
literary power with which 81
literary pride and lofty 58
literary prose and poetry 274
literary prose and verse 113
literary rather than legal 187
literary rather than moral 70
literary rather than social 344
literary rules and forms 41
literary skill and charm 79
literary skill and power 98
literary skill and style 220
literary skill and taste 81
literary skill with which 623
literary study and social 98
literary style and genre 63
literary style and grace 100
literary style and method 121
literary style and moral 40
literary style and poetic 46
literary style and social 100
literary style and taste 145
literary style but rather 40
literary style that makes 60
literary style that would 107
literary style with which 63
literary taste and feeling 93
literary taste and lofty 76
literary taste and moral 52
literary taste and poetic 54
literary taste and power 61
literary taste and skill 318
literary taste and social 48
literary taste and style 234
literary texts and films 79
literary texts and human 59
literary texts and social 103
literary texts and works 210
literary texts are often 231
literary texts are woven 52
literary texts but rather 42
literary texts that might 45
literary texts that would 48
literary texts with which 58
literary themes and forms 246
literary types and forms 99
literary value has never 275
literary works and books 88
literary works and films 211
literary works and social 75
literary works and works 410
literary works are about 48
literary works are based 52
literary works are found 41
literary works are given 63
literary works are known 78
literary works are often 403
literary works are still 70
literary works are works 41
literary works for which 135
literary works that could 111
literary works that might 83
literary works that would 184
literary works with which 143
literary world for which 43
literary world that might 58
literary world was happy 104
literary world was still 62
literary world with which 55
literate people who could 123
literate people who would 44
literate women for every 53
litigant based his claim 60
litigating title vii cases 76
littoral fauna and flora 169
littoral flora and fauna 187
loanable funds and hence 57
loanable funds that would 53
locality about six miles 50
locality about two miles 131
locality where they could 201
locality where they first 90
locality where they lived 195
locality where they might 115
locality where they occur 186
locality where they would 119
locality which has since 79
locality within each state 40
locations above and below 353
locations again and again 44
locations rather than large 47
locations rather than others 55
locations rather than studio 46
locations where one might 63
locations where one would 65
locations where they could 1014
locations where they lived 63
locations where they might 288
locations where they occur 123
locations where they would 639
locations where you could 64
locations where you might 80
locations where you would 121
locations which are close 45
locations which are easily 56
locations which are known 66
locations which are often 57
locations within each state 43
locations within this region 46
loincloth round his waist 41
loitered about his halls 66
loitered about his house 95
longitude lines are drawn 175
longitude lines that cross 67
lordship could not taste 83
lordship gives this reason 77
lordship judge and juror 64
lordship thinks that placing 43
lordship would not allow 54
loudness rises and falls 42
loveless birds now flock 61
luckiest event that could 75
