eagerness availing himself of 45
earnestly argued against the 87
earnestly devoting himself to 88
earnestly excuse himself on 51
earnestly looked forward to 235
earnestly pressing forward to 43
earnestly strove against it 56
earnestly warned against the 77
ecliptic midway between the 98
economic accord between the 59
economic actions against the 70
economic actors operating in 73
economic actors outside the 63
economic actors respond to 61
economic agents according to 60
economic agents attempt to 98
economic agents located in 58
economic agents operating in 159
economic agents outside the 64
economic agents regarding the 43
economic agents respond to 182
economic battle against the 59
economic battle between the 121
economic bridge between the 110
economic buffer between the 51
economic burden because of 84
economic burden carried by 45
economic burden imposed by 522
economic burden imposed on 282
economic changes affecting the 558
economic changes altered the 70
economic changes because of 59
economic changes beginning in 59
economic changes between the 89
economic changes brought by 315
economic changes brought on 509
economic changes brought to 47
economic changes following the 267
economic changes imposed by 69
economic changes induced by 212
economic changes occurring at 78
economic changes occurring in 1036
economic changes related to 189
economic changes resulting in 183
economic changes similar to 75
economic changes ushered in 171
economic changes wrought by 1006
economic changes wrought in 86
economic choice between the 107
economic claims against the 73
economic coercion against the 91
economic crimes against the 292
economic crises affecting the 58
economic crises because of 50
economic crises brought on 182
economic crises following the 103
economic crises related to 43
economic crisis affecting the 336
economic crisis affects the 62
economic crisis appeared in 97
economic crisis because it 78
economic crisis because of 295
economic crisis because the 102
economic crisis beginning in 427
economic crisis besetting the 56
economic crisis between the 101
economic crisis brought on 1384
economic crisis brought the 99
economic crisis brought to 48
economic crisis emerged in 67
economic crisis erupted in 119
economic crisis exposed the 45
economic crisis following the 776
economic crisis gripped the 67
economic crisis induced by 93
economic crisis reduced the 90
economic crisis related to 52
economic crisis resulting in 191
economic crisis similar to 95
economic crisis sparked by 63
economic crisis spawned by 46
economic crisis started in 108
economic crisis started to 56
economic crisis towards the 50
economic crisis weakened the 43
economic damage wrought by 168
economic divide between the 415
economic double taxation in 73
economic double taxation is 134
economic double taxation of 467
economic effect because it 77
economic effect because of 57
economic effect because the 186
economic effect between the 51
economic effect similar to 68
economic entity capable of 99
economic equity between the 47
economic events affecting the 107
economic events between the 46
economic events following the 40
economic events occurring in 93
economic events outside the 54
economic factor affecting the 84
economic factor because it 84
economic factor related to 58
economic forces affecting the 465
economic forces against the 42
economic forces between the 58
economic forces capable of 55
economic forces combine to 49
economic forces governing the 71
economic forces operate in 103
economic forces operate to 80
economic forces operating at 172
economic forces operating in 698
economic forces operating on 297
economic forces operating to 113
economic forces outside of 113
economic forces outside the 268
economic forces present in 53
economic forces related to 90
economic forces released by 169
economic future because of 43
economic future depends on 323
economic groups according to 86
economic groups because of 70
economic groups outside the 53
economic impact because of 102
economic impact because the 71
economic impact studies in 64
economic impact studies of 202
economic impact studies to 54
economic income divided by 77
economic injury because of 121
economic issues affecting the 455
economic issues because of 110
economic issues between the 437
economic issues central to 47
economic issues include the 50
economic issues including the 70
economic issues involving the 78
economic issues outside the 51
economic issues regarding the 73
economic issues related to 1676
economic levels between the 118
economic limits imposed by 76
economic losses amounting to 67
economic losses because of 312
economic losses because the 43
economic losses imposed by 53
economic losses related to 127
economic mission arrived in 107
economic options outside of 50
economic output because of 46
economic parity between the 194
economic planning adopted in 58
economic planning because it 61
economic planning because of 75
economic planning because the 46
economic planning between the 47
economic planning efforts or 68
economic planning process in 65
economic planning started in 54
economic policy according to 230
economic policy adopted at 47
economic policy adopted by 790
economic policy adopted in 193
economic policy adviser in 45
economic policy adviser to 153
economic policy affecting the 91
economic policy affects the 101
economic policy against the 107
economic policy appeared to 113
economic policy applied by 60
economic policy applied in 104
economic policy applied to 48
economic policy aspects of 92
economic policy because it 252
economic policy because of 251
economic policy because the 126
economic policy between the 740
economic policy capable of 123
economic policy choices in 95
economic policy choices of 133
economic policy debates in 148
economic policy debates of 73
economic policy decision to 43
economic policy depends on 190
economic policy despite the 52
economic policy focused on 414
economic policy focuses on 61
economic policy following the 124
economic policy founded on 60
economic policy imposed by 93
economic policy including the 100
economic policy involving the 40
economic policy measures as 56
economic policy measures in 201
economic policy measures is 50
economic policy measures of 143
economic policy measures on 77
economic policy measures to 261
economic policy outside the 67
economic policy package of 45
economic policy problem is 44
economic policy process in 67
economic policy pursued at 51
economic policy pursued by 1554
economic policy pursued in 355
economic policy reforms in 335
economic policy reforms of 120
economic policy reforms on 61
economic policy reforms to 66
economic policy regarding the 84
economic policy regimes in 56
economic policy related to 127
economic policy shifted to 74
economic policy similar to 98
economic policy started to 43
economic policy studies at 73
economic policy towards the 991
economic policy ushered in 52
economic policy whereby the 58
economic powers between the 66
economic powers granted to 48
economic profit because the 58
economic reasons because it 53
economic reasons because of 40
economic reasons because the 62
economic reasons related to 145
economic reform adopted by 43
economic reform adopted in 46
economic reform appeared to 56
economic reform because it 110
economic reform because of 83
economic reform beginning in 55
economic reform depends on 71
economic reform efforts by 44
economic reform efforts in 203
economic reform efforts of 72
economic reform focused on 41
economic reform following the 57
economic reform measures in 197
economic reform measures of 95
economic reform measures to 107
economic reform package in 81
economic reform package of 87
economic reform package to 60
economic reform process as 48
economic reform process in 619
economic reform process is 141
economic reform process to 44
economic reform program as 112
economic reform program in 617
economic reform program is 201
economic reform program of 252
economic reform program on 57
economic reform program to 157
economic reform similar to 47
economic reform started in 359
economic reform wrought is 57
economic regions according to 49
economic revolt against the 95
economic rights according to 65
economic rights against the 81
economic rights because of 56
economic rights enjoyed by 110
economic rights granted to 82
economic rights include the 72
economic roller coaster of 106
economic sector because of 51
economic sphere because of 54
economic sphere because the 43
economic sphere between the 67
economic status according to 149
economic status affects the 71
economic status appeared to 94
economic status because of 244
economic status because the 40
economic status between the 558
economic status depends on 89
economic status enjoyed by 107
economic status measured by 57
economic status related to 49
economic status remains the 42
economic status similar to 162
economic status superior to 52
economic strain imposed by 40
economic strength affording it 55
economic strength against the 57
economic strength because of 46
economic strength between the 211
economic strength depends on 72
