earlier i pointed out 95
earnest a century and 85
edited a journal and 63
edited a journal for 122
edited a journal that 129
edited a journal with 47
edition a chapter has 62
editor a program for 42
editor a program that 433
editor a scholar who 40
effect a balance with 167
effect a bargain and 98
effect a contact with 160
effect a decision that 137
effect a desired end 279
effect a general and 269
effect a genuine and 146
effect a gradual and 178
effect a gradual but 75
effect a junction and 430
effect a junction near 146
effect a junction with 44243
effect a marriage with 131
effect a passage for 271
effect a passage with 45
effect a payment for 91
effect a peaceful and 131
effect a penalty for 42
effect a perfect and 111
effect a private end 998
effect a program for 474
effect a program that 106
effect a promise that 110
effect a quantum leap 41
effect a radical and 367
effect a regular and 48
effect a request for 272
effect a request that 116
effect a rupture with 255
effect a solution and 41
effect a solution for 131
effect a solution that 129
effect a subsidy for 1018
effect a synonym for 65
effect a thorough and 396
effect a trustee for 95
effect a vehicle for 57
effect a victory for 497
effect i believe that 108
effect i desired was 57
effect i noticed was 40
electing a captain and 40
electing a general who 49
elects a taxable year 44
elicit a general law 65
elicit a history that 48
elicit a promise that 94
elicit a request for 125
embalm a carcass not 111
embody a concern for 98
embody a respect for 65
emerge a stronger and 70
emitting a peculiar and 59
emotion i realized that 40
employ a certain set 44
employ a colored man 145
employ a complex and 43
employ a complex set 50
employ a concept that 129
employ a convict and 52
employ a diverse set 58
employ a faithful and 56
employ a formula for 71
employ a formula that 95
employ a hundred and 204
employ a hundred men 363
employ a language and 87
employ a language that 669
employ a language with 46
employ a limited set 98
employ a manager and 218
employ a manager for 86
employ a manager who 204
employ a married man 54
employ a medical man 59
employ a preacher who 120
employ a process that 184
employ a servant and 66
employ a servant for 93
employ a servant who 188
employ a similar set 53
employ a thousand men 183
employ a trained and 46
employ a workman who 98
emptying a chamber pot 97
emptying a garbage can 44
enable a careful and 108
enable a country with 62
enable a husband and 41
enable a married man 65
enable a medical man 149
enable a patient who 52
enable a patient with 110
enable a rational and 60
enable a student who 119
enable a student with 151
enacting a charter for 52
enacting a federal law 62
enacting a general law 803
enacting a similar law 45
enacting a statute that 868
enacts a general law 54
enacts a statute that 574
encode a message and 96
encode a message for 73
encode a message that 171
encode a message using 54
encode a message with 62
encode a product that 104
encode a protein that 859
encode a protein with 416
encoding a message and 60
encoding a message for 50
encoding a product that 59
encoding a protein that 848
encoding a protein with 1618
endowing a college for 145
endure a husband with 189
endure a painful and 78
endure a painful death 43
energy a battery can 59
energy a material can 69
energy e between two 55
energy u between two 46
engaged a bedroom for 73
engaged a carriage and 329
engaged a carriage for 224
engaged a carriage with 66
engaged a manager for 42
engaged a passage for 464
engaged a passage with 41
engaged a private box 48
engaged a servant for 77
engaged a servant who 126
engaged a taxicab and 64
enjoying a climate that 49
enjoying a festive meal 50
enjoying a freedom and 54
enjoying a freedom that 158
enjoying a freedom they 40
enjoying a gourmet meal 62
enjoying a holiday and 63
enjoying a holiday for 46
enjoying a holiday with 110
enjoying a maturer and 49
enjoying a peaceful and 138
enjoying a peaceful old 78
enjoying a pleasant and 82
enjoying a pleasant day 77
enjoying a revival and 134
enjoying a revival with 62
enjoying a species and 55
enjoying a success that 103
enjoys a climate that 318
enjoys a fragile and 90
enjoys a freedom and 66
enjoys a freedom that 62
enjoys a freedom with 43
