eccentric aberration of charles 42
economics discussed in chapter 94
economics profession in general 236
economics professor at columbia 182
economics professor at cornell 72
economics professor at harvard 259
economics throughout the country 59
economies dependent on foreign 40
economies discussed in chapter 48
economies necessary to compete 44
ecosystem responses to climate 624
ecosystem structure or function 229
editorials throughout the country 116
educative influence of society 46
educators continued to believe 51
educators throughout the country 2861
effective allocation of capital 113
effective allocation of control 133
effective allocation of limited 138
effective amendment or sticker 45
effective apparatus of control 42
effective arguments in support 45
effective collection of revenue 53
effective component of gravity 277
effective deterrent to capital 49
effective deterrent to illegal 202
effective deterrent to lawless 85
effective deterrent to violence 49
effective discovery of america 59
effective domination or control 58
effective evaluation of student 44
effective expression of popular 67
effective guarantee of freedom 119
effective influence or control 110
effective inhibitor of protein 72
effective leadership in schools 89
effective machinery of control 183
effective machinery to enforce 125
effective machinery to protect 51
effective mechanism of control 184
effective mechanism to achieve 106
effective mechanism to address 71
effective mechanism to control 150
effective mechanism to enforce 124
effective mechanism to improve 45
effective mechanism to increase 68
effective mechanism to monitor 92
effective mechanism to prevent 160
effective mechanism to promote 78
effective mechanism to protect 130
effective mechanism to provide 65
effective mechanism to resolve 58
effective occupation or control 63
effective opposition of lobbies 70
effective opposition to british 79
effective opposition to slavery 56
effective predictor of success 48
effective protection of forests 44
effective protection of freedom 59
effective protection of national 97
effective protection of patents 43
effective protection of privacy 70
effective protection of private 62
effective protection of society 77
effective protection of workers 125
effective regulation of foreign 117
effective regulation of private 132
effective regulation of railway 82
effective responses to complex 41
effective restraint on freedom 41
effective secretary of defense 56
effective standards of conduct 59
effective technique of control 92
effective technique of inquiry 47
effective technique to achieve 85
effective technique to control 67
effective technique to enhance 46
effective technique to improve 104
effective technique to increase 80
effective technique to prevent 53
effective technique to produce 47
effective throughout the country 369
effective treatments to prevent 48
effectual connection of america 45
effectual influence on conduct 85
effectual prevention of bribery 47
effectual prevention of cruelty 95
effectual prevention of smuggling 154
effectual revolution in manners 69
efficient absorption of calcium 160
efficient absorption of dietary 51
efficient absorption of foreign 63
efficient absorption of vitamin 128
efficient algorithms to compute 209
efficient algorithms to perform 88
efficient allocation of capital 2327
efficient allocation of factors 225
efficient allocation of foreign 93
efficient allocation of limited 374
efficient allocation of marketing 56
efficient allocation of national 166
efficient allocation of natural 75
efficient allocation of private 90
efficient allocation of research 54
efficient allocation of society 420
efficient allocation of traffic 63
efficient allocation of workers 77
efficient allocator of capital 43
efficient collection of customs 45
efficient collection of revenue 160
efficient collection of tribute 49
efficient conversion of kinetic 132
efficient discharge of official 46
efficient expression of foreign 97
efficient extraction of surplus 115
efficient mechanism of control 44
efficient mechanism of exchange 42
efficient mechanism to control 41
efficient mechanism to prevent 41
efficient procedure to compute 83
efficient production of material 56
efficient production of quality 271
efficient retrieval of records 47
eighteenth centuries in america 140
eighteenth centuries in britain 103
eighteenth centuries in germany 131
eighteenth centuries in western 348
eighteenth centuries is largely 52
eighteenth centuries the british 140
eighteenth centuries the european 55
eighteenth centuries the history 44
eighteenth centuries the jesuits 60
eighteenth centuries the spanish 124
eighteenth centuries to provide 57
elaborate apparatus of control 72
elaborate apparatus of symbols 45
elaborate appliances in general 62
elaborate arguments in support 171
elaborate arguments of counsel 90
elaborate arguments to justify 86
elaborate discussion of colonial 45
elaborate discussion the present 86
elaborate hierarchy of priests 60
elaborate hierarchy of spirits 41
elaborate machinery of control 76
elaborate machinery to prevent 43
elaborate provisions to prevent 71
elaborate technique of inquiry 41
electoral commission of fifteen 201
electoral commission to oversee 54
electoral commission to resolve 50
electoral districts as follows 68
electoral districts to reflect 40
electoral ministers in germany 50
electrode completes the circuit 107
electrons available to conduct 45
electrons continues to increase 41
electrons generated by photons 111
electrons liberated by photons 128
electrons necessary to produce 64
electrons penetrate the surface 48
electrons surrounding the central 109
electrons surrounding the nucleus 5463
electrons throughout the crystal 112
elegantly described by erasmus 73
