earnestly pray your honorable 78
economic data were available 120
economic data were collected 191
economic life have developed 47
economic life more generally 100
economic life were different 85
economic loss from accidents 44
economic theory more generally 60
economic theory will recognize 75
economic ties among countries 57
economic ties among themselves 105
economic ties have developed 45
economic wealth into political 43
economic work ever published 44
edifices have been destroyed 54
edifices have been preserved 84
educated from early childhood 139
educated health care consumers 55
education among their employees 49
education among those necessary 105
education came into existence 306
education during early childhood 59
education during their childhood 76
education during their formative 46
education even more difficult 76
education even more important 65
education from early childhood 437
education from other countries 52
education from their childhood 44
education from time immemorial 57
education have been abandoned 41
education have been abolished 45
education have been addressed 86
education have been advocated 44
education have been appointed 61
education have been associated 133
education have been attempted 66
education have been available 96
education have been broadened 44
education have been carefully 70
education have been challenged 88
education have been collected 44
education have been completed 114
education have been conceived 41
education have been concerned 204
education have been conducted 237
education have been described 293
education have been developed 893
education have been different 63
education have been discussed 508
education have been dominated 40
education have been effective 54
education have been especially 104
education have been estimated 82
education have been explained 40
education have been expressed 82
education have been extremely 89
education have been falsified 53
education have been forgotten 58
education have been generally 100
education have been gradually 59
education have been important 115
education have been increasingly 86
education have been neglected 152
education have been organized 194
education have been presented 229
education have been primarily 41
education have been projected 69
education have been published 427
education have been questioned 41
education have been reflected 42
education have been reluctant 49
education have been repeatedly 47
education have been subjected 81
education have been suggested 162
education have been supported 55
education have been thoroughly 44
education having been completed 110
education having been conducted 48
education having been entrusted 55
education having been neglected 257
education into their curricula 161
education made more effectual 59
education meet some additional 64
education much more difficult 89
education were also associated 45
education were also discussed 53
education were also important 82
education were made available 339
education were more concerned 43
education were more effective 69
education were more generally 78
education were more important 150
education were more thoroughly 50
education were very different 115
education were very important 71
education will find themselves 88
education will seek exactness 46
effected only very gradually 48
effected some very important 54
efficacy have been conducted 89
efficacy have been developed 40
efficacy have been performed 51
efficacy have been published 90
effusions have been described 123
effusions have been preserved 53
egoistic gain from association 70
eighteen have been preserved 62
eighteen sons were massacred 73
eighteen were made prisoners 62
eighteen years been different 124
elections have been accordingly 269
elections have been announced 166
elections have been completed 129
elections have been conducted 814
elections have been contested 149
elections have been described 84
elections have been discussed 44
elections have been dominated 96
elections have been generally 59
elections have been organized 49
elections have been postponed 322
elections have been regularly 53
elections have been scheduled 119
elections have been suspended 75
elections have been unanimous 60
elections having been accordingly 122
elections were also conducted 64
elections were also important 48
