earliest times a favorite 47
economy began a downward 53
economy began a recovery 72
economy takes a downturn 295
economy takes a downward 41
economy takes a nosedive 45
economy within a socialist 60
effects cause a reduction 80
effects which i observed 89
effects within a specific 54
elapsed since i finished 114
elapsed since i received 442
elapsed since i returned 106
elected after a campaign 298
elected under a property 42
election after a campaign 88
election under a cafeteria 74
element forms a compound 72
element plays a decisive 61
element within a compound 70
element within a document 224
element within a sentence 145
element within a sequence 61
element within a situation 57
element within a specific 56
emerged within a specific 86
enabled after a toilsome 42
endeavor after a handsome 58
engraved after a portrait 44
enjoyed creating a sensation 40
enjoyed nearly a monopoly 136
entered after a demurrer 91
entered phase i clinical 189
entered stood a gigantic 51
entered under a contract 77
entered under a personal 111
entered under a separate 111
epithets which a generous 45
equation gives a complete 57
equation gives a negative 85
equation gives a positive 64
equation gives a slightly 51
equation gives a straight 147
erected under a contract 150
erected within a distance 48
escaped after a struggle 43
everything about a business 72
everything about a computer 49
everything about a situation 134
everything about a specific 92
everything which a christian 220
everything which a grateful 76
everything which i conceive 80
everything which i perceive 46
evolved within a specific 51
exactly where a particle 93
exactly where a prospect 54
exactly where a specific 73
exactly where i believed 47
exactly where i expected 154
exactly where i intended 100
examine either a religious 65
examine under a compound 80
examine under a dissecting 171
examine under a magnifying 99
example forms a suitable 50
example shows a complete 140
example shows a possible 112
example shows a sequence 81
example shows a situation 134
example shows a slightly 56
example shows a standard 139
example under a mountain 136
example where a business 285
example where a customer 47
example where a specific 48
example which i consider 48
example which i followed 86
example which i mentioned 47
exchange under a contract 91
excited about a business 44
excited about a possible 267
excited about a potential 42
excited about a specific 50
excited quite a sensation 66
exhibit either a positive 88
existed within a cultural 42
experts within a specific 46
expired which i promised 69
exposed beneath a negative 205
exposed under a negative 2126
exposed under a positive 256
express class i antigens 274
express rather a profound 55
extending quite a distance 115
extends quite a distance 140
extreme cases a complete 57
