eager as himself for 140
eager in advance that 63
eager in finishing his 65
eager in purpose and 69
eager to abandon her 53
eager to abandon his 131
eager to abandon its 42
eager to acclaim him 44
eager to account for 150
eager to achieve and 117
eager to achieve his 77
eager to achieve this 111
eager to acquire all 115
eager to acquire and 248
eager to acquire any 73
eager to acquire for 53
eager to acquire his 73
eager to acquire its 62
eager to acquire new 474
eager to acquire one 62
eager to acquire that 122
eager to acquire them 193
eager to acquire this 210
eager to address this 43
eager to advance and 221
eager to advance her 71
eager to advance his 402
eager to advance its 77
eager to advance with 67
eager to applaud any 47
eager to applaud them 47
eager to attract and 114
eager to attract her 49
eager to attract his 65
eager to attract new 286
eager to attract them 43
eager to augment his 75
eager to balance his 62
eager to bargain for 73
eager to bargain with 52
eager to believe all 92
eager to believe and 148
eager to believe any 172
eager to believe her 87
eager to believe him 222
eager to believe his 65
eager to believe that 4458
eager to believe them 121
eager to believe this 118
eager to bolster his 74
eager to broaden his 97
eager to capture and 105
eager to capture her 48
eager to capture him 120
eager to capture them 47
eager to capture this 90
eager to champion his 110
eager to collect all 78
eager to collect and 135
eager to collect his 75
eager to combine with 158
eager to comfort and 89
eager to comfort her 100
eager to comfort him 69
eager to commune with 71
eager to compete and 56
eager to compete for 338
eager to compete with 540
eager to concede that 194
eager to condemn and 55
eager to condemn her 42
eager to condemn him 84
eager to condemn them 41
eager to confess and 67
eager to confess his 64
eager to confess that 338
eager to confirm his 98
eager to confirm that 164
eager to confirm this 50
eager to conform and 45
eager to conform with 48
eager to confute his 60
eager to connect his 56
eager to connect with 286
eager to conquer and 90
eager to conquer new 84
eager to consign him 49
eager to console her 73
eager to console him 83
eager to consult him 51
eager to consult his 54
eager to consult with 167
eager to consume and 46
eager to consume them 44
eager to contend for 74
eager to control and 114
eager to convert all 50
eager to convert and 62
eager to convert her 44
eager to convert him 90
eager to convert his 82
eager to convert them 121
eager to convict him 66
eager to correct any 72
eager to correct her 50
eager to correct his 81
eager to correct them 193
eager to correct this 53
eager to declare his 94
eager to declare that 530
eager to declare war 90
eager to deliver her 50
eager to deliver his 151
eager to deliver them 58
eager to deprive him 57
eager to destroy all 219
eager to destroy and 73
eager to destroy any 43
eager to destroy each 96
eager to destroy her 61
eager to destroy him 197
eager to destroy his 104
eager to destroy our 43
eager to destroy that 122
eager to destroy them 179
eager to develop and 294
eager to develop her 63
eager to develop his 225
eager to develop its 270
eager to develop new 382
eager to develop our 41
eager to develop them 73
eager to develop this 91
eager to discard all 47
eager to discuss all 155
eager to discuss and 228
eager to discuss any 81
eager to discuss her 252
eager to discuss his 456
eager to discuss how 80
eager to discuss its 55
eager to discuss new 45
eager to discuss our 50
eager to discuss that 87
eager to discuss them 265
eager to discuss things 42
eager to discuss this 224
eager to discuss with 433
eager to dismiss her 49
eager to dismiss him 49
eager to display all 46
eager to display her 259
eager to display his 1538
eager to display its 200
eager to display our 77
eager to display that 124
eager to display them 116
eager to dispute this 65
eager to dispute with 58
eager to educate and 43
eager to educate his 61
eager to embrace all 180
eager to embrace and 242
eager to embrace any 390
eager to embrace her 177
eager to embrace him 214
eager to embrace his 391
eager to embrace its 64
eager to embrace new 206
eager to embrace them 201
eager to embrace this 220
eager to embrace you 79
eager to emulate and 54
eager to emulate her 61
eager to emulate him 134
eager to emulate his 171
eager to emulate them 95
eager to enforce his 41
eager to enforce them 61
eager to enhance his 163
eager to enhance its 85
eager to enlarge his 220
eager to enlarge its 195
eager to espouse his 44
eager to examine and 108
eager to examine her 48
eager to examine his 121
eager to examine its 48
eager to examine them 97
eager to examine this 50
eager to exchange for 170
eager to exchange his 108
eager to exchange them 121
eager to exchange this 50
eager to exchange with 42
eager to execute his 108
eager to execute than 52
eager to execute them 59
eager to exhibit her 59
eager to exhibit his 279
eager to explain and 208
eager to explain her 64
eager to explain his 332
eager to explain how 203
eager to explain that 1040
eager to explain them 48
eager to explain things 92
eager to explain this 44
eager to explain why 193
eager to exploit all 49
eager to exploit and 63
eager to exploit any 250
eager to exploit for 45
eager to exploit her 67
eager to exploit him 40
eager to exploit his 251
eager to exploit its 226
eager to exploit new 128
eager to exploit that 49
eager to exploit them 163
eager to exploit this 376
eager to explore all 198
eager to explore and 613
eager to explore any 78
eager to explore her 119
eager to explore his 166
eager to explore how 79
eager to explore its 143
eager to explore new 837
eager to explore our 62
eager to explore that 97
eager to explore them 147
eager to explore this 402
eager to explore with 45
eager to expound his 91
eager to express and 41
eager to express her 211
eager to express his 858
eager to express its 110
eager to express our 221
eager to express them 107
eager to finally get 58
eager to flatter and 48
eager to forgive and 210
eager to forward his 56
eager to fulfill all 49
eager to fulfill her 78
eager to fulfill his 270
eager to fulfill its 63
eager to fulfill this 54
eager to grapple with 542
eager to gratify her 83
eager to gratify him 127
eager to gratify his 226
eager to gratify its 62
eager to gratify them 75
eager to imitate and 61
eager to imitate her 40
eager to imitate him 98
eager to imitate his 136
eager to imitate them 191
eager to impress and 92
eager to impress her 186
eager to impress him 216
eager to impress his 426
eager to impress them 73
eager to impress this 40
eager to impress with 60
eager to improve and 181
eager to improve her 195
eager to improve his 819
eager to improve its 335
eager to improve our 67
eager to improve them 92
eager to include him 51
eager to include them 72
eager to include this 40
eager to increase and 59
eager to increase her 119
eager to increase his 845
eager to increase its 360
eager to increase our 73
eager to increase them 57
eager to indulge her 52
eager to indulge his 78
eager to inflict death 53
eager to inherit his 41
eager to inspect his 61
eager to involve him 41
eager to justify her 47
eager to justify his 319
eager to justify its 71
eager to observe and 180
eager to observe how 40
eager to observe its 71
eager to observe that 42
eager to partner with 110
eager to perfect his 85
eager to perform all 42
eager to perform and 111
eager to perform any 100
eager to perform for 121
eager to perform her 56
eager to perform his 298
eager to perform that 46
eager to perform them 55
eager to perform this 134
eager to placate him 57
eager to placate his 63
eager to plunder and 57
eager to plunder each 115
eager to plunder them 60
eager to possess and 117
eager to possess her 122
eager to possess him 46
eager to possess his 276
eager to possess one 47
eager to possess that 50
eager to possess them 248
eager to possess this 82
eager to prepare for 263
eager to present all 51
eager to present her 122
eager to present him 94
eager to present his 361
eager to present its 58
eager to present them 63
eager to present this 49
eager to pretend that 91
eager to prevent any 273
eager to prevent each 53
eager to prevent her 67
eager to prevent him 76
eager to prevent his 126
eager to prevent its 47
eager to prevent our 52
eager to prevent this 61
eager to prevent war 52
eager to proceed and 52
eager to proceed with 829
eager to procure for 78
eager to procure him 43
eager to procure his 110
eager to procure them 102
eager to produce and 111
eager to produce for 56
eager to produce his 50
eager to produce new 79
eager to promote and 154
eager to promote any 151
eager to promote her 129
eager to promote him 43
eager to promote his 527
eager to promote its 314
eager to promote new 86
eager to promote them 93
eager to promote this 107
eager to protect and 224
eager to protect both 63
eager to protect her 240
eager to protect him 172
eager to protect his 324
eager to protect its 259
eager to protect them 122
eager to provide all 57
eager to provide any 50
eager to provide for 579
eager to provide her 119
eager to provide him 113
eager to provide his 72
eager to provide new 45
eager to provide that 86
eager to provide them 207
eager to provide this 66
eager to provide you 119
eager to publish and 86
eager to publish her 72
eager to publish his 263
eager to publish them 95
eager to publish this 62
eager to qualify for 181
eager to quarrel with 135
eager to question and 59
eager to question her 72
eager to question him 216
eager to question his 44
eager to question them 60
eager to reassert his 51
eager to reassert its 85
eager to reassure her 149
eager to reassure him 118
eager to reassure them 43
eager to rebuild his 64
eager to receive all 108
eager to receive and 401
eager to receive any 197
eager to receive but 41
eager to receive god 50
eager to receive her 231
eager to receive him 591
eager to receive his 436
eager to receive its 89
eager to receive new 158
eager to receive our 89
eager to receive than 50
eager to receive that 61
eager to receive them 931
eager to receive this 112
eager to receive you 72
eager to reclaim his 68
eager to recount his 86
eager to recover and 44
eager to recover her 162
eager to recover his 235
eager to recover its 109
eager to recover them 50
eager to recover this 52
eager to recruit and 42
eager to recruit him 59
eager to recruit new 84
eager to recruit them 76
eager to refresh and 105
eager to relieve her 127
eager to relieve him 130
eager to relieve his 84
eager to relieve them 138
eager to replace her 51
eager to replace him 209
eager to replace them 207
eager to resolve this 71
eager to respond and 109
eager to respond with 80
eager to restore her 48
eager to restore him 42
eager to restore his 142
eager to restore its 71
eager to reunite with 126
eager to satisfy her 182
eager to satisfy his 436
eager to satisfy its 43
eager to satisfy our 50
eager to satisfy them 49
eager to satisfy this 68
eager to stretch her 48
eager to stretch his 127
eager to stretch out 118
eager to succeed and 142
eager to succeed him 102
eager to suggest for 43
eager to suggest that 501
