echelon of lymphatic drainage 47
ecology of biological invasions 184
ecology to molecular genetics 99
economy is adversely affected 115
economy is basically unstable 58
economy is currently undergoing 149
economy is generally accepted 46
economy is generally regarded 40
economy is sometimes referred 54
economy of developed socialism 127
economy of fertility decisions 57
economy of industrial relations 127
economy of machinery requires 49
economy of production requires 80
ecstasy of happiness produced 71
editions by different printers 85
editions in different languages 309
editors at greenwood publishing 54
editors of political journals 87
editors of prevention magazine 363
editors of scholarly journals 220
editors of technical journals 113
educate the community concerning 74
effects in biological materials 170
effects in composite materials 48
effects in depressed patients 252
effects in different contexts 328
effects in different cultural 54
effects in different cultures 76
effects in different locations 45
effects in different materials 51
effects in different patients 128
effects in different subjects 68
effects in epileptic patients 62
effects in functional magnetic 61
effects in impression formation 994
effects in inelastic scattering 63
effects in preschool children 42
effects in regression analysis 60
effects it sometimes produces 102
effects of activated charcoal 144
effects of activator treatment 99
effects of additional variables 192
effects of advertising exposure 64
effects of aggregate economic 45
effects of aggregate variables 55
effects of alcoholic beverage 57
effects of aliphatic alcohols 66
effects of alternate exposure 60
effects of alternating currents 292
effects of amplitude variations 41
effects of anesthetic induction 113
effects of anomalous scattering 62
effects of antibiotic treatment 162
effects of artificial climates 94
effects of artificial recharge 54
effects of artificial selection 465
effects of autonomic blockade 55
effects of behavioral counseling 47
effects of behavioral programs 54
effects of behavioral treatment 294
effects of bilateral temporal 363
effects of biological activity 175
effects of biological variables 50
effects of capillary pressure 230
effects of carnivore removals 59
effects of centrally injected 137
effects of childbirth education 62
effects of childhood exposure 132
effects of childhood parental 93
effects of childhood physical 75
effects of circulating antibody 45
effects of circulating hormones 119
effects of cognitive activity 103
effects of cognitive variables 48
effects of combustion products 118
effects of commercial activity 60
effects of commercial policies 69
effects of community colleges 69
effects of community policies 170
effects of component failures 89
effects of compounding interest 64
effects of confounding variables 1594
effects of congenital syphilis 151
effects of continual exposure 44
effects of continued economic 61
effects of continued exposure 271
effects of continued inflation 72
effects of continued practice 57
effects of convection currents 382
effects of corporate activity 102
effects of corporate decisions 88
effects of corporate downsizing 151
effects of corporate strategy 51
effects of corporate takeovers 93
effects of cortisone treatment 86
effects of defective nutrition 53
effects of different accounting 119
effects of different articles 51
effects of different behaviors 40
effects of different boundary 83
effects of different branches 43
effects of different chemical 514
effects of different climates 215
effects of different climatic 82
effects of different combined 46
effects of different contexts 122
effects of different cultural 237
effects of different cultures 155
effects of different decisions 132
effects of different durations 87
effects of different economic 266
effects of different elements 202
effects of different exercise 51
effects of different exposure 67
effects of different external 90
effects of different feedback 76
effects of different financial 60
effects of different harvesting 247
effects of different hormonal 47
effects of different hormones 203
effects of different interest 44
effects of different locations 54
effects of different materials 231
effects of different mixtures 58
effects of different monetary 100
effects of different mutagens 54
effects of different mutations 91
effects of different nitrogen 209
effects of different nutrient 130
effects of different parental 51
effects of different particle 86
effects of different patterns 813
effects of different physical 254
effects of different policies 1077
effects of different positions 81
effects of different possible 200
effects of different potential 87
